feature_set,feature_count,model,fold,metric_scope,class_label,rows,accuracy,balanced_accuracy,macro_f1,precision,recall,f1,support,train_rows,test_rows,train_groups,test_groups,group_overlap_count
compact13,13,dummy_most_frequent,3,class,fault,36,,,,0.3888888888888889,1.0,0.56,14,145,36,1|4|5|7|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|25|28|29|30|31|32,2|3|6|8|24|26|27|33,0
compact13,13,dummy_most_frequent,3,class,task,36,,,,0.0,0.0,0.0,6,145,36,1|4|5|7|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|25|28|29|30|31|32,2|3|6|8|24|26|27|33,0
compact13,13,dummy_most_frequent,3,class,activity,36,,,,0.0,0.0,0.0,8,145,36,1|4|5|7|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|25|28|29|30|31|32,2|3|6|8|24|26|27|33,0
compact13,13,logistic_balanced,3,overall,all,36,0.5,0.4791666666666667,0.48247549019607844,0.4979166666666667,0.4791666666666667,0.48247549019607844,36,145,36,1|4|5|7|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|25|28|29|30|31|32,2|3|6|8|24|26|27|33,0
compact13,13,logistic_balanced,3,class,normal,36,,,,0.5555555555555556,0.625,0.5882352941176471,8,145,36,1|4|5|7|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|25|28|29|30|31|32,2|3|6|8|24|26|27|33,0
compact13,13,logistic_balanced,3,class,fault,36,,,,0.7,0.5,0.5833333333333334,14,145,36,1|4|5|7|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|25|28|29|30|31|32,2|3|6|8|24|26|27|33,0
compact13,13,logistic_balanced,3,class,task,36,,,,0.1111111111111111,0.16666666666666666,0.13333333333333333,6,145,36,1|4|5|7|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|25|28|29|30|31|32,2|3|6|8|24|26|27|33,0
compact13,13,logistic_balanced,3,class,activity,36,,,,0.625,0.625,0.625,8,145,36,1|4|5|7|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|25|28|29|30|31|32,2|3|6|8|24|26|27|33,0
compact13,13,dummy_most_frequent,4,overall,all,39,0.28205128205128205,0.25,0.11,0.07051282051282051,0.25,0.11,39,142,39,1|2|3|4|6|7|8|9|10|12|13|14|15|16|19|20|21|23|24|25|26|27|28|29|31|32|33,5|11|17|18|22|30,0
compact13,13,dummy_most_frequent,4,class,normal,39,,,,0.0,0.0,0.0,9,142,39,1|2|3|4|6|7|8|9|10|12|13|14|15|16|19|20|21|23|24|25|26|27|28|29|31|32|33,5|11|17|18|22|30,0
compact13,13,dummy_most_frequent,4,class,fault,39,,,,0.28205128205128205,1.0,0.44,11,142,39,1|2|3|4|6|7|8|9|10|12|13|14|15|16|19|20|21|23|24|25|26|27|28|29|31|32|33,5|11|17|18|22|30,0
compact13,13,dummy_most_frequent,4,class,task,39,,,,0.0,0.0,0.0,9,142,39,1|2|3|4|6|7|8|9|10|12|13|14|15|16|19|20|21|23|24|25|26|27|28|29|31|32|33,5|11|17|18|22|30,0
compact13,13,dummy_most_frequent,4,class,activity,39,,,,0.0,0.0,0.0,10,142,39,1|2|3|4|6|7|8|9|10|12|13|14|15|16|19|20|21|23|24|25|26|27|28|29|31|32|33,5|11|17|18|22|30,0
compact13,13,logistic_balanced,4,overall,all,39,0.48717948717948717,0.4767676767676768,0.4596027501909855,0.47829670329670326,0.47676767676767673,0.4596027501909855,39,142,39,1|2|3|4|6|7|8|9|10|12|13|14|15|16|19|20|21|23|24|25|26|27|28|29|31|32|33,5|11|17|18|22|30,0
compact13,13,logistic_balanced,4,class,normal,39,,,,0.38461538461538464,0.5555555555555556,0.45454545454545453,9,142,39,1|2|3|4|6|7|8|9|10|12|13|14|15|16|19|20|21|23|24|25|26|27|28|29|31|32|33,5|11|17|18|22|30,0
compact13,13,logistic_balanced,4,class,fault,39,,,,0.6428571428571429,0.8181818181818182,0.72,11,142,39,1|2|3|4|6|7|8|9|10|12|13|14|15|16|19|20|21|23|24|25|26|27|28|29|31|32|33,5|11|17|18|22|30,0
compact13,13,logistic_balanced,4,class,task,39,,,,0.6,0.3333333333333333,0.42857142857142855,9,142,39,1|2|3|4|6|7|8|9|10|12|13|14|15|16|19|20|21|23|24|25|26|27|28|29|31|32|33,5|11|17|18|22|30,0
compact13,13,logistic_balanced,4,class,activity,39,,,,0.2857142857142857,0.2,0.23529411764705882,10,142,39,1|2|3|4|6|7|8|9|10|12|13|14|15|16|19|20|21|23|24|25|26|27|28|29|31|32|33,5|11|17|18|22|30,0
compact13,13,dummy_most_frequent,5,overall,all,35,0.34285714285714286,0.25,0.1276595744680851,0.08571428571428572,0.25,0.1276595744680851,35,146,35,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|20|21|22|24|25|26|27|28|30|31|33,4|10|14|19|23|29|32,0
compact13,13,dummy_most_frequent,5,class,normal,35,,,,0.0,0.0,0.0,6,146,35,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|20|21|22|24|25|26|27|28|30|31|33,4|10|14|19|23|29|32,0
compact13,13,dummy_most_frequent,5,class,fault,35,,,,0.34285714285714286,1.0,0.5106382978723404,12,146,35,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|20|21|22|24|25|26|27|28|30|31|33,4|10|14|19|23|29|32,0
compact13,13,dummy_most_frequent,5,class,task,35,,,,0.0,0.0,0.0,8,146,35,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|20|21|22|24|25|26|27|28|30|31|33,4|10|14|19|23|29|32,0
