dataset_id,feature,mean_coefficient,mean_abs_coefficient,std_coefficient
fault_event_known_only,p_hc1_return_temperature__min,-0.759318155381475,0.759318155381475,0.07997339126228585
fault_event_known_only,s_hc1_supply_temperature__std,-0.6954394194844045,0.6954394194844045,0.32015548526030857
fault_event_known_only,p_net_return_temperature__min,-0.611848546614435,0.6331864668507038,0.3813228998424043
fault_event_known_only,p_net_supply_temperature__min,-0.5992089484816592,0.5992089484816592,0.18644563678913575
fault_event_known_only,p_hc1_return_temperature__last_minus_first,-0.5874241356032918,0.5874241356032918,0.3898155472218816
fault_event_known_only,p_hc1_return_temperature__std,0.5509727209579502,0.5509727209579502,0.23478339073357085
fault_event_known_only,p_net_return_temperature__last_minus_first,-0.536161757663496,0.536161757663496,0.29039440184337645
fault_event_known_only,p_net_meter_flow__min,0.5065778180844427,0.5065778180844427,0.26026746851636773
fault_event_known_only,p_net_meter_flow__std,-0.49653265484452025,0.49653265484452025,0.1760698930467151
fault_event_known_only,s_hc1_supply_temperature_setpoint__min,0.48687840290185724,0.4946122861517698,0.3196425156817325
fault_event_known_only,p_net_meter_heat_power__max,0.46724811477814504,0.46724811477814504,0.16824560621562726
fault_event_known_only,s_hc1_supply_temperature__last_minus_first,0.2413360182867274,0.4646905090711161,0.46419182262708397
fault_event_known_only,p_net_meter_heat_power__std,-0.44470596019267206,0.44470596019267206,0.17254319589071762
fault_event_known_only,outdoor_temperature__min,-0.440017394273843,0.440017394273843,0.224224591112075
fault_event_known_only,p_net_return_temperature__max,0.43824191180463296,0.43824191180463296,0.27485224806831376
fault_event_known_only,s_hc1_supply_temperature_setpoint__median,-0.4284330498684271,0.4284330498684271,0.16267753962110654
fault_event_known_only,outdoor_temperature__max,0.41436391320556015,0.41436391320556015,0.16125843345968527
fault_event_known_only,s_hc1_supply_temperature_setpoint__last_minus_first,-0.3540234638309204,0.3540234638309204,0.1693491286039517
fault_event_known_only,s_hc1_supply_temperature_setpoint__std,-0.3416150547872173,0.3416150547872173,0.19288916417593582
fault_event_known_only,outdoor_temperature__last_minus_first,0.33176967237894817,0.33176967237894817,0.05239514645478534
fault_event_known_only,p_net_supply_temperature__std,-0.10661812041573844,0.2553166903880416,0.3656641149935262
fault_event_known_only,outdoor_temperature__std,0.15957586021642944,0.2492774821020382,0.25473455432017933
fault_event_known_only,p_net_meter_volume__std,0.23701893013538067,0.23701893013538067,0.06464162824001914
