model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,fold,train_rows,test_rows,train_groups,test_groups,test_normal,test_efd_possible
dummy_most_frequent,0.6666666666666666,0.5,0.0,0.0,0.0,0.5,6,0,3,0,1,41,9,24,5,6,3
logistic_balanced,0.5555555555555556,0.5833333333333333,0.4,0.6666666666666666,0.5,0.6666666666666666,3,3,1,2,1,41,9,24,5,6,3
dummy_most_frequent,0.6666666666666666,0.5,0.0,0.0,0.0,0.5,6,0,3,0,2,41,9,24,5,6,3
logistic_balanced,0.4444444444444444,0.41666666666666663,0.25,0.3333333333333333,0.2857142857142857,0.5,3,3,2,1,2,41,9,24,5,6,3
dummy_most_frequent,0.7272727272727273,0.5,0.0,0.0,0.0,0.5,8,0,3,0,3,39,11,23,6,8,3
logistic_balanced,0.6363636363636364,0.6458333333333333,0.4,0.6666666666666666,0.5,0.5833333333333333,5,3,1,2,3,39,11,23,6,8,3
dummy_most_frequent,0.7272727272727273,0.5,0.0,0.0,0.0,0.5,8,0,3,0,4,39,11,22,7,8,3
logistic_balanced,0.7272727272727273,0.7083333333333333,0.5,0.6666666666666666,0.5714285714285714,0.6666666666666666,6,2,1,2,4,39,11,22,7,8,3
dummy_most_frequent,0.7,0.5,0.0,0.0,0.0,0.5,7,0,3,0,5,40,10,23,6,7,3
logistic_balanced,0.6,0.6190476190476191,0.4,0.6666666666666666,0.5,0.6190476190476191,4,3,1,2,5,40,10,23,6,7,3
