dataset,target_class,window_direction,window_days,feature_set,model,rank,feature,importance_metric,importance_value,feature_missing_rate,interpretation_scope
activity_post_1d,activity,post,1d,compact13,random_forest_balanced_depth3,4,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,feature_importance,0.13522999479395106,0.5679012345679012,full_dataset_fit_for_audit_only
activity_post_1d,activity,post,1d,compact13,random_forest_balanced_depth3,5,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,feature_importance,0.1263323481860767,0.5679012345679012,full_dataset_fit_for_audit_only
activity_post_1d,activity,post,1d,compact13,random_forest_balanced_depth3,6,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,feature_importance,0.12546888314077198,0.5679012345679012,full_dataset_fit_for_audit_only
activity_post_1d,activity,post,1d,compact13,random_forest_balanced_depth3,7,p_net_meter_flow__last_1d_std_minus_prev_6d_std,feature_importance,0.12269036537436605,0.5679012345679012,full_dataset_fit_for_audit_only
activity_post_1d,activity,post,1d,compact13,random_forest_balanced_depth3,8,outdoor_temperature__last_minus_first,feature_importance,0.04485255783117039,0.0,full_dataset_fit_for_audit_only
activity_post_1d,activity,post,1d,compact13,random_forest_balanced_depth3,9,p_return_gap__last_minus_first,feature_importance,0.008797411063378294,0.2222222222222222,full_dataset_fit_for_audit_only
activity_post_1d,activity,post,1d,compact13,random_forest_balanced_depth3,10,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,feature_importance,0.004466715888765672,0.0,full_dataset_fit_for_audit_only
activity_post_1d,activity,post,1d,compact13,random_forest_balanced_depth3,11,s_hc1_supply_temperature_error__last_minus_first,feature_importance,0.004225255584003764,0.0,full_dataset_fit_for_audit_only
activity_post_1d,activity,post,1d,compact13,random_forest_balanced_depth3,12,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,feature_importance,0.002253872072876043,0.0,full_dataset_fit_for_audit_only
activity_post_1d,activity,post,1d,compact13,random_forest_balanced_depth3,13,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,feature_importance,0.00144397081321664,0.0,full_dataset_fit_for_audit_only
activity_post_1d,activity,post,1d,compact13,logistic_balanced,1,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,abs_coefficient,0.6476898203885157,0.5679012345679012,full_dataset_fit_for_audit_only
activity_post_1d,activity,post,1d,compact13,logistic_balanced,2,outdoor_temperature__last_minus_first,abs_coefficient,0.5676167552823932,0.0,full_dataset_fit_for_audit_only
activity_post_1d,activity,post,1d,compact13,logistic_balanced,3,p_return_gap__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.5564388095022831,0.5679012345679012,full_dataset_fit_for_audit_only
activity_post_1d,activity,post,1d,compact13,logistic_balanced,4,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.461275797118845,0.5679012345679012,full_dataset_fit_for_audit_only
activity_post_1d,activity,post,1d,compact13,logistic_balanced,5,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.42936320386937765,0.5679012345679012,full_dataset_fit_for_audit_only
activity_post_1d,activity,post,1d,compact13,logistic_balanced,6,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.23259697678512298,0.5679012345679012,full_dataset_fit_for_audit_only
activity_post_1d,activity,post,1d,compact13,logistic_balanced,7,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.22871849473186912,0.5679012345679012,full_dataset_fit_for_audit_only
activity_post_1d,activity,post,1d,compact13,logistic_balanced,8,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,abs_coefficient,0.19989674267936663,0.0,full_dataset_fit_for_audit_only
activity_post_1d,activity,post,1d,compact13,logistic_balanced,9,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,abs_coefficient,0.12414001044217478,0.0,full_dataset_fit_for_audit_only
activity_post_1d,activity,post,1d,compact13,logistic_balanced,10,p_net_meter_flow__last_1d_std_minus_prev_6d_std,abs_coefficient,0.11239099372505947,0.5679012345679012,full_dataset_fit_for_audit_only
activity_post_1d,activity,post,1d,compact13,logistic_balanced,11,p_return_gap__last_minus_first,abs_coefficient,0.025934888552497763,0.2222222222222222,full_dataset_fit_for_audit_only
activity_post_1d,activity,post,1d,compact13,logistic_balanced,12,s_hc1_supply_temperature_error__last_minus_first,abs_coefficient,0.0238665213297438,0.0,full_dataset_fit_for_audit_only
activity_post_1d,activity,post,1d,compact13,logistic_balanced,13,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,abs_coefficient,0.01588449782981068,0.0,full_dataset_fit_for_audit_only
activity_post_3d,activity,post,3d,compact13,random_forest_balanced_depth3,1,p_return_gap__last_minus_first,feature_importance,0.13030153098357514,0.18518518518518517,full_dataset_fit_for_audit_only
activity_post_3d,activity,post,3d,compact13,random_forest_balanced_depth3,2,p_return_gap__last_1d_mean_minus_prev_6d_mean,feature_importance,0.09968667909178347,0.19753086419753085,full_dataset_fit_for_audit_only
activity_post_3d,activity,post,3d,compact13,random_forest_balanced_depth3,3,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,feature_importance,0.0924768869974989,0.0,full_dataset_fit_for_audit_only
activity_post_3d,activity,post,3d,compact13,random_forest_balanced_depth3,4,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,feature_importance,0.08021110612995404,0.0,full_dataset_fit_for_audit_only
activity_post_3d,activity,post,3d,compact13,random_forest_balanced_depth3,5,outdoor_temperature__last_minus_first,feature_importance,0.07613412066452732,0.0,full_dataset_fit_for_audit_only
activity_post_3d,activity,post,3d,compact13,random_forest_balanced_depth3,6,p_net_meter_flow__last_1d_std_minus_prev_6d_std,feature_importance,0.07227196457017024,0.19753086419753085,full_dataset_fit_for_audit_only
activity_post_3d,activity,post,3d,compact13,random_forest_balanced_depth3,7,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,feature_importance,0.07215145363715249,0.0,full_dataset_fit_for_audit_only
activity_post_3d,activity,post,3d,compact13,random_forest_balanced_depth3,8,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,feature_importance,0.07064340276201238,0.0,full_dataset_fit_for_audit_only
activity_post_3d,activity,post,3d,compact13,random_forest_balanced_depth3,9,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,feature_importance,0.06858239933387382,0.19753086419753085,full_dataset_fit_for_audit_only
activity_post_3d,activity,post,3d,compact13,random_forest_balanced_depth3,10,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,feature_importance,0.06700469396549454,0.0,full_dataset_fit_for_audit_only
activity_post_3d,activity,post,3d,compact13,random_forest_balanced_depth3,11,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,feature_importance,0.06551246274284811,0.0,full_dataset_fit_for_audit_only
activity_post_3d,activity,post,3d,compact13,random_forest_balanced_depth3,12,s_hc1_supply_temperature_error__last_minus_first,feature_importance,0.05324677498266159,0.0,full_dataset_fit_for_audit_only
activity_post_3d,activity,post,3d,compact13,random_forest_balanced_depth3,13,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,feature_importance,0.05177652413844821,0.0,full_dataset_fit_for_audit_only
activity_post_3d,activity,post,3d,compact13,logistic_balanced,1,outdoor_temperature__last_minus_first,abs_coefficient,0.361626090333153,0.0,full_dataset_fit_for_audit_only
activity_post_3d,activity,post,3d,compact13,logistic_balanced,2,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.3299596532145129,0.0,full_dataset_fit_for_audit_only
activity_post_3d,activity,post,3d,compact13,logistic_balanced,3,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,abs_coefficient,0.31171504562676555,0.0,full_dataset_fit_for_audit_only
activity_post_3d,activity,post,3d,compact13,logistic_balanced,4,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.30900126650924425,0.0,full_dataset_fit_for_audit_only
activity_post_3d,activity,post,3d,compact13,logistic_balanced,5,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,abs_coefficient,0.27463949660960374,0.0,full_dataset_fit_for_audit_only
activity_post_3d,activity,post,3d,compact13,logistic_balanced,6,p_return_gap__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.2374747336370354,0.19753086419753085,full_dataset_fit_for_audit_only
activity_post_3d,activity,post,3d,compact13,logistic_balanced,7,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.18500906637858616,0.19753086419753085,full_dataset_fit_for_audit_only
activity_post_3d,activity,post,3d,compact13,logistic_balanced,8,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.17141040777319735,0.0,full_dataset_fit_for_audit_only
activity_post_3d,activity,post,3d,compact13,logistic_balanced,9,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,abs_coefficient,0.08855404397493427,0.0,full_dataset_fit_for_audit_only
activity_post_3d,activity,post,3d,compact13,logistic_balanced,10,p_net_meter_flow__last_1d_std_minus_prev_6d_std,abs_coefficient,0.06644775372529646,0.19753086419753085,full_dataset_fit_for_audit_only
activity_post_3d,activity,post,3d,compact13,logistic_balanced,11,s_hc1_supply_temperature_error__last_minus_first,abs_coefficient,0.022729819195426954,0.0,full_dataset_fit_for_audit_only
activity_post_3d,activity,post,3d,compact13,logistic_balanced,12,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,abs_coefficient,0.014285194282489047,0.0,full_dataset_fit_for_audit_only
activity_post_3d,activity,post,3d,compact13,logistic_balanced,13,p_return_gap__last_minus_first,abs_coefficient,0.005551821040564809,0.18518518518518517,full_dataset_fit_for_audit_only
activity_pre_1d,activity,pre,1d,compact13,random_forest_balanced_depth3,1,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,feature_importance,0.14949307502547296,0.573170731707317,full_dataset_fit_for_audit_only
activity_pre_1d,activity,pre,1d,compact13,random_forest_balanced_depth3,2,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,feature_importance,0.14147267693016743,0.573170731707317,full_dataset_fit_for_audit_only
activity_pre_1d,activity,pre,1d,compact13,random_forest_balanced_depth3,3,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,feature_importance,0.13793757600774886,0.573170731707317,full_dataset_fit_for_audit_only
activity_pre_1d,activity,pre,1d,compact13,random_forest_balanced_depth3,4,p_return_gap__last_1d_mean_minus_prev_6d_mean,feature_importance,0.13722502967143774,0.573170731707317,full_dataset_fit_for_audit_only
activity_pre_1d,activity,pre,1d,compact13,random_forest_balanced_depth3,5,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,feature_importance,0.13120196471831005,0.573170731707317,full_dataset_fit_for_audit_only
activity_pre_1d,activity,pre,1d,compact13,random_forest_balanced_depth3,6,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,feature_importance,0.12384680013648086,0.573170731707317,full_dataset_fit_for_audit_only
activity_pre_1d,activity,pre,1d,compact13,random_forest_balanced_depth3,7,p_net_meter_flow__last_1d_std_minus_prev_6d_std,feature_importance,0.12258572247935956,0.573170731707317,full_dataset_fit_for_audit_only
activity_pre_1d,activity,pre,1d,compact13,random_forest_balanced_depth3,8,outdoor_temperature__last_minus_first,feature_importance,0.0258986576239297,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,activity,pre,1d,compact13,random_forest_balanced_depth3,9,p_return_gap__last_minus_first,feature_importance,0.018125187083899073,0.32926829268292684,full_dataset_fit_for_audit_only
activity_pre_1d,activity,pre,1d,compact13,random_forest_balanced_depth3,10,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,feature_importance,0.005263838334465637,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,activity,pre,1d,compact13,random_forest_balanced_depth3,11,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,feature_importance,0.0037770046486555854,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,activity,pre,1d,compact13,random_forest_balanced_depth3,12,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,feature_importance,0.0026658051717202346,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,activity,pre,1d,compact13,random_forest_balanced_depth3,13,s_hc1_supply_temperature_error__last_minus_first,feature_importance,0.0005066621683522106,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,activity,pre,1d,compact13,logistic_balanced,1,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,abs_coefficient,0.673113435095443,0.573170731707317,full_dataset_fit_for_audit_only
activity_pre_1d,activity,pre,1d,compact13,logistic_balanced,2,p_return_gap__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.6287113260811986,0.573170731707317,full_dataset_fit_for_audit_only
