accuracy,balanced_accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,dataset_id,model,fold,train_rows,test_rows,train_groups,test_groups,test_normal,test_fault_event
0.38461538461538464,0.35714285714285715,0.0,0.0,0.0,0.261904761904762,5,2,6,0,fault_event_with_unknown34,logistic_balanced,5,53,13,1|10|12|13|14|15|16|17|18|19|2|21|22|23|24|25|26|27|28|29|30|31|4|5|6|8|9,11|20|3|7,7,6
0.5,0.5,0.0,0.0,0.0,0.5,6,0,6,0,fault_event_no_event67,dummy_most_frequent,1,53,12,1|10|11|13|15|17|18|19|2|20|22|23|24|26|27|28|29|3|30|31|4|5|7|8|9,12|14|16|21|25|6,6,6
0.25,0.25,0.0,0.0,0.0,0.27777777777777773,3,3,6,0,fault_event_no_event67,logistic_balanced,1,53,12,1|10|11|13|15|17|18|19|2|20|22|23|24|26|27|28|29|3|30|31|4|5|7|8|9,12|14|16|21|25|6,6,6
0.5714285714285714,0.5,0.0,0.0,0.0,0.5,8,0,6,0,fault_event_no_event67,dummy_most_frequent,2,51,14,10|11|12|13|14|15|16|17|18|2|20|21|22|25|26|27|28|29|3|30|31|6|7|8|9,1|19|23|24|4|5,8,6
0.35714285714285715,0.35416666666666663,0.2857142857142857,0.3333333333333333,0.3076923076923077,0.3958333333333333,3,5,4,2,fault_event_no_event67,logistic_balanced,2,51,14,10|11|12|13|14|15|16|17|18|2|20|21|22|25|26|27|28|29|3|30|31|6|7|8|9,1|19|23|24|4|5,8,6
0.5384615384615384,0.5,0.0,0.0,0.0,0.5,7,0,6,0,fault_event_no_event67,dummy_most_frequent,3,52,13,1|10|11|12|13|14|15|16|17|18|19|21|22|23|24|25|27|28|29|3|4|5|6|8|9,2|20|26|30|31|7,7,6
0.6153846153846154,0.6190476190476191,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.5952380952380952,4,3,2,4,fault_event_no_event67,logistic_balanced,3,52,13,1|10|11|12|13|14|15|16|17|18|19|21|22|23|24|25|27|28|29|3|4|5|6|8|9,2|20|26|30|31|7,7,6
0.5384615384615384,0.5,0.0,0.0,0.0,0.5,7,0,6,0,fault_event_no_event67,dummy_most_frequent,4,52,13,1|11|12|13|14|15|16|18|19|2|20|21|23|24|25|26|28|3|30|31|4|5|6|7,10|17|22|27|29|8|9,7,6
0.3076923076923077,0.3214285714285714,0.3333333333333333,0.5,0.4,0.33333333333333337,1,6,3,3,fault_event_no_event67,logistic_balanced,4,52,13,1|11|12|13|14|15|16|18|19|2|20|21|23|24|25|26|28|3|30|31|4|5|6|7,10|17|22|27|29|8|9,7,6
0.5384615384615384,0.5,0.0,0.0,0.0,0.5,7,0,6,0,fault_event_no_event67,dummy_most_frequent,5,52,13,1|10|12|14|16|17|19|2|20|21|22|23|24|25|26|27|29|30|31|4|5|6|7|8|9,11|13|15|18|28|3,7,6
0.6153846153846154,0.6071428571428572,0.6,0.5,0.5454545454545454,0.38095238095238093,5,2,3,3,fault_event_no_event67,logistic_balanced,5,52,13,1|10|12|14|16|17|19|2|20|21|22|23|24|25|26|27|29|30|31|4|5|6|7|8|9,11|13|15|18|28|3,7,6
