dataset_id,fold,selection_strategy,selection_scope,used_test_fold_in_selection,rank,feature,coefficient,abs_coefficient,selected_for_model,selected_feature_count,train_rows,test_rows,train_positive_rows,test_positive_rows,train_groups,test_groups,group_overlap_count
strict_no_event20,1,fold_selected_compact13,train_fold_only,False,19,s_hc1_supply_temperature__min,-0.2580198631489888,0.2580198631489888,False,13,38,11,11,3,1|10|11|12|13|14|15|17|19|20|21|22|23|24|28|29|3|30|4|5|6|7|9,16|18|2|25|26|8,0
strict_no_event20,1,fold_selected_compact13,train_fold_only,False,20,p_net_meter_heat_power__min,-0.25393014799466296,0.25393014799466296,False,13,38,11,11,3,1|10|11|12|13|14|15|17|19|20|21|22|23|24|28|29|3|30|4|5|6|7|9,16|18|2|25|26|8,0
strict_no_event20,2,fold_selected_compact13,train_fold_only,False,1,p_return_gap__last_1d_mean_minus_prev_6d_mean,0.5950319311512587,0.5950319311512587,True,13,38,11,11,3,1|10|11|12|13|15|16|17|18|2|20|23|24|25|26|28|29|3|30|4|5|6|8,14|19|21|22|7|9,0
strict_no_event20,2,fold_selected_compact13,train_fold_only,False,2,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,-0.43983249820874054,0.43983249820874054,True,13,38,11,11,3,1|10|11|12|13|15|16|17|18|2|20|23|24|25|26|28|29|3|30|4|5|6|8,14|19|21|22|7|9,0
strict_no_event20,2,fold_selected_compact13,train_fold_only,False,3,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,0.439174271271275,0.439174271271275,True,13,38,11,11,3,1|10|11|12|13|15|16|17|18|2|20|23|24|25|26|28|29|3|30|4|5|6|8,14|19|21|22|7|9,0
strict_no_event20,2,fold_selected_compact13,train_fold_only,False,4,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,-0.39968247401428725,0.39968247401428725,True,13,38,11,11,3,1|10|11|12|13|15|16|17|18|2|20|23|24|25|26|28|29|3|30|4|5|6|8,14|19|21|22|7|9,0
strict_no_event20,2,fold_selected_compact13,train_fold_only,False,5,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,-0.3623739399257999,0.3623739399257999,True,13,38,11,11,3,1|10|11|12|13|15|16|17|18|2|20|23|24|25|26|28|29|3|30|4|5|6|8,14|19|21|22|7|9,0
strict_no_event20,2,fold_selected_compact13,train_fold_only,False,6,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,-0.36059374878567235,0.36059374878567235,True,13,38,11,11,3,1|10|11|12|13|15|16|17|18|2|20|23|24|25|26|28|29|3|30|4|5|6|8,14|19|21|22|7|9,0
strict_no_event20,2,fold_selected_compact13,train_fold_only,False,7,p_return_gap__last_minus_first,0.3236331905756036,0.3236331905756036,True,13,38,11,11,3,1|10|11|12|13|15|16|17|18|2|20|23|24|25|26|28|29|3|30|4|5|6|8,14|19|21|22|7|9,0
strict_no_event20,2,fold_selected_compact13,train_fold_only,False,8,p_net_return_temperature__std,0.30941333775872687,0.30941333775872687,True,13,38,11,11,3,1|10|11|12|13|15|16|17|18|2|20|23|24|25|26|28|29|3|30|4|5|6|8,14|19|21|22|7|9,0
strict_no_event20,2,fold_selected_compact13,train_fold_only,False,9,s_hc1_supply_temperature__last_minus_first,-0.30521020209920013,0.30521020209920013,True,13,38,11,11,3,1|10|11|12|13|15|16|17|18|2|20|23|24|25|26|28|29|3|30|4|5|6|8,14|19|21|22|7|9,0
strict_no_event20,2,fold_selected_compact13,train_fold_only,False,10,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,-0.2964051970364685,0.2964051970364685,True,13,38,11,11,3,1|10|11|12|13|15|16|17|18|2|20|23|24|25|26|28|29|3|30|4|5|6|8,14|19|21|22|7|9,0
strict_no_event20,2,fold_selected_compact13,train_fold_only,False,11,p_net_meter_flow__last_12h_mean_minus_prev_12h_mean,-0.28954026495159196,0.28954026495159196,True,13,38,11,11,3,1|10|11|12|13|15|16|17|18|2|20|23|24|25|26|28|29|3|30|4|5|6|8,14|19|21|22|7|9,0
strict_no_event20,2,fold_selected_compact13,train_fold_only,False,12,p_net_meter_heat_power__last_12h_mean_minus_prev_12h_mean,-0.28597771328154004,0.28597771328154004,True,13,38,11,11,3,1|10|11|12|13|15|16|17|18|2|20|23|24|25|26|28|29|3|30|4|5|6|8,14|19|21|22|7|9,0
strict_no_event20,2,fold_selected_compact13,train_fold_only,False,13,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,-0.2825508495707763,0.2825508495707763,True,13,38,11,11,3,1|10|11|12|13|15|16|17|18|2|20|23|24|25|26|28|29|3|30|4|5|6|8,14|19|21|22|7|9,0
strict_no_event20,2,fold_selected_compact13,train_fold_only,False,14,p_net_power_flow_ratio__min,-0.2652267660998512,0.2652267660998512,False,13,38,11,11,3,1|10|11|12|13|15|16|17|18|2|20|23|24|25|26|28|29|3|30|4|5|6|8,14|19|21|22|7|9,0
strict_no_event20,2,fold_selected_compact13,train_fold_only,False,15,p_net_meter_flow__last_1d_std_minus_prev_6d_std,-0.2649941756905286,0.2649941756905286,False,13,38,11,11,3,1|10|11|12|13|15|16|17|18|2|20|23|24|25|26|28|29|3|30|4|5|6|8,14|19|21|22|7|9,0
strict_no_event20,2,fold_selected_compact13,train_fold_only,False,16,p_net_supply_temperature__last_1d_mean_minus_prev_6d_mean,-0.2588704343319592,0.2588704343319592,False,13,38,11,11,3,1|10|11|12|13|15|16|17|18|2|20|23|24|25|26|28|29|3|30|4|5|6|8,14|19|21|22|7|9,0
strict_no_event20,2,fold_selected_compact13,train_fold_only,False,17,p_net_return_temperature__last_minus_first,-0.24665680894947545,0.24665680894947545,False,13,38,11,11,3,1|10|11|12|13|15|16|17|18|2|20|23|24|25|26|28|29|3|30|4|5|6|8,14|19|21|22|7|9,0
strict_no_event20,2,fold_selected_compact13,train_fold_only,False,18,p_net_delta_temperature__min,-0.23173317659084025,0.23173317659084025,False,13,38,11,11,3,1|10|11|12|13|15|16|17|18|2|20|23|24|25|26|28|29|3|30|4|5|6|8,14|19|21|22|7|9,0
strict_no_event20,2,fold_selected_compact13,train_fold_only,False,19,p_net_return_temperature__min,-0.2308796584035419,0.2308796584035419,False,13,38,11,11,3,1|10|11|12|13|15|16|17|18|2|20|23|24|25|26|28|29|3|30|4|5|6|8,14|19|21|22|7|9,0
strict_no_event20,2,fold_selected_compact13,train_fold_only,False,20,p_hc1_return_temperature__last_minus_first,-0.2268466337365961,0.2268466337365961,False,13,38,11,11,3,1|10|11|12|13|15|16|17|18|2|20|23|24|25|26|28|29|3|30|4|5|6|8,14|19|21|22|7|9,0
strict_no_event20,3,fold_selected_compact13,train_fold_only,False,1,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,0.7513978841563088,0.7513978841563088,True,13,40,9,12,2,1|12|14|16|17|18|19|2|21|22|23|24|25|26|28|29|3|30|4|5|6|7|8|9,10|11|13|15|20,0
strict_no_event20,3,fold_selected_compact13,train_fold_only,False,2,p_return_gap__last_1d_mean_minus_prev_6d_mean,0.5704312209272421,0.5704312209272421,True,13,40,9,12,2,1|12|14|16|17|18|19|2|21|22|23|24|25|26|28|29|3|30|4|5|6|7|8|9,10|11|13|15|20,0
strict_no_event20,3,fold_selected_compact13,train_fold_only,False,3,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,-0.5108949237746541,0.5108949237746541,True,13,40,9,12,2,1|12|14|16|17|18|19|2|21|22|23|24|25|26|28|29|3|30|4|5|6|7|8|9,10|11|13|15|20,0
strict_no_event20,3,fold_selected_compact13,train_fold_only,False,4,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,-0.4555903607786693,0.4555903607786693,True,13,40,9,12,2,1|12|14|16|17|18|19|2|21|22|23|24|25|26|28|29|3|30|4|5|6|7|8|9,10|11|13|15|20,0
strict_no_event20,3,fold_selected_compact13,train_fold_only,False,5,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,-0.39433287953182966,0.39433287953182966,True,13,40,9,12,2,1|12|14|16|17|18|19|2|21|22|23|24|25|26|28|29|3|30|4|5|6|7|8|9,10|11|13|15|20,0
strict_no_event20,3,fold_selected_compact13,train_fold_only,False,6,s_hc1_supply_temperature_error__max,0.39080700097921106,0.39080700097921106,True,13,40,9,12,2,1|12|14|16|17|18|19|2|21|22|23|24|25|26|28|29|3|30|4|5|6|7|8|9,10|11|13|15|20,0
strict_no_event20,3,fold_selected_compact13,train_fold_only,False,7,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,-0.3884282402248201,0.3884282402248201,True,13,40,9,12,2,1|12|14|16|17|18|19|2|21|22|23|24|25|26|28|29|3|30|4|5|6|7|8|9,10|11|13|15|20,0
strict_no_event20,3,fold_selected_compact13,train_fold_only,False,8,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,-0.3844520355956957,0.3844520355956957,True,13,40,9,12,2,1|12|14|16|17|18|19|2|21|22|23|24|25|26|28|29|3|30|4|5|6|7|8|9,10|11|13|15|20,0
strict_no_event20,3,fold_selected_compact13,train_fold_only,False,9,s_hc1_supply_temperature_error__last_6h_mean_minus_prev_6h_mean,-0.3780662650026345,0.3780662650026345,True,13,40,9,12,2,1|12|14|16|17|18|19|2|21|22|23|24|25|26|28|29|3|30|4|5|6|7|8|9,10|11|13|15|20,0
strict_no_event20,3,fold_selected_compact13,train_fold_only,False,10,outdoor_temperature__last_minus_first,0.37414633633838107,0.37414633633838107,True,13,40,9,12,2,1|12|14|16|17|18|19|2|21|22|23|24|25|26|28|29|3|30|4|5|6|7|8|9,10|11|13|15|20,0
strict_no_event20,3,fold_selected_compact13,train_fold_only,False,11,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,-0.3718279373986129,0.3718279373986129,True,13,40,9,12,2,1|12|14|16|17|18|19|2|21|22|23|24|25|26|28|29|3|30|4|5|6|7|8|9,10|11|13|15|20,0
strict_no_event20,3,fold_selected_compact13,train_fold_only,False,12,p_net_meter_flow__last_1d_std_minus_prev_6d_std,-0.322023186253661,0.322023186253661,True,13,40,9,12,2,1|12|14|16|17|18|19|2|21|22|23|24|25|26|28|29|3|30|4|5|6|7|8|9,10|11|13|15|20,0
strict_no_event20,3,fold_selected_compact13,train_fold_only,False,13,s_hc1_supply_temperature_error__last_minus_first,-0.3204220196465961,0.3204220196465961,True,13,40,9,12,2,1|12|14|16|17|18|19|2|21|22|23|24|25|26|28|29|3|30|4|5|6|7|8|9,10|11|13|15|20,0
strict_no_event20,3,fold_selected_compact13,train_fold_only,False,14,p_net_return_temperature__last_1d_std_minus_prev_6d_std,-0.31953106728763325,0.31953106728763325,False,13,40,9,12,2,1|12|14|16|17|18|19|2|21|22|23|24|25|26|28|29|3|30|4|5|6|7|8|9,10|11|13|15|20,0
strict_no_event20,3,fold_selected_compact13,train_fold_only,False,15,p_return_gap__last_minus_first,0.3183800430406281,0.3183800430406281,False,13,40,9,12,2,1|12|14|16|17|18|19|2|21|22|23|24|25|26|28|29|3|30|4|5|6|7|8|9,10|11|13|15|20,0
strict_no_event20,3,fold_selected_compact13,train_fold_only,False,16,outdoor_temperature__last_1d_mean_minus_prev_6d_mean,-0.3124992267219962,0.3124992267219962,False,13,40,9,12,2,1|12|14|16|17|18|19|2|21|22|23|24|25|26|28|29|3|30|4|5|6|7|8|9,10|11|13|15|20,0
strict_no_event20,3,fold_selected_compact13,train_fold_only,False,17,p_hc1_return_temperature__std,0.2967874166386366,0.2967874166386366,False,13,40,9,12,2,1|12|14|16|17|18|19|2|21|22|23|24|25|26|28|29|3|30|4|5|6|7|8|9,10|11|13|15|20,0
strict_no_event20,3,fold_selected_compact13,train_fold_only,False,18,p_hc1_return_temperature__min,-0.271721543302549,0.271721543302549,False,13,40,9,12,2,1|12|14|16|17|18|19|2|21|22|23|24|25|26|28|29|3|30|4|5|6|7|8|9,10|11|13|15|20,0
