source_event_id,sample_id,substation_id,label,error_type,fold,feature,feature_short,raw_value,standardized_value,coefficient,contribution,abs_contribution,driving_direction,contribution_rank_abs,contribution_rank_direction
28,normal_0028,7,normal,FP,3,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,supply temp / last 1d mean-prev 6d mean,2.8515046296296305,0.694361807311988,0.5282775773689269,0.36681577338428667,0.36681577338428667,positive_drive,5.0,4.0
28,normal_0028,7,normal,FP,3,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,supply temp / last 1d std-prev 6d std,-1.4908919978533652,-0.04994299908901658,-0.00037823261099024304,1.8890070946122072e-05,1.8890070946122072e-05,positive_drive,13.0,8.0
28,normal_0028,7,normal,FP,3,s_hc1_supply_temperature_error__last_minus_first,supply error / last-first,-0.7000000000000028,0.08698051201653904,-0.5652103889690212,-0.04916228902959265,0.04916228902959265,normal_drive,10.0,4.0
28,normal_0028,7,normal,FP,3,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,supply setpoint / last 1d mean-prev 6d mean,2.809259259259264,0.592852129283871,-0.052965295277692004,-0.03140058808352866,0.03140058808352866,normal_drive,11.0,5.0
15,strict_positive_0015,29,efd_possible,FN,4,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,outdoor / last 12h mean-prev 12h mean,-0.5503472222222232,-0.7555556544556088,-1.3796781902527848,1.0424236579745727,1.0424236579745727,positive_drive,4.0,2.0
15,strict_positive_0015,29,efd_possible,FN,4,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,outdoor / last 6h mean-prev 6h mean,-0.1969444444444441,0.43489830672977886,1.6860628866616985,0.7332658944490957,0.7332658944490957,positive_drive,5.0,3.0
15,strict_positive_0015,29,efd_possible,FN,4,outdoor_temperature__last_minus_first,outdoor / last-first,-2.3199999999999985,-0.26651663424707833,-0.17224575919192542,0.04590636000316472,0.04590636000316472,positive_drive,11.0,5.0
15,strict_positive_0015,29,efd_possible,FN,4,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,hc1 return / last 12h mean-prev 12h mean,0.3158333333333303,0.1630676681531475,-0.6406667782741816,-0.10447203759636037,0.10447203759636037,normal_drive,8.0,4.0
15,strict_positive_0015,29,efd_possible,FN,4,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,hc1 return / last 1d mean-prev 6d mean,5.214398148148149,1.8786348985563224,-0.7340281427255716,-1.37897088544674,1.37897088544674,normal_drive,3.0,2.0
15,strict_positive_0015,29,efd_possible,FN,4,p_net_meter_flow__last_1d_std_minus_prev_6d_std,flow / last 1d std-prev 6d std,-24.42538156192029,0.09502081953989869,-0.2926793619381617,-0.027810632833778753,0.027810632833778753,normal_drive,12.0,7.0
15,strict_positive_0015,29,efd_possible,FN,4,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,net return / last 1d mean-prev 6d mean,7.994212962962962,2.7684243419301064,-1.0220824817567749,-2.8295580219557896,2.8295580219557896,normal_drive,1.0,1.0
15,strict_positive_0015,29,efd_possible,FN,4,p_return_gap__last_1d_mean_minus_prev_6d_mean,return gap / last 1d mean-prev 6d mean,-2.7798148148148147,-1.6258396668526458,0.1168873532931553,-0.19004009553743112,0.19004009553743112,normal_drive,7.0,3.0
15,strict_positive_0015,29,efd_possible,FN,4,p_return_gap__last_minus_first,return gap / last-first,2.049999999999997,0.08859294913774494,-0.033174363501701325,-0.0029390146983832876,0.0029390146983832876,normal_drive,13.0,8.0
15,strict_positive_0015,29,efd_possible,FN,4,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,supply temp / last 1d mean-prev 6d mean,4.16337962962961,1.0412185764035484,0.4081195934955144,0.4249417021417944,0.4249417021417944,positive_drive,6.0,4.0
15,strict_positive_0015,29,efd_possible,FN,4,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,supply temp / last 1d std-prev 6d std,-3.1164819364279177,-0.7637777539924425,0.12350073667405624,-0.09432711527332276,0.09432711527332276,normal_drive,9.0,5.0
15,strict_positive_0015,29,efd_possible,FN,4,s_hc1_supply_temperature_error__last_minus_first,supply error / last-first,-38.61,-6.0758190705377455,-0.43088594212412507,2.6179850243843825,2.6179850243843825,positive_drive,2.0,1.0
15,strict_positive_0015,29,efd_possible,FN,4,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,supply setpoint / last 1d mean-prev 6d mean,4.762372685185184,1.0196746338615172,-0.07690443482618144,-0.07841750142371347,0.07841750142371347,normal_drive,10.0,6.0
52,strict_positive_0052,21,efd_possible,FN,4,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,outdoor / last 12h mean-prev 12h mean,-0.976388888888888,-0.9161480094911632,-1.3796781902527848,1.2639894277384591,1.2639894277384591,positive_drive,2.0,2.0
52,strict_positive_0052,21,efd_possible,FN,4,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,outdoor / last 6h mean-prev 6h mean,0.5638888888888891,0.8078432571609921,1.6860628866616985,1.3620745341390512,1.3620745341390512,positive_drive,1.0,1.0
52,strict_positive_0052,21,efd_possible,FN,4,outdoor_temperature__last_minus_first,outdoor / last-first,-0.6500000000000004,-0.0989574355973566,-0.17224575919192542,0.017044998622152755,0.017044998622152755,positive_drive,12.0,6.0
52,strict_positive_0052,21,efd_possible,FN,4,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,hc1 return / last 12h mean-prev 12h mean,0.6638888888888843,0.29139751593556423,-0.6406667782741816,-0.18668870773153742,0.18668870773153742,normal_drive,8.0,4.0
52,strict_positive_0052,21,efd_possible,FN,4,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,hc1 return / last 1d mean-prev 6d mean,2.169444444444437,0.9263283731686717,-0.7340281427255716,-0.6799510953110003,0.6799510953110003,normal_drive,3.0,1.0
52,strict_positive_0052,21,efd_possible,FN,4,p_net_meter_flow__last_1d_std_minus_prev_6d_std,flow / last 1d std-prev 6d std,-167.25609321531442,-1.0809004142050194,-0.2926793619381617,0.31635724354821976,0.31635724354821976,positive_drive,6.0,4.0
52,strict_positive_0052,21,efd_possible,FN,4,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,net return / last 1d mean-prev 6d mean,1.2109657143319057,0.5895014290891357,-1.0220824817567749,-0.6025190836425892,0.6025190836425892,normal_drive,4.0,2.0
52,strict_positive_0052,21,efd_possible,FN,4,p_return_gap__last_1d_mean_minus_prev_6d_mean,return gap / last 1d mean-prev 6d mean,0.9176415162980204,0.32332840769103227,0.1168873532931553,0.03779300181949504,0.03779300181949504,positive_drive,10.0,5.0
52,strict_positive_0052,21,efd_possible,FN,4,p_return_gap__last_minus_first,return gap / last-first,1.6700000000000017,0.03415932374715445,-0.033174363501701325,-0.0011332138229603998,0.0011332138229603998,normal_drive,13.0,7.0
52,strict_positive_0052,21,efd_possible,FN,4,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,supply temp / last 1d mean-prev 6d mean,4.983969907407406,1.22380070476196,0.4081195934955144,0.4994570461469751,0.4994570461469751,positive_drive,5.0,3.0
52,strict_positive_0052,21,efd_possible,FN,4,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,supply temp / last 1d std-prev 6d std,-5.849915085931441,-1.857632127373501,0.12350073667405624,-0.22941893620002166,0.22941893620002166,normal_drive,7.0,3.0
52,strict_positive_0052,21,efd_possible,FN,4,s_hc1_supply_temperature_error__last_minus_first,supply error / last-first,-0.2000000000000028,0.0532470137840633,-0.43088594212412507,-0.02294338969964239,0.02294338969964239,normal_drive,11.0,6.0
52,strict_positive_0052,21,efd_possible,FN,4,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,supply setpoint / last 1d mean-prev 6d mean,5.083680555555553,1.0817956055303295,-0.07690443482618144,-0.08319487964075671,0.08319487964075671,normal_drive,9.0,5.0
27,normal_0027,12,normal,FP,5,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,outdoor / last 12h mean-prev 12h mean,-3.885416666666672,-2.200201838015261,-1.413478824964057,3.10993870868157,3.10993870868157,positive_drive,2.0,2.0
27,normal_0027,12,normal,FP,5,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,outdoor / last 6h mean-prev 6h mean,2.69166666666667,1.8688935935209703,1.950609359524859,3.645481335478052,3.645481335478052,positive_drive,1.0,1.0
27,normal_0027,12,normal,FP,5,outdoor_temperature__last_minus_first,outdoor / last-first,-0.6000000000000014,-0.029788114688809132,0.23187499175167184,-0.006907118847765473,0.006907118847765473,normal_drive,13.0,10.0
27,normal_0027,12,normal,FP,5,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,hc1 return / last 12h mean-prev 12h mean,-0.1291666666666628,0.03851662671003556,-0.954550722064065,-0.0367660738375365,0.0367660738375365,normal_drive,10.0,8.0
27,normal_0027,12,normal,FP,5,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,hc1 return / last 1d mean-prev 6d mean,0.0703125,0.18058017116667435,-0.6057307931121972,-0.10938297030112598,0.10938297030112598,normal_drive,7.0,5.0
27,normal_0027,12,normal,FP,5,p_net_meter_flow__last_1d_std_minus_prev_6d_std,flow / last 1d std-prev 6d std,2.906777295540067,0.24121178887200553,-0.272387038809178,-0.06570296489671021,0.06570296489671021,normal_drive,9.0,7.0
27,normal_0027,12,normal,FP,5,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,net return / last 1d mean-prev 6d mean,0.8668981481481453,0.475700881321577,-0.29585850010925613,-0.14074014924845302,0.14074014924845302,normal_drive,6.0,4.0
27,normal_0027,12,normal,FP,5,p_return_gap__last_1d_mean_minus_prev_6d_mean,return gap / last 1d mean-prev 6d mean,-0.7965856481481488,-0.5992040071403022,0.43659512396240485,-0.26160954777618994,0.26160954777618994,normal_drive,3.0,1.0
27,normal_0027,12,normal,FP,5,p_return_gap__last_minus_first,return gap / last-first,-5.900000000000002,-1.1599842059787238,0.22400078949057728,-0.25983737793583456,0.25983737793583456,normal_drive,4.0,2.0
27,normal_0027,12,normal,FP,5,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,supply temp / last 1d mean-prev 6d mean,0.1201388888888814,0.0338360786990852,0.33955958801914643,0.011489364943244786,0.011489364943244786,positive_drive,11.0,3.0
27,normal_0027,12,normal,FP,5,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,supply temp / last 1d std-prev 6d std,-0.0596886624035467,0.5169915720727238,-0.435746228406126,-0.22527712764844326,0.22527712764844326,normal_drive,5.0,3.0
27,normal_0027,12,normal,FP,5,s_hc1_supply_temperature_error__last_minus_first,supply error / last-first,-0.2999999999999971,0.14310545851093262,-0.6371147205178862,-0.0911745942037768,0.0911745942037768,normal_drive,8.0,6.0
27,normal_0027,12,normal,FP,5,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,supply setpoint / last 1d mean-prev 6d mean,-0.0305555555555585,0.03765439165234422,-0.19824591925369878,-0.007464829487057782,0.007464829487057782,normal_drive,12.0,9.0
40,strict_positive_0040,24,efd_possible,FN,5,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,outdoor / last 12h mean-prev 12h mean,-7.543055555555552,-3.64754352702365,-1.413478824964057,5.155725538582641,5.155725538582641,positive_drive,1.0,1.0
40,strict_positive_0040,24,efd_possible,FN,5,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,outdoor / last 6h mean-prev 6h mean,-2.369444444444444,-0.6252774789299844,1.950609359524859,-1.2196721027009354,1.2196721027009354,normal_drive,6.0,4.0
40,strict_positive_0040,24,efd_possible,FN,5,outdoor_temperature__last_minus_first,outdoor / last-first,6.9,1.6607036317501602,0.23187499175167184,0.38507564091403984,0.38507564091403984,positive_drive,10.0,5.0
40,strict_positive_0040,24,efd_possible,FN,5,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,hc1 return / last 12h mean-prev 12h mean,9.403472222222227,3.6382589321206664,-0.954550722064065,-3.472902690711816,3.472902690711816,normal_drive,2.0,1.0
40,strict_positive_0040,24,efd_possible,FN,5,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,hc1 return / last 1d mean-prev 6d mean,-9.60585022959514,-3.0668647985011868,-0.6057307931121972,1.8576944467640029,1.8576944467640029,positive_drive,3.0,2.0
40,strict_positive_0040,24,efd_possible,FN,5,p_net_meter_flow__last_1d_std_minus_prev_6d_std,flow / last 1d std-prev 6d std,154.3107781466988,1.6030330513376516,-0.272387038809178,-0.4366454259671039,0.4366454259671039,normal_drive,9.0,5.0
40,strict_positive_0040,24,efd_possible,FN,5,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,net return / last 1d mean-prev 6d mean,-9.83548822534479,-2.707524646181231,-0.29585850010925613,0.8010441808280234,0.8010441808280234,positive_drive,8.0,4.0
40,strict_positive_0040,24,efd_possible,FN,5,p_return_gap__last_1d_mean_minus_prev_6d_mean,return gap / last 1d mean-prev 6d mean,0.2479874121779857,-0.12333809322280663,0.43659512396240485,-0.053848810099897906,0.053848810099897906,normal_drive,12.0,7.0
40,strict_positive_0040,24,efd_possible,FN,5,p_return_gap__last_minus_first,return gap / last-first,1.1500000000000057,-0.11942882552792018,0.22400078949057728,-0.02675215120618653,0.02675215120618653,normal_drive,13.0,8.0
40,strict_positive_0040,24,efd_possible,FN,5,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,supply temp / last 1d mean-prev 6d mean,-14.73236563833916,-3.716722366754108,0.33955958801914643,-1.2620487156365716,1.2620487156365716,normal_drive,5.0,3.0
40,strict_positive_0040,24,efd_possible,FN,5,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,supply temp / last 1d std-prev 6d std,8.056169407633448,3.845593684830636,-0.435746228406126,-1.6757029441473659,1.6757029441473659,normal_drive,4.0,2.0
40,strict_positive_0040,24,efd_possible,FN,5,s_hc1_supply_temperature_error__last_minus_first,supply error / last-first,1.000000000000021,0.29961430787797694,-0.6371147205178862,-0.19088868602683717,0.19088868602683717,normal_drive,11.0,6.0
40,strict_positive_0040,24,efd_possible,FN,5,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,supply setpoint / last 1d mean-prev 6d mean,-20.435201219117843,-4.235225791897709,-0.19824591925369878,0.8396162303617357,0.8396162303617357,positive_drive,7.0,3.0
