threshold,rows,accuracy,balanced_accuracy,roc_auc,precision_event,recall_event,f1_event,normal_fpr,tn,fp,fn,tp,dataset,feature_set,feature_count,model,fold,metric_scope,train_rows,test_rows,train_groups,test_groups,group_overlap_count,dummy_balanced_accuracy,balanced_accuracy_lift_vs_dummy,passes_event_recall,passes_normal_fpr,passes_dummy_lift,passes_group_overlap,passes_gate_criteria,decision_candidate,overall_decision_at_t0_5
0.6,185,0.43783783783783786,0.6423809523809524,0.7560000000000001,0.9791666666666666,0.31333333333333335,0.47474747474747475,0.02857142857142857,34,1,103,47,low_overlap_hybrid,expanded154,154,extra_trees_balanced_depth3,all,aggregate,,185,,,0,0.5,0.14238095238095239,False,True,False,True,False,binary_gate_unstable,binary_gate_unstable
0.4,185,0.772972972972973,0.5204761904761904,0.7447619047619047,0.8176470588235294,0.9266666666666666,0.86875,0.8857142857142857,4,31,11,139,low_overlap_hybrid,expanded154,154,hist_gradient_boosting,all,aggregate,,185,,,0,0.5,0.020476190476190426,True,False,False,True,False,binary_gate_unstable,binary_gate_unstable
0.5,185,0.772972972972973,0.5423809523809524,0.7447619047619047,0.8253012048192772,0.9133333333333333,0.8670886075949367,0.8285714285714286,6,29,13,137,low_overlap_hybrid,expanded154,154,hist_gradient_boosting,all,aggregate,,185,,,0,0.5,0.04238095238095241,True,False,False,True,False,binary_gate_unstable,binary_gate_unstable
0.6,185,0.7567567567567568,0.5433333333333333,0.7447619047619047,0.8260869565217391,0.8866666666666667,0.8553054662379421,0.8,7,28,17,133,low_overlap_hybrid,expanded154,154,hist_gradient_boosting,all,aggregate,,185,,,0,0.5,0.043333333333333335,True,False,False,True,False,binary_gate_unstable,binary_gate_unstable
0.4,185,0.7675675675675676,0.6376190476190476,0.7872380952380953,0.8639455782312925,0.8466666666666667,0.8552188552188552,0.5714285714285714,15,20,23,127,low_overlap_hybrid,expanded154,154,logistic_balanced,all,aggregate,,185,,,0,0.5,0.13761904761904764,True,False,False,True,False,binary_gate_unstable,binary_gate_unstable
0.5,185,0.7783783783783784,0.699047619047619,0.7872380952380953,0.8920863309352518,0.8266666666666667,0.8581314878892734,0.42857142857142855,20,15,26,124,low_overlap_hybrid,expanded154,154,logistic_balanced,all,aggregate,,185,,,0,0.5,0.19904761904761903,True,False,True,True,False,binary_gate_unstable,binary_gate_unstable
0.6,185,0.7783783783783784,0.720952380952381,0.7872380952380953,0.9037037037037037,0.8133333333333334,0.856140350877193,0.37142857142857144,22,13,28,122,low_overlap_hybrid,expanded154,154,logistic_balanced,all,aggregate,,185,,,0,0.5,0.220952380952381,True,False,True,True,False,binary_gate_unstable,binary_gate_unstable
0.4,185,0.8,0.580952380952381,0.7798095238095238,0.8383233532934131,0.9333333333333333,0.8832807570977917,0.7714285714285715,8,27,10,140,low_overlap_hybrid,expanded154,154,random_forest_balanced_depth3,all,aggregate,,185,,,0,0.5,0.080952380952381,True,False,False,True,False,binary_gate_unstable,binary_gate_unstable
0.5,185,0.7567567567567568,0.6857142857142857,0.7798095238095238,0.8888888888888888,0.8,0.8421052631578947,0.42857142857142855,20,15,30,120,low_overlap_hybrid,expanded154,154,random_forest_balanced_depth3,all,aggregate,,185,,,0,0.5,0.18571428571428572,True,False,True,True,False,binary_gate_unstable,binary_gate_unstable
0.6,185,0.6216216216216216,0.7338095238095238,0.7798095238095238,0.9651162790697675,0.5533333333333333,0.7033898305084746,0.08571428571428572,32,3,67,83,low_overlap_hybrid,expanded154,154,random_forest_balanced_depth3,all,aggregate,,185,,,0,0.5,0.2338095238095238,False,True,True,True,False,binary_gate_unstable,binary_gate_unstable
