target_class,best_pre_candidate,best_pre_dataset,best_pre_balanced_accuracy,best_pre_target_recall,best_pre_normal_fpr,best_pre_target_overlap_rate,best_post_candidate,best_post_dataset,best_post_balanced_accuracy,best_post_target_recall,best_post_normal_fpr,best_post_target_overlap_rate,best_no_overlap_candidate,best_no_overlap_dataset,best_no_overlap_balanced_accuracy,best_no_overlap_target_recall,best_no_overlap_normal_fpr,pre_pass,post_pass,no_overlap_pass,overlap_sensitive,semantic_decision,recommended_usage,reason
activity,activity_pre_1d|compact13|random_forest_balanced_depth3|t=0.5,activity_pre_1d,1.0,1.0,0.0,0.0425531914893617,activity_post_1d|compact13|random_forest_balanced_depth3|t=0.5,activity_post_1d,1.0,1.0,0.0,0.0869565217391304,activity_no_overlap|compact13|random_forest_balanced_depth3|t=0.5,activity_no_overlap,0.7369565217391305,0.6739130434782609,0.2,True,True,False,True,activity_predictive_candidate_overlap_sensitive,predictive_candidate_needs_overlap_review,"pre window passes, but no-overlap reference does not pass; keep as predictive candidate with reliability caveat."
task,task_pre_1d|compact13|random_forest_balanced_depth3|t=0.5,task_pre_1d,1.0,1.0,0.0,0.4,task_post_1d|compact13|random_forest_balanced_depth3|t=0.5,task_post_1d,1.0,1.0,0.0,0.0476190476190476,task_no_overlap|compact13|random_forest_balanced_depth3|t=0.5,task_no_overlap,0.6521235521235521,0.6756756756756757,0.3714285714285714,False,True,False,True,task_as_event_context_classifier,post_event_context_classifier,post window passes while pre window does not; do not describe this as advance prediction.
