dataset,target_class,policy_variant,feature_set,model,threshold,class_label,class_value,precision,recall,f1,support
activity_no_overlap,activity,no_overlap,expanded154,logistic_balanced,0.6,activity,1,0.8421052631578947,0.6956521739130435,0.7619047619047619,46
activity_no_overlap,activity,no_overlap,expanded154,random_forest_balanced_depth3,0.4,normal,0,0.7105263157894737,0.7714285714285715,0.7397260273972602,35
activity_no_overlap,activity,no_overlap,expanded154,random_forest_balanced_depth3,0.4,activity,1,0.813953488372093,0.7608695652173914,0.7865168539325843,46
activity_no_overlap,activity,no_overlap,expanded154,random_forest_balanced_depth3,0.5,normal,0,0.6938775510204082,0.9714285714285714,0.8095238095238095,35
activity_no_overlap,activity,no_overlap,expanded154,random_forest_balanced_depth3,0.5,activity,1,0.96875,0.6739130434782609,0.7948717948717948,46
activity_no_overlap,activity,no_overlap,expanded154,random_forest_balanced_depth3,0.6,normal,0,0.6538461538461539,0.9714285714285714,0.7816091954022989,35
activity_no_overlap,activity,no_overlap,expanded154,random_forest_balanced_depth3,0.6,activity,1,0.9655172413793104,0.6086956521739131,0.7466666666666667,46
activity_post_all,activity,post_all,compact13,dummy_most_frequent,0.4,normal,0,0.0,0.0,0.0,35
activity_post_all,activity,post_all,compact13,dummy_most_frequent,0.4,activity,1,0.5679012345679012,1.0,0.7244094488188977,46
activity_post_all,activity,post_all,compact13,dummy_most_frequent,0.5,normal,0,0.0,0.0,0.0,35
activity_post_all,activity,post_all,compact13,dummy_most_frequent,0.5,activity,1,0.5679012345679012,1.0,0.7244094488188977,46
activity_post_all,activity,post_all,compact13,dummy_most_frequent,0.6,normal,0,0.0,0.0,0.0,35
activity_post_all,activity,post_all,compact13,dummy_most_frequent,0.6,activity,1,0.5679012345679012,1.0,0.7244094488188977,46
activity_post_all,activity,post_all,compact13,extra_trees_balanced_depth3,0.4,normal,0,0.0,0.0,0.0,35
activity_post_all,activity,post_all,compact13,extra_trees_balanced_depth3,0.4,activity,1,0.5512820512820513,0.9347826086956522,0.6935483870967742,46
activity_post_all,activity,post_all,compact13,extra_trees_balanced_depth3,0.5,normal,0,0.4791666666666667,0.6571428571428571,0.5542168674698795,35
activity_post_all,activity,post_all,compact13,extra_trees_balanced_depth3,0.5,activity,1,0.6363636363636364,0.45652173913043476,0.5316455696202531,46
activity_post_all,activity,post_all,compact13,extra_trees_balanced_depth3,0.6,normal,0,0.4246575342465753,0.8857142857142857,0.5740740740740741,35
activity_post_all,activity,post_all,compact13,extra_trees_balanced_depth3,0.6,activity,1,0.5,0.08695652173913043,0.14814814814814814,46
activity_post_all,activity,post_all,compact13,logistic_balanced,0.4,normal,0,0.375,0.2571428571428571,0.3050847457627119,35
activity_post_all,activity,post_all,compact13,logistic_balanced,0.4,activity,1,0.543859649122807,0.6739130434782609,0.6019417475728155,46
activity_post_all,activity,post_all,compact13,logistic_balanced,0.5,normal,0,0.3181818181818182,0.4,0.35443037974683544,35
activity_post_all,activity,post_all,compact13,logistic_balanced,0.5,activity,1,0.43243243243243246,0.34782608695652173,0.3855421686746988,46
activity_post_all,activity,post_all,compact13,logistic_balanced,0.6,normal,0,0.3770491803278688,0.6571428571428571,0.4791666666666667,35
activity_post_all,activity,post_all,compact13,logistic_balanced,0.6,activity,1,0.4,0.17391304347826086,0.24242424242424243,46
activity_post_all,activity,post_all,compact13,random_forest_balanced_depth3,0.4,normal,0,0.5238095238095238,0.3142857142857143,0.39285714285714285,35
activity_post_all,activity,post_all,compact13,random_forest_balanced_depth3,0.4,activity,1,0.6,0.782608695652174,0.6792452830188679,46
activity_post_all,activity,post_all,compact13,random_forest_balanced_depth3,0.5,normal,0,0.5384615384615384,0.6,0.5675675675675675,35
activity_post_all,activity,post_all,compact13,random_forest_balanced_depth3,0.5,activity,1,0.6666666666666666,0.6086956521739131,0.6363636363636364,46
activity_post_all,activity,post_all,compact13,random_forest_balanced_depth3,0.6,normal,0,0.4918032786885246,0.8571428571428571,0.625,35
activity_post_all,activity,post_all,compact13,random_forest_balanced_depth3,0.6,activity,1,0.75,0.32608695652173914,0.45454545454545453,46
activity_post_all,activity,post_all,expanded154,dummy_most_frequent,0.4,normal,0,0.0,0.0,0.0,35
activity_post_all,activity,post_all,expanded154,dummy_most_frequent,0.4,activity,1,0.5679012345679012,1.0,0.7244094488188977,46
activity_post_all,activity,post_all,expanded154,dummy_most_frequent,0.5,normal,0,0.0,0.0,0.0,35
activity_post_all,activity,post_all,expanded154,dummy_most_frequent,0.5,activity,1,0.5679012345679012,1.0,0.7244094488188977,46
activity_post_all,activity,post_all,expanded154,dummy_most_frequent,0.6,normal,0,0.0,0.0,0.0,35
activity_post_all,activity,post_all,expanded154,dummy_most_frequent,0.6,activity,1,0.5679012345679012,1.0,0.7244094488188977,46
activity_post_all,activity,post_all,expanded154,extra_trees_balanced_depth3,0.4,normal,0,0.7241379310344828,0.6,0.65625,35
activity_post_all,activity,post_all,expanded154,extra_trees_balanced_depth3,0.4,activity,1,0.7307692307692307,0.8260869565217391,0.7755102040816326,46
activity_post_all,activity,post_all,expanded154,extra_trees_balanced_depth3,0.5,normal,0,0.6274509803921569,0.9142857142857143,0.7441860465116279,35
activity_post_all,activity,post_all,expanded154,extra_trees_balanced_depth3,0.5,activity,1,0.9,0.5869565217391305,0.7105263157894737,46
activity_post_all,activity,post_all,expanded154,extra_trees_balanced_depth3,0.6,normal,0,0.5396825396825397,0.9714285714285714,0.6938775510204082,35
activity_post_all,activity,post_all,expanded154,extra_trees_balanced_depth3,0.6,activity,1,0.9444444444444444,0.3695652173913043,0.53125,46
activity_post_all,activity,post_all,expanded154,logistic_balanced,0.4,normal,0,0.6333333333333333,0.5428571428571428,0.5846153846153846,35
activity_post_all,activity,post_all,expanded154,logistic_balanced,0.4,activity,1,0.6862745098039216,0.7608695652173914,0.7216494845360825,46
activity_post_all,activity,post_all,expanded154,logistic_balanced,0.5,normal,0,0.6176470588235294,0.6,0.6086956521739131,35
activity_post_all,activity,post_all,expanded154,logistic_balanced,0.5,activity,1,0.7021276595744681,0.717391304347826,0.7096774193548387,46
activity_post_all,activity,post_all,expanded154,logistic_balanced,0.6,normal,0,0.6153846153846154,0.6857142857142857,0.6486486486486487,35
activity_post_all,activity,post_all,expanded154,logistic_balanced,0.6,activity,1,0.7380952380952381,0.6739130434782609,0.7045454545454546,46
activity_post_all,activity,post_all,expanded154,random_forest_balanced_depth3,0.4,normal,0,0.7142857142857143,0.5714285714285714,0.6349206349206349,35
activity_post_all,activity,post_all,expanded154,random_forest_balanced_depth3,0.4,activity,1,0.7169811320754716,0.8260869565217391,0.7676767676767676,46
activity_post_all,activity,post_all,expanded154,random_forest_balanced_depth3,0.5,normal,0,0.6666666666666666,0.8,0.7272727272727273,35
activity_post_all,activity,post_all,expanded154,random_forest_balanced_depth3,0.5,activity,1,0.8205128205128205,0.6956521739130435,0.7529411764705882,46
activity_post_all,activity,post_all,expanded154,random_forest_balanced_depth3,0.6,normal,0,0.6326530612244898,0.8857142857142857,0.7380952380952381,35
activity_post_all,activity,post_all,expanded154,random_forest_balanced_depth3,0.6,activity,1,0.875,0.6086956521739131,0.717948717948718,46
activity_pre_all,activity,pre_all,compact13,dummy_most_frequent,0.4,normal,0,0.0,0.0,0.0,35
activity_pre_all,activity,pre_all,compact13,dummy_most_frequent,0.4,activity,1,0.573170731707317,1.0,0.7286821705426356,47
activity_pre_all,activity,pre_all,compact13,dummy_most_frequent,0.5,normal,0,0.0,0.0,0.0,35
activity_pre_all,activity,pre_all,compact13,dummy_most_frequent,0.5,activity,1,0.573170731707317,1.0,0.7286821705426356,47
activity_pre_all,activity,pre_all,compact13,dummy_most_frequent,0.6,normal,0,0.0,0.0,0.0,35
activity_pre_all,activity,pre_all,compact13,dummy_most_frequent,0.6,activity,1,0.573170731707317,1.0,0.7286821705426356,47
activity_pre_all,activity,pre_all,compact13,extra_trees_balanced_depth3,0.4,normal,0,1.0,0.14285714285714285,0.25,35
activity_pre_all,activity,pre_all,compact13,extra_trees_balanced_depth3,0.4,activity,1,0.6103896103896104,1.0,0.7580645161290323,47
activity_pre_all,activity,pre_all,compact13,extra_trees_balanced_depth3,0.5,normal,0,0.5238095238095238,0.6285714285714286,0.5714285714285714,35
activity_pre_all,activity,pre_all,compact13,extra_trees_balanced_depth3,0.5,activity,1,0.675,0.574468085106383,0.6206896551724138,47
activity_pre_all,activity,pre_all,compact13,extra_trees_balanced_depth3,0.6,normal,0,0.47297297297297297,1.0,0.6422018348623854,35
activity_pre_all,activity,pre_all,compact13,extra_trees_balanced_depth3,0.6,activity,1,1.0,0.1702127659574468,0.2909090909090909,47
activity_pre_all,activity,pre_all,compact13,logistic_balanced,0.4,normal,0,0.5151515151515151,0.4857142857142857,0.5,35
activity_pre_all,activity,pre_all,compact13,logistic_balanced,0.4,activity,1,0.6326530612244898,0.6595744680851063,0.6458333333333334,47
activity_pre_all,activity,pre_all,compact13,logistic_balanced,0.5,normal,0,0.4523809523809524,0.5428571428571428,0.4935064935064935,35
activity_pre_all,activity,pre_all,compact13,logistic_balanced,0.5,activity,1,0.6,0.5106382978723404,0.5517241379310345,47
activity_pre_all,activity,pre_all,compact13,logistic_balanced,0.6,normal,0,0.4423076923076923,0.6571428571428571,0.5287356321839081,35
activity_pre_all,activity,pre_all,compact13,logistic_balanced,0.6,activity,1,0.6,0.3829787234042553,0.4675324675324675,47
activity_pre_all,activity,pre_all,compact13,random_forest_balanced_depth3,0.4,normal,0,0.7307692307692307,0.5428571428571428,0.6229508196721312,35
activity_pre_all,activity,pre_all,compact13,random_forest_balanced_depth3,0.4,activity,1,0.7142857142857143,0.851063829787234,0.7766990291262136,47
activity_pre_all,activity,pre_all,compact13,random_forest_balanced_depth3,0.5,normal,0,0.6904761904761905,0.8285714285714286,0.7532467532467533,35
activity_pre_all,activity,pre_all,compact13,random_forest_balanced_depth3,0.5,activity,1,0.85,0.723404255319149,0.7816091954022989,47
activity_pre_all,activity,pre_all,compact13,random_forest_balanced_depth3,0.6,normal,0,0.6111111111111112,0.9428571428571428,0.7415730337078652,35
activity_pre_all,activity,pre_all,compact13,random_forest_balanced_depth3,0.6,activity,1,0.9285714285714286,0.5531914893617021,0.6933333333333334,47
activity_pre_all,activity,pre_all,expanded154,dummy_most_frequent,0.4,normal,0,0.0,0.0,0.0,35
activity_pre_all,activity,pre_all,expanded154,dummy_most_frequent,0.4,activity,1,0.573170731707317,1.0,0.7286821705426356,47
activity_pre_all,activity,pre_all,expanded154,dummy_most_frequent,0.5,normal,0,0.0,0.0,0.0,35
activity_pre_all,activity,pre_all,expanded154,dummy_most_frequent,0.5,activity,1,0.573170731707317,1.0,0.7286821705426356,47
activity_pre_all,activity,pre_all,expanded154,dummy_most_frequent,0.6,normal,0,0.0,0.0,0.0,35
activity_pre_all,activity,pre_all,expanded154,dummy_most_frequent,0.6,activity,1,0.573170731707317,1.0,0.7286821705426356,47
activity_pre_all,activity,pre_all,expanded154,extra_trees_balanced_depth3,0.4,normal,0,0.6938775510204082,0.9714285714285714,0.8095238095238095,35
activity_pre_all,activity,pre_all,expanded154,extra_trees_balanced_depth3,0.4,activity,1,0.9696969696969697,0.6808510638297872,0.8,47
activity_pre_all,activity,pre_all,expanded154,extra_trees_balanced_depth3,0.5,normal,0,0.6538461538461539,0.9714285714285714,0.7816091954022989,35
activity_pre_all,activity,pre_all,expanded154,extra_trees_balanced_depth3,0.5,activity,1,0.9666666666666667,0.6170212765957447,0.7532467532467533,47
activity_pre_all,activity,pre_all,expanded154,extra_trees_balanced_depth3,0.6,normal,0,0.6538461538461539,0.9714285714285714,0.7816091954022989,35
activity_pre_all,activity,pre_all,expanded154,extra_trees_balanced_depth3,0.6,activity,1,0.9666666666666667,0.6170212765957447,0.7532467532467533,47
activity_pre_all,activity,pre_all,expanded154,logistic_balanced,0.4,normal,0,0.7714285714285715,0.7714285714285715,0.7714285714285715,35
activity_pre_all,activity,pre_all,expanded154,logistic_balanced,0.4,activity,1,0.8297872340425532,0.8297872340425532,0.8297872340425532,47
activity_pre_all,activity,pre_all,expanded154,logistic_balanced,0.5,normal,0,0.7368421052631579,0.8,0.7671232876712328,35
activity_pre_all,activity,pre_all,expanded154,logistic_balanced,0.5,activity,1,0.8409090909090909,0.7872340425531915,0.8131868131868132,47
activity_pre_all,activity,pre_all,expanded154,logistic_balanced,0.6,normal,0,0.7435897435897436,0.8285714285714286,0.7837837837837838,35
activity_pre_all,activity,pre_all,expanded154,logistic_balanced,0.6,activity,1,0.8604651162790697,0.7872340425531915,0.8222222222222222,47
activity_pre_all,activity,pre_all,expanded154,random_forest_balanced_depth3,0.4,normal,0,0.7804878048780488,0.9142857142857143,0.8421052631578947,35
activity_pre_all,activity,pre_all,expanded154,random_forest_balanced_depth3,0.4,activity,1,0.926829268292683,0.8085106382978723,0.8636363636363636,47
activity_pre_all,activity,pre_all,expanded154,random_forest_balanced_depth3,0.5,normal,0,0.6938775510204082,0.9714285714285714,0.8095238095238095,35
activity_pre_all,activity,pre_all,expanded154,random_forest_balanced_depth3,0.5,activity,1,0.9696969696969697,0.6808510638297872,0.8,47
activity_pre_all,activity,pre_all,expanded154,random_forest_balanced_depth3,0.6,normal,0,0.6538461538461539,0.9714285714285714,0.7816091954022989,35
activity_pre_all,activity,pre_all,expanded154,random_forest_balanced_depth3,0.6,activity,1,0.9666666666666667,0.6170212765957447,0.7532467532467533,47
fault_no_overlap,fault,no_overlap,compact13,dummy_most_frequent,0.4,normal,0,0.0,0.0,0.0,35
fault_no_overlap,fault,no_overlap,compact13,dummy_most_frequent,0.4,fault,1,0.6111111111111112,1.0,0.7586206896551724,55
fault_no_overlap,fault,no_overlap,compact13,dummy_most_frequent,0.5,normal,0,0.0,0.0,0.0,35
fault_no_overlap,fault,no_overlap,compact13,dummy_most_frequent,0.5,fault,1,0.6111111111111112,1.0,0.7586206896551724,55
fault_no_overlap,fault,no_overlap,compact13,dummy_most_frequent,0.6,normal,0,0.0,0.0,0.0,35
fault_no_overlap,fault,no_overlap,compact13,dummy_most_frequent,0.6,fault,1,0.6111111111111112,1.0,0.7586206896551724,55
fault_no_overlap,fault,no_overlap,compact13,extra_trees_balanced_depth3,0.4,normal,0,1.0,0.37142857142857144,0.5416666666666666,35
fault_no_overlap,fault,no_overlap,compact13,extra_trees_balanced_depth3,0.4,fault,1,0.7142857142857143,1.0,0.8333333333333334,55
fault_no_overlap,fault,no_overlap,compact13,extra_trees_balanced_depth3,0.5,normal,0,0.7045454545454546,0.8857142857142857,0.7848101265822784,35
fault_no_overlap,fault,no_overlap,compact13,extra_trees_balanced_depth3,0.5,fault,1,0.9130434782608695,0.7636363636363637,0.8316831683168316,55
fault_no_overlap,fault,no_overlap,compact13,extra_trees_balanced_depth3,0.6,normal,0,0.4647887323943662,0.9428571428571428,0.6226415094339622,35
fault_no_overlap,fault,no_overlap,compact13,extra_trees_balanced_depth3,0.6,fault,1,0.8947368421052632,0.3090909090909091,0.4594594594594595,55
fault_no_overlap,fault,no_overlap,compact13,logistic_balanced,0.4,normal,0,0.7575757575757576,0.7142857142857143,0.7352941176470589,35
fault_no_overlap,fault,no_overlap,compact13,logistic_balanced,0.4,fault,1,0.8245614035087719,0.8545454545454545,0.8392857142857143,55
fault_no_overlap,fault,no_overlap,compact13,logistic_balanced,0.5,normal,0,0.65,0.7428571428571429,0.6933333333333334,35
fault_no_overlap,fault,no_overlap,compact13,logistic_balanced,0.5,fault,1,0.82,0.7454545454545455,0.780952380952381,55
fault_no_overlap,fault,no_overlap,compact13,logistic_balanced,0.6,normal,0,0.6,0.8571428571428571,0.7058823529411765,35
fault_no_overlap,fault,no_overlap,compact13,logistic_balanced,0.6,fault,1,0.875,0.6363636363636364,0.7368421052631579,55
fault_no_overlap,fault,no_overlap,compact13,random_forest_balanced_depth3,0.4,normal,0,0.8461538461538461,0.6285714285714286,0.7213114754098361,35
fault_no_overlap,fault,no_overlap,compact13,random_forest_balanced_depth3,0.4,fault,1,0.796875,0.9272727272727272,0.8571428571428571,55
