dataset_id,feature_set,feature,signal,stat,mean_coefficient,mean_abs_coefficient,std_coefficient
strict_no_event20,base70,s_hc1_supply_temperature__mean,s_hc1_supply_temperature,mean,-0.140473186271957,0.140473186271957,0.0641718123909445
strict_no_event20,base70,outdoor_temperature__median,outdoor_temperature,median,-0.11958909123357724,0.13903539646609225,0.139009140600404
strict_no_event20,base70,s_hc1_supply_temperature__std,s_hc1_supply_temperature,std,-0.09857810644441153,0.1187487293348874,0.13663626486886665
strict_no_event20,base70,s_hc1_supply_temperature__median,s_hc1_supply_temperature,median,-0.10077388700628313,0.1161673979911313,0.0895468904258821
strict_no_event20,base70,p_net_meter_flow__mean,p_net_meter_flow,mean,0.11594349234656931,0.11594349234656931,0.12193213357415326
strict_no_event20,base70,p_net_meter_flow__median,p_net_meter_flow,median,0.05589649694049337,0.10867367646997135,0.13768424411156335
strict_no_event20,base70,p_hc1_return_temperature__max,p_hc1_return_temperature,max,0.04021705326081075,0.10609468352184057,0.13310029650699207
strict_no_event20,base70,p_net_meter_volume__last_minus_first,p_net_meter_volume,last_minus_first,0.08059162822415059,0.0877695925429845,0.11475614506662155
strict_no_event20,base70,outdoor_temperature__mean,outdoor_temperature,mean,-0.06685660661502082,0.08421983747640968,0.0963621893237392
strict_no_event20,base70,p_net_supply_temperature__median,p_net_supply_temperature,median,-0.00845077977708858,0.07881310370883297,0.09695592741544382
strict_no_event20,base70,p_net_meter_volume__median,p_net_meter_volume,median,-0.06999504928649315,0.07051806652998069,0.058209700305358665
strict_no_event20,base70,p_net_meter_volume__min,p_net_meter_volume,min,-0.0699178667053523,0.07050737358750675,0.05833210504270894
strict_no_event20,base70,p_net_meter_volume__mean,p_net_meter_volume,mean,-0.06982470250304086,0.07039156896353095,0.058231286933720004
strict_no_event20,base70,p_net_meter_volume__max,p_net_meter_volume,max,-0.0695321796652155,0.07013719691805027,0.05822887711686612
strict_no_event20,base70,p_net_meter_energy__missing_rate,p_net_meter_energy,missing_rate,-0.04538330094251827,0.04538330094251827,0.03911207358113646
strict_no_event20,base70,p_net_meter_flow__missing_rate,p_net_meter_flow,missing_rate,-0.04538330094251827,0.04538330094251827,0.03911207358113646
strict_no_event20,base70,p_net_meter_heat_power__missing_rate,p_net_meter_heat_power,missing_rate,-0.04538330094251827,0.04538330094251827,0.03911207358113646
strict_no_event20,base70,p_net_meter_volume__missing_rate,p_net_meter_volume,missing_rate,-0.04538330094251827,0.04538330094251827,0.03911207358113646
strict_no_event20,base70,p_net_return_temperature__missing_rate,p_net_return_temperature,missing_rate,-0.04538330094251827,0.04538330094251827,0.03911207358113646
strict_no_event20,base70,p_net_supply_temperature__missing_rate,p_net_supply_temperature,missing_rate,-0.04538330094251827,0.04538330094251827,0.03911207358113646
strict_no_event20,base70,outdoor_temperature__missing_rate,outdoor_temperature,missing_rate,0.0,0.0,0.0
strict_no_event20,base70,p_hc1_return_temperature__missing_rate,p_hc1_return_temperature,missing_rate,0.0,0.0,0.0
strict_no_event20,base70,s_hc1_supply_temperature__missing_rate,s_hc1_supply_temperature,missing_rate,0.0,0.0,0.0
strict_no_event20,base70,s_hc1_supply_temperature_setpoint__missing_rate,s_hc1_supply_temperature_setpoint,missing_rate,0.0,0.0,0.0
strict_no_event20,compact13_overlap,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,outdoor_temperature,last_6h_mean_minus_prev_6h_mean,1.1372076934827755,1.1372076934827755,0.17521820980860986
strict_no_event20,compact13_overlap,s_hc1_supply_temperature_error__last_minus_first,s_hc1_supply_temperature_error,last_minus_first,-0.9873884895292783,0.9873884895292783,0.3197811601777212
strict_no_event20,compact13_overlap,p_return_gap__last_1d_mean_minus_prev_6d_mean,p_return_gap,last_1d_mean_minus_prev_6d_mean,0.6483824755901415,0.6483824755901415,0.1561921799805695
strict_no_event20,compact13_overlap,p_net_meter_flow__last_1d_std_minus_prev_6d_std,p_net_meter_flow,last_1d_std_minus_prev_6d_std,-0.6250301546692028,0.6250301546692028,0.06667447525818503
strict_no_event20,compact13_overlap,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,p_net_return_temperature,last_1d_mean_minus_prev_6d_mean,-0.566728657535296,0.566728657535296,0.12603273885883742
strict_no_event20,compact13_overlap,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,s_hc1_supply_temperature_setpoint,last_1d_mean_minus_prev_6d_mean,-0.5417045677180647,0.5417045677180647,0.2144688317352634
strict_no_event20,compact13_overlap,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,outdoor_temperature,last_12h_mean_minus_prev_12h_mean,-0.5412868468094982,0.5412868468094982,0.04744009286988275
strict_no_event20,compact13_overlap,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,p_hc1_return_temperature,last_1d_mean_minus_prev_6d_mean,-0.4804750646033974,0.4804750646033974,0.165916501958147
strict_no_event20,compact13_overlap,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,s_hc1_supply_temperature,last_1d_std_minus_prev_6d_std,-0.4204636836912562,0.4204636836912562,0.1843175574652611
strict_no_event20,compact13_overlap,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,p_hc1_return_temperature,last_12h_mean_minus_prev_12h_mean,-0.40238065213111673,0.40238065213111673,0.26131087910505857
strict_no_event20,compact13_overlap,outdoor_temperature__last_minus_first,outdoor_temperature,last_minus_first,0.2896105273051752,0.2896105273051752,0.1796388203415181
strict_no_event20,compact13_overlap,p_return_gap__last_minus_first,p_return_gap,last_minus_first,0.2769381289822602,0.2769381289822602,0.16030202352610548
strict_no_event20,compact13_overlap,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,s_hc1_supply_temperature,last_1d_mean_minus_prev_6d_mean,-0.1567960676695656,0.18886152214398583,0.20757314341727695
strict_no_event20,compact20_main,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,outdoor_temperature,last_6h_mean_minus_prev_6h_mean,0.9310065787553292,0.9310065787553292,0.15526809116189028
strict_no_event20,compact20_main,p_return_gap__last_1d_mean_minus_prev_6d_mean,p_return_gap,last_1d_mean_minus_prev_6d_mean,0.7330050507403368,0.7330050507403368,0.1498058169584633
strict_no_event20,compact20_main,p_net_meter_flow__last_1d_std_minus_prev_6d_std,p_net_meter_flow,last_1d_std_minus_prev_6d_std,-0.5984260736707102,0.5984260736707102,0.19279686948737307
strict_no_event20,compact20_main,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,s_hc1_supply_temperature,last_1d_std_minus_prev_6d_std,-0.5873147209540914,0.5873147209540914,0.23065043960132378
strict_no_event20,compact20_main,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,outdoor_temperature,last_12h_mean_minus_prev_12h_mean,-0.5763867797867033,0.5763867797867033,0.1503728892847473
strict_no_event20,compact20_main,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,p_net_return_temperature,last_1d_mean_minus_prev_6d_mean,-0.5681555572153981,0.5681555572153981,0.11449285566894535
strict_no_event20,compact20_main,s_hc1_supply_temperature_error__last_minus_first,s_hc1_supply_temperature_error,last_minus_first,-0.5398689944719836,0.5398689944719836,0.24218022112740248
strict_no_event20,compact20_main,p_hc1_return_temperature__last_minus_first,p_hc1_return_temperature,last_minus_first,-0.5317193989125819,0.5317193989125819,0.25559995725539214
strict_no_event20,compact20_main,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,s_hc1_supply_temperature_setpoint,last_1d_mean_minus_prev_6d_mean,-0.4748520038268911,0.4748520038268911,0.14014470521215364
strict_no_event20,compact20_main,outdoor_temperature__last_1d_mean_minus_prev_6d_mean,outdoor_temperature,last_1d_mean_minus_prev_6d_mean,-0.45240404489252767,0.45240404489252767,0.17328751642276055
strict_no_event20,compact20_main,outdoor_temperature__last_minus_first,outdoor_temperature,last_minus_first,0.3993578071098901,0.3993578071098901,0.1662071089256961
strict_no_event20,compact20_main,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,p_hc1_return_temperature,last_1d_mean_minus_prev_6d_mean,-0.3649083905844023,0.3649083905844023,0.1989867040313931
strict_no_event20,compact20_main,s_hc1_supply_temperature__last_6h_mean_minus_prev_6h_mean,s_hc1_supply_temperature,last_6h_mean_minus_prev_6h_mean,-0.29974124634328453,0.34347949195669897,0.2835692311512824
strict_no_event20,compact20_main,p_net_meter_flow__last_1d_mean_minus_prev_6d_mean,p_net_meter_flow,last_1d_mean_minus_prev_6d_mean,-0.33632568796086565,0.33632568796086565,0.15584201784235918
strict_no_event20,compact20_main,p_return_gap__last_minus_first,p_return_gap,last_minus_first,0.3159236811873143,0.3159236811873143,0.12932075250325759
strict_no_event20,compact20_main,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,p_hc1_return_temperature,last_12h_mean_minus_prev_12h_mean,-0.2937866929975033,0.2937866929975033,0.31658560625781645
strict_no_event20,compact20_main,s_hc1_supply_temperature__min,s_hc1_supply_temperature,min,-0.2867560875333142,0.2867560875333142,0.057894545954472236
strict_no_event20,compact20_main,p_hc1_return_temperature__min,p_hc1_return_temperature,min,-0.20376421031325825,0.20376421031325825,0.10770114398688921
strict_no_event20,compact20_main,s_hc1_supply_temperature_error__last_6h_mean_minus_prev_6h_mean,s_hc1_supply_temperature_error,last_6h_mean_minus_prev_6h_mean,-0.05931009011355977,0.18729894277332312,0.28966940128423535
strict_no_event20,compact20_main,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,s_hc1_supply_temperature,last_1d_mean_minus_prev_6d_mean,-0.18348879859716538,0.186618678962796,0.15826378639620417
strict_no_event20,compact27_union,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,outdoor_temperature,last_6h_mean_minus_prev_6h_mean,1.0286531162296155,1.0286531162296155,0.20833887316883776
strict_no_event20,compact27_union,p_return_gap__last_1d_mean_minus_prev_6d_mean,p_return_gap,last_1d_mean_minus_prev_6d_mean,0.7021757628388878,0.7021757628388878,0.11625134224088278
strict_no_event20,compact27_union,p_net_meter_flow__last_1d_std_minus_prev_6d_std,p_net_meter_flow,last_1d_std_minus_prev_6d_std,-0.6424700336047755,0.6424700336047755,0.14429170320848253
strict_no_event20,compact27_union,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,p_net_return_temperature,last_1d_mean_minus_prev_6d_mean,-0.5525571431351863,0.5525571431351863,0.13090132850401093
strict_no_event20,compact27_union,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,s_hc1_supply_temperature,last_1d_std_minus_prev_6d_std,-0.5370492229580781,0.5370492229580781,0.20299806735265435
strict_no_event20,compact27_union,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,outdoor_temperature,last_12h_mean_minus_prev_12h_mean,-0.503234324210723,0.503234324210723,0.0573125020691859
strict_no_event20,compact27_union,outdoor_temperature__last_1d_mean_minus_prev_6d_mean,outdoor_temperature,last_1d_mean_minus_prev_6d_mean,-0.5031572099293776,0.5031572099293776,0.23380893593675273
strict_no_event20,compact27_union,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,p_hc1_return_temperature,last_1d_mean_minus_prev_6d_mean,-0.49300269758563414,0.49300269758563414,0.14670880597265523
strict_no_event20,compact27_union,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,s_hc1_supply_temperature_setpoint,last_1d_mean_minus_prev_6d_mean,-0.44941999908037616,0.44941999908037616,0.08871678094569588
strict_no_event20,compact27_union,p_net_return_temperature__std,p_net_return_temperature,std,0.40170106354731694,0.40170106354731694,0.17742609906150156
strict_no_event20,compact27_union,s_hc1_supply_temperature_setpoint__last_minus_first,s_hc1_supply_temperature_setpoint,last_minus_first,0.37945201389161815,0.37945201389161815,0.20725473931314278
strict_no_event20,compact27_union,s_hc1_supply_temperature__last_6h_mean_minus_prev_6h_mean,s_hc1_supply_temperature,last_6h_mean_minus_prev_6h_mean,-0.3372106620887273,0.3742545982256667,0.28678470133583256
strict_no_event20,compact27_union,p_hc1_return_temperature__last_minus_first,p_hc1_return_temperature,last_minus_first,-0.3692413750703873,0.3692413750703873,0.12432479468034176
strict_no_event20,compact27_union,outdoor_temperature__last_minus_first,outdoor_temperature,last_minus_first,0.35519513640538625,0.35519513640538625,0.1573243221664606
strict_no_event20,compact27_union,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,s_hc1_supply_temperature,last_1d_mean_minus_prev_6d_mean,-0.3200944339168118,0.3200944339168118,0.13512438140160307
strict_no_event20,compact27_union,p_net_supply_temperature__min,p_net_supply_temperature,min,-0.3184299594406711,0.3184299594406711,0.08789347871391091
strict_no_event20,compact27_union,p_net_return_temperature__min,p_net_return_temperature,min,-0.3049681540418731,0.3049681540418731,0.12457281319544992
strict_no_event20,compact27_union,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,p_hc1_return_temperature,last_12h_mean_minus_prev_12h_mean,-0.2787053014796397,0.2787053014796397,0.18738847812723625
strict_no_event20,compact27_union,p_net_meter_flow__last_1d_mean_minus_prev_6d_mean,p_net_meter_flow,last_1d_mean_minus_prev_6d_mean,-0.27268866472117337,0.27268866472117337,0.11782849846826371
strict_no_event20,compact27_union,p_net_meter_flow__last_12h_mean_minus_prev_12h_mean,p_net_meter_flow,last_12h_mean_minus_prev_12h_mean,-0.26310421821743685,0.26310421821743685,0.24737969555115188
strict_no_event20,compact27_union,s_hc1_supply_temperature_error__last_minus_first,s_hc1_supply_temperature_error,last_minus_first,-0.207699581891513,0.21133315008645095,0.14284071190254669
strict_no_event20,compact27_union,p_return_gap__last_minus_first,p_return_gap,last_minus_first,0.20411656096891764,0.20411656096891764,0.0840676124499018
strict_no_event20,compact27_union,p_net_supply_temperature__last_1d_mean_minus_prev_6d_mean,p_net_supply_temperature,last_1d_mean_minus_prev_6d_mean,-0.16156155511198025,0.19113795019006258,0.1492294615481471
strict_no_event20,compact27_union,p_net_supply_temperature__last_minus_first,p_net_supply_temperature,last_minus_first,-0.1213141031080209,0.18325224160513318,0.16709198138376158
strict_no_event20,compact27_union,s_hc1_supply_temperature_error__last_6h_mean_minus_prev_6h_mean,s_hc1_supply_temperature_error,last_6h_mean_minus_prev_6h_mean,-0.11275808524454387,0.1529076637597394,0.17595993709406005
strict_no_event20,compact27_union,p_hc1_return_temperature__min,p_hc1_return_temperature,min,-0.13858575251111369,0.13858575251111369,0.09913303648544962
strict_no_event20,compact27_union,s_hc1_supply_temperature__min,s_hc1_supply_temperature,min,-0.11219727540393394,0.11219727540393394,0.03306530483019164
strict_no_event20,expanded154,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,outdoor_temperature,last_6h_mean_minus_prev_6h_mean,0.7622689618935936,0.7622689618935936,0.19289112141417503
strict_no_event20,expanded154,p_return_gap__last_1d_mean_minus_prev_6d_mean,p_return_gap,last_1d_mean_minus_prev_6d_mean,0.6156301609162524,0.6156301609162524,0.05581990243560234
strict_no_event20,expanded154,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,p_net_return_temperature,last_1d_mean_minus_prev_6d_mean,-0.3966029267096648,0.3966029267096648,0.0924885688987169
strict_no_event20,expanded154,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,p_hc1_return_temperature,last_1d_mean_minus_prev_6d_mean,-0.3696181831839769,0.3696181831839769,0.10473630899473216
strict_no_event20,expanded154,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,outdoor_temperature,last_12h_mean_minus_prev_12h_mean,-0.34665663548385883,0.34665663548385883,0.049020748771513196
strict_no_event20,expanded154,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,s_hc1_supply_temperature,last_1d_std_minus_prev_6d_std,-0.3350064422769085,0.3350064422769085,0.19707928478824108
strict_no_event20,expanded154,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,s_hc1_supply_temperature,last_1d_mean_minus_prev_6d_mean,-0.32367013236201353,0.32367013236201353,0.1275560602143717
strict_no_event20,expanded154,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,s_hc1_supply_temperature_setpoint,last_1d_mean_minus_prev_6d_mean,-0.31725476395283325,0.31725476395283325,0.08987072708098535
strict_no_event20,expanded154,p_net_meter_flow__last_1d_std_minus_prev_6d_std,p_net_meter_flow,last_1d_std_minus_prev_6d_std,-0.2977249033167174,0.2977249033167174,0.029182510328390653
strict_no_event20,expanded154,s_hc1_supply_temperature__last_6h_mean_minus_prev_6h_mean,s_hc1_supply_temperature,last_6h_mean_minus_prev_6h_mean,-0.24510534802535583,0.2921175690748637,0.21917525681998043
strict_no_event20,expanded154,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,p_hc1_return_temperature,last_12h_mean_minus_prev_12h_mean,-0.2592675854481286,0.2592675854481286,0.040168023626069936
strict_no_event20,expanded154,outdoor_temperature__last_minus_first,outdoor_temperature,last_minus_first,0.24291906455013365,0.24291906455013365,0.09363020606828729
strict_no_event20,expanded154,p_net_meter_flow__last_1d_mean_minus_prev_6d_mean,p_net_meter_flow,last_1d_mean_minus_prev_6d_mean,-0.24146396258189323,0.24146396258189323,0.040218511956051695
strict_no_event20,expanded154,s_hc1_supply_temperature_error__last_minus_first,s_hc1_supply_temperature_error,last_minus_first,-0.23180851957541196,0.23180851957541196,0.09357011149304273
strict_no_event20,expanded154,outdoor_temperature__last_1d_mean_minus_prev_6d_mean,outdoor_temperature,last_1d_mean_minus_prev_6d_mean,-0.2296809580764249,0.2296809580764249,0.10357761569442685
strict_no_event20,expanded154,p_return_gap__last_minus_first,p_return_gap,last_minus_first,0.22434923187353709,0.22434923187353709,0.11133874293833891
