dataset,target_class,feature_set,feature_count,model,fold,metric_scope,train_rows,test_rows,train_groups,test_groups,group_overlap_count,threshold,rows,accuracy,balanced_accuracy,macro_f1,roc_auc,normal_precision,normal_recall,normal_f1,target_precision,target_recall,target_f1,normal_support,target_support,normal_fpr,tn,fp,fn,tp
fault_no_overlap,fault,compact13,13,random_forest_balanced_depth3,4,fold,72.0,18,1|3|4|5|6|7|8|9|14|15|16|17|18|19|20|21|22|23|24|25|26|28|30|32,2|11|12|13|27|29|31,0,0.45,18,0.8888888888888888,0.8571428571428572,0.875,0.9090909090909091,1.0,0.7142857142857143,0.8333333333333334,0.8461538461538461,1.0,0.9166666666666666,7,11,0.2857142857142857,5,2,0,11
fault_no_overlap,fault,compact13,13,random_forest_balanced_depth3,4,fold,72.0,18,1|3|4|5|6|7|8|9|14|15|16|17|18|19|20|21|22|23|24|25|26|28|30|32,2|11|12|13|27|29|31,0,0.5,18,0.8888888888888888,0.8571428571428572,0.875,0.9090909090909091,1.0,0.7142857142857143,0.8333333333333334,0.8461538461538461,1.0,0.9166666666666666,7,11,0.2857142857142857,5,2,0,11
fault_no_overlap,fault,compact13,13,random_forest_balanced_depth3,4,fold,72.0,18,1|3|4|5|6|7|8|9|14|15|16|17|18|19|20|21|22|23|24|25|26|28|30|32,2|11|12|13|27|29|31,0,0.55,18,0.8333333333333334,0.8116883116883117,0.8193979933110368,0.9090909090909091,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.8333333333333334,0.9090909090909091,0.8695652173913043,7,11,0.2857142857142857,5,2,1,10
fault_no_overlap,fault,compact13,13,random_forest_balanced_depth3,4,fold,72.0,18,1|3|4|5|6|7|8|9|14|15|16|17|18|19|20|21|22|23|24|25|26|28|30|32,2|11|12|13|27|29|31,0,0.6,18,0.8333333333333334,0.8116883116883117,0.8193979933110368,0.9090909090909091,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.8333333333333334,0.9090909090909091,0.8695652173913043,7,11,0.2857142857142857,5,2,1,10
fault_no_overlap,fault,compact13,13,random_forest_balanced_depth3,5,fold,72.0,18,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|19|20|21|23|25|27|28|29|31,4|14|22|24|26|30|32,0,0.45,18,0.8333333333333334,0.8116883116883117,0.8193979933110368,0.9350649350649349,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.8333333333333334,0.9090909090909091,0.8695652173913043,7,11,0.2857142857142857,5,2,1,10
fault_no_overlap,fault,compact13,13,random_forest_balanced_depth3,5,fold,72.0,18,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|19|20|21|23|25|27|28|29|31,4|14|22|24|26|30|32,0,0.5,18,0.8888888888888888,0.8831168831168831,0.8831168831168831,0.9350649350649349,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9090909090909091,0.9090909090909091,0.9090909090909091,7,11,0.14285714285714285,6,1,1,10
fault_no_overlap,fault,compact13,13,random_forest_balanced_depth3,5,fold,72.0,18,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|19|20|21|23|25|27|28|29|31,4|14|22|24|26|30|32,0,0.55,18,0.8333333333333334,0.8376623376623377,0.8285714285714285,0.9350649350649349,0.75,0.8571428571428571,0.8,0.9,0.8181818181818182,0.8571428571428571,7,11,0.14285714285714285,6,1,2,9
fault_no_overlap,fault,compact13,13,random_forest_balanced_depth3,5,fold,72.0,18,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|19|20|21|23|25|27|28|29|31,4|14|22|24|26|30|32,0,0.6,18,0.8333333333333334,0.8636363636363636,0.8328173374613003,0.9350649350649349,0.7,1.0,0.8235294117647058,1.0,0.7272727272727273,0.8421052631578947,7,11,0.0,7,0,3,8
fault_no_overlap,fault,compact13,13,random_forest_balanced_depth3,all,aggregate,,90,,,0,0.45,90,0.8555555555555555,0.8350649350649351,0.8434782608695652,0.881038961038961,0.8666666666666667,0.7428571428571429,0.8,0.85,0.9272727272727272,0.8869565217391304,35,55,0.2571428571428571,26,9,4,51
fault_no_overlap,fault,compact13,13,random_forest_balanced_depth3,all,aggregate,,90,,,0,0.5,90,0.8555555555555555,0.8454545454545455,0.8472385428907168,0.881038961038961,0.8235294117647058,0.8,0.8115942028985508,0.875,0.8909090909090909,0.8828828828828829,35,55,0.2,28,7,6,49
