dataset,target_class,policy_variant,feature_set,model,threshold,class_label,class_value,precision,recall,f1,support
activity_no_overlap,activity,no_overlap,expanded154,xgboost_balanced,0.6,activity,1,0.8571428571428571,0.6521739130434783,0.7407407407407407,46
activity_post_all,activity,post_all,compact13,dummy_most_frequent,0.4,normal,0,0.0,0.0,0.0,35
activity_post_all,activity,post_all,compact13,dummy_most_frequent,0.4,activity,1,0.5679012345679012,1.0,0.7244094488188977,46
activity_post_all,activity,post_all,compact13,dummy_most_frequent,0.5,normal,0,0.0,0.0,0.0,35
activity_post_all,activity,post_all,compact13,dummy_most_frequent,0.5,activity,1,0.5679012345679012,1.0,0.7244094488188977,46
activity_post_all,activity,post_all,compact13,dummy_most_frequent,0.6,normal,0,0.0,0.0,0.0,35
activity_post_all,activity,post_all,compact13,dummy_most_frequent,0.6,activity,1,0.5679012345679012,1.0,0.7244094488188977,46
activity_post_all,activity,post_all,compact13,lightgbm_balanced,0.4,normal,0,0.5517241379310345,0.45714285714285713,0.5,35
activity_post_all,activity,post_all,compact13,lightgbm_balanced,0.4,activity,1,0.6346153846153846,0.717391304347826,0.673469387755102,46
activity_post_all,activity,post_all,compact13,lightgbm_balanced,0.5,normal,0,0.5263157894736842,0.5714285714285714,0.547945205479452,35
activity_post_all,activity,post_all,compact13,lightgbm_balanced,0.5,activity,1,0.6511627906976745,0.6086956521739131,0.6292134831460674,46
activity_post_all,activity,post_all,compact13,lightgbm_balanced,0.6,normal,0,0.4782608695652174,0.6285714285714286,0.5432098765432098,35
activity_post_all,activity,post_all,compact13,lightgbm_balanced,0.6,activity,1,0.6285714285714286,0.4782608695652174,0.5432098765432098,46
activity_post_all,activity,post_all,compact13,logistic_balanced,0.4,normal,0,0.375,0.2571428571428571,0.3050847457627119,35
activity_post_all,activity,post_all,compact13,logistic_balanced,0.4,activity,1,0.543859649122807,0.6739130434782609,0.6019417475728155,46
activity_post_all,activity,post_all,compact13,logistic_balanced,0.5,normal,0,0.3181818181818182,0.4,0.35443037974683544,35
activity_post_all,activity,post_all,compact13,logistic_balanced,0.5,activity,1,0.43243243243243246,0.34782608695652173,0.3855421686746988,46
activity_post_all,activity,post_all,compact13,logistic_balanced,0.6,normal,0,0.3770491803278688,0.6571428571428571,0.4791666666666667,35
activity_post_all,activity,post_all,compact13,logistic_balanced,0.6,activity,1,0.4,0.17391304347826086,0.24242424242424243,46
activity_post_all,activity,post_all,compact13,xgboost_balanced,0.4,normal,0,0.5,0.37142857142857144,0.4262295081967213,35
activity_post_all,activity,post_all,compact13,xgboost_balanced,0.4,activity,1,0.6,0.717391304347826,0.6534653465346535,46
activity_post_all,activity,post_all,compact13,xgboost_balanced,0.5,normal,0,0.5151515151515151,0.4857142857142857,0.5,35
activity_post_all,activity,post_all,compact13,xgboost_balanced,0.5,activity,1,0.625,0.6521739130434783,0.6382978723404256,46
activity_post_all,activity,post_all,compact13,xgboost_balanced,0.6,normal,0,0.5,0.6857142857142857,0.5783132530120482,35
activity_post_all,activity,post_all,compact13,xgboost_balanced,0.6,activity,1,0.6666666666666666,0.4782608695652174,0.5569620253164557,46
activity_post_all,activity,post_all,expanded154,dummy_most_frequent,0.4,normal,0,0.0,0.0,0.0,35
activity_post_all,activity,post_all,expanded154,dummy_most_frequent,0.4,activity,1,0.5679012345679012,1.0,0.7244094488188977,46
activity_post_all,activity,post_all,expanded154,dummy_most_frequent,0.5,normal,0,0.0,0.0,0.0,35
activity_post_all,activity,post_all,expanded154,dummy_most_frequent,0.5,activity,1,0.5679012345679012,1.0,0.7244094488188977,46
activity_post_all,activity,post_all,expanded154,dummy_most_frequent,0.6,normal,0,0.0,0.0,0.0,35
activity_post_all,activity,post_all,expanded154,dummy_most_frequent,0.6,activity,1,0.5679012345679012,1.0,0.7244094488188977,46
activity_post_all,activity,post_all,expanded154,lightgbm_balanced,0.4,normal,0,0.6071428571428571,0.4857142857142857,0.5396825396825397,35
activity_post_all,activity,post_all,expanded154,lightgbm_balanced,0.4,activity,1,0.660377358490566,0.7608695652173914,0.7070707070707071,46
activity_post_all,activity,post_all,expanded154,lightgbm_balanced,0.5,normal,0,0.6363636363636364,0.6,0.6176470588235294,35
activity_post_all,activity,post_all,expanded154,lightgbm_balanced,0.5,activity,1,0.7083333333333334,0.7391304347826086,0.723404255319149,46
