threshold,rows,accuracy,balanced_accuracy,macro_f1,roc_auc,precision_target,recall_target,f1_target,normal_fpr,tn,fp,fn,tp,dataset,target_class,policy_variant,feature_set,feature_count,model,fold,metric_scope,train_rows,test_rows,train_groups,test_groups,group_overlap_count
0.6,19,0.5789473684210527,0.5,0.36666666666666664,0.5,0.5789473684210527,1.0,0.7333333333333333,1.0,0,8,0,11,fault_pre_all,fault,pre_all,compact13,13,dummy_most_frequent,2,fold,78.0,19,1|2|3|5|6|7|8|9|11|12|13|15|16|18|19|20|21|23|25|26|27|29|30|31|32,4|10|14|17|22|24|28,0
0.4,19,0.7894736842105263,0.8011363636363636,0.788888888888889,0.8636363636363636,0.8888888888888888,0.7272727272727273,0.8,0.125,7,1,3,8,fault_pre_all,fault,pre_all,compact13,13,logistic_balanced,2,fold,78.0,19,1|2|3|5|6|7|8|9|11|12|13|15|16|18|19|20|21|23|25|26|27|29|30|31|32,4|10|14|17|22|24|28,0
0.5,19,0.7368421052631579,0.7556818181818181,0.7368421052631579,0.8636363636363636,0.875,0.6363636363636364,0.7368421052631579,0.125,7,1,4,7,fault_pre_all,fault,pre_all,compact13,13,logistic_balanced,2,fold,78.0,19,1|2|3|5|6|7|8|9|11|12|13|15|16|18|19|20|21|23|25|26|27|29|30|31|32,4|10|14|17|22|24|28,0
0.6,19,0.7894736842105263,0.8181818181818181,0.788888888888889,0.8636363636363636,1.0,0.6363636363636364,0.7777777777777778,0.0,8,0,4,7,fault_pre_all,fault,pre_all,compact13,13,logistic_balanced,2,fold,78.0,19,1|2|3|5|6|7|8|9|11|12|13|15|16|18|19|20|21|23|25|26|27|29|30|31|32,4|10|14|17|22|24|28,0
0.4,19,0.8421052631578947,0.8295454545454546,0.8347826086956522,0.9204545454545454,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.25,6,2,1,10,fault_pre_all,fault,pre_all,compact13,13,random_forest_balanced_depth3,2,fold,78.0,19,1|2|3|5|6|7|8|9|11|12|13|15|16|18|19|20|21|23|25|26|27|29|30|31|32,4|10|14|17|22|24|28,0
0.5,19,0.7894736842105263,0.7840909090909092,0.7840909090909092,0.9204545454545454,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.25,6,2,2,9,fault_pre_all,fault,pre_all,compact13,13,random_forest_balanced_depth3,2,fold,78.0,19,1|2|3|5|6|7|8|9|11|12|13|15|16|18|19|20|21|23|25|26|27|29|30|31|32,4|10|14|17|22|24|28,0
0.6,19,0.8421052631578947,0.8465909090909092,0.8403361344537814,0.9204545454545454,0.9,0.8181818181818182,0.8571428571428571,0.125,7,1,2,9,fault_pre_all,fault,pre_all,compact13,13,random_forest_balanced_depth3,2,fold,78.0,19,1|2|3|5|6|7|8|9|11|12|13|15|16|18|19|20|21|23|25|26|27|29|30|31|32,4|10|14|17|22|24|28,0
0.4,19,0.7368421052631579,0.6875,0.6801346801346801,0.9659090909090909,0.6875,1.0,0.8148148148148148,0.625,3,5,0,11,fault_pre_all,fault,pre_all,compact13,13,extra_trees_balanced_depth3,2,fold,78.0,19,1|2|3|5|6|7|8|9|11|12|13|15|16|18|19|20|21|23|25|26|27|29|30|31|32,4|10|14|17|22|24|28,0
0.5,19,0.8947368421052632,0.9090909090909092,0.8944444444444444,0.9659090909090909,1.0,0.8181818181818182,0.9,0.0,8,0,2,9,fault_pre_all,fault,pre_all,compact13,13,extra_trees_balanced_depth3,2,fold,78.0,19,1|2|3|5|6|7|8|9|11|12|13|15|16|18|19|20|21|23|25|26|27|29|30|31|32,4|10|14|17|22|24|28,0
0.6,19,0.631578947368421,0.6818181818181819,0.6144927536231883,0.9659090909090909,1.0,0.36363636363636365,0.5333333333333333,0.0,8,0,7,4,fault_pre_all,fault,pre_all,compact13,13,extra_trees_balanced_depth3,2,fold,78.0,19,1|2|3|5|6|7|8|9|11|12|13|15|16|18|19|20|21|23|25|26|27|29|30|31|32,4|10|14|17|22|24|28,0
0.4,21,0.6666666666666666,0.5,0.4,0.5,0.6666666666666666,1.0,0.8,1.0,0,7,0,14,fault_pre_all,fault,pre_all,compact13,13,dummy_most_frequent,3,fold,76.0,21,2|4|5|6|7|8|9|10|12|13|14|15|17|18|19|20|22|23|24|25|26|27|28|29|30|31|32,1|3|11|16|21,0
0.5,21,0.6666666666666666,0.5,0.4,0.5,0.6666666666666666,1.0,0.8,1.0,0,7,0,14,fault_pre_all,fault,pre_all,compact13,13,dummy_most_frequent,3,fold,76.0,21,2|4|5|6|7|8|9|10|12|13|14|15|17|18|19|20|22|23|24|25|26|27|28|29|30|31|32,1|3|11|16|21,0
0.6,21,0.6666666666666666,0.5,0.4,0.5,0.6666666666666666,1.0,0.8,1.0,0,7,0,14,fault_pre_all,fault,pre_all,compact13,13,dummy_most_frequent,3,fold,76.0,21,2|4|5|6|7|8|9|10|12|13|14|15|17|18|19|20|22|23|24|25|26|27|28|29|30|31|32,1|3|11|16|21,0
0.4,21,0.9047619047619048,0.8571428571428572,0.8833333333333333,0.9387755102040816,0.875,1.0,0.9333333333333333,0.2857142857142857,5,2,0,14,fault_pre_all,fault,pre_all,compact13,13,logistic_balanced,3,fold,76.0,21,2|4|5|6|7|8|9|10|12|13|14|15|17|18|19|20|22|23|24|25|26|27|28|29|30|31|32,1|3|11|16|21,0
0.5,21,0.8095238095238095,0.8214285714285714,0.7980769230769231,0.9387755102040816,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.14285714285714285,6,1,3,11,fault_pre_all,fault,pre_all,compact13,13,logistic_balanced,3,fold,76.0,21,2|4|5|6|7|8|9|10|12|13|14|15|17|18|19|20|22|23|24|25|26|27|28|29|30|31|32,1|3|11|16|21,0
0.6,21,0.8571428571428571,0.8928571428571428,0.851764705882353,0.9387755102040816,1.0,0.7857142857142857,0.88,0.0,7,0,3,11,fault_pre_all,fault,pre_all,compact13,13,logistic_balanced,3,fold,76.0,21,2|4|5|6|7|8|9|10|12|13|14|15|17|18|19|20|22|23|24|25|26|27|28|29|30|31|32,1|3|11|16|21,0
0.4,21,0.9047619047619048,0.8928571428571428,0.8928571428571428,0.9387755102040817,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.14285714285714285,6,1,1,13,fault_pre_all,fault,pre_all,compact13,13,random_forest_balanced_depth3,3,fold,76.0,21,2|4|5|6|7|8|9|10|12|13|14|15|17|18|19|20|22|23|24|25|26|27|28|29|30|31|32,1|3|11|16|21,0
0.5,21,0.8571428571428571,0.8928571428571428,0.851764705882353,0.9387755102040817,1.0,0.7857142857142857,0.88,0.0,7,0,3,11,fault_pre_all,fault,pre_all,compact13,13,random_forest_balanced_depth3,3,fold,76.0,21,2|4|5|6|7|8|9|10|12|13|14|15|17|18|19|20|22|23|24|25|26|27|28|29|30|31|32,1|3|11|16|21,0
0.6,21,0.7142857142857143,0.7857142857142857,0.7136363636363636,0.9387755102040817,1.0,0.5714285714285714,0.7272727272727273,0.0,7,0,6,8,fault_pre_all,fault,pre_all,compact13,13,random_forest_balanced_depth3,3,fold,76.0,21,2|4|5|6|7|8|9|10|12|13|14|15|17|18|19|20|22|23|24|25|26|27|28|29|30|31|32,1|3|11|16|21,0
0.4,21,0.8095238095238095,0.7142857142857143,0.7375,0.9591836734693877,0.7777777777777778,1.0,0.875,0.5714285714285714,3,4,0,14,fault_pre_all,fault,pre_all,compact13,13,extra_trees_balanced_depth3,3,fold,76.0,21,2|4|5|6|7|8|9|10|12|13|14|15|17|18|19|20|22|23|24|25|26|27|28|29|30|31|32,1|3|11|16|21,0
0.5,21,0.7142857142857143,0.7857142857142857,0.7136363636363636,0.9591836734693877,1.0,0.5714285714285714,0.7272727272727273,0.0,7,0,6,8,fault_pre_all,fault,pre_all,compact13,13,extra_trees_balanced_depth3,3,fold,76.0,21,2|4|5|6|7|8|9|10|12|13|14|15|17|18|19|20|22|23|24|25|26|27|28|29|30|31|32,1|3|11|16|21,0
0.6,21,0.42857142857142855,0.5714285714285714,0.3942307692307692,0.9591836734693877,1.0,0.14285714285714285,0.25,0.0,7,0,12,2,fault_pre_all,fault,pre_all,compact13,13,extra_trees_balanced_depth3,3,fold,76.0,21,2|4|5|6|7|8|9|10|12|13|14|15|17|18|19|20|22|23|24|25|26|27|28|29|30|31|32,1|3|11|16|21,0
0.4,21,0.6666666666666666,0.5,0.4,0.5,0.6666666666666666,1.0,0.8,1.0,0,7,0,14,fault_pre_all,fault,pre_all,compact13,13,dummy_most_frequent,4,fold,76.0,21,1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|17|21|22|23|24|25|28|29|30|31|32,15|18|19|20|26|27,0
0.5,21,0.6666666666666666,0.5,0.4,0.5,0.6666666666666666,1.0,0.8,1.0,0,7,0,14,fault_pre_all,fault,pre_all,compact13,13,dummy_most_frequent,4,fold,76.0,21,1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|17|21|22|23|24|25|28|29|30|31|32,15|18|19|20|26|27,0
0.6,21,0.6666666666666666,0.5,0.4,0.5,0.6666666666666666,1.0,0.8,1.0,0,7,0,14,fault_pre_all,fault,pre_all,compact13,13,dummy_most_frequent,4,fold,76.0,21,1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|17|21|22|23|24|25|28|29|30|31|32,15|18|19|20|26|27,0
0.4,21,0.9047619047619048,0.9285714285714286,0.8990384615384616,0.979591836734694,1.0,0.8571428571428571,0.9230769230769231,0.0,7,0,2,12,fault_pre_all,fault,pre_all,compact13,13,logistic_balanced,4,fold,76.0,21,1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|17|21|22|23|24|25|28|29|30|31|32,15|18|19|20|26|27,0
0.5,21,0.8571428571428571,0.8928571428571428,0.851764705882353,0.979591836734694,1.0,0.7857142857142857,0.88,0.0,7,0,3,11,fault_pre_all,fault,pre_all,compact13,13,logistic_balanced,4,fold,76.0,21,1|2|3|4|5|6|7|8|9|10|11|12|13|14|16|17|21|22|23|24|25|28|29|30|31|32,15|18|19|20|26|27,0
