threshold,rows,accuracy,balanced_accuracy,roc_auc,precision_event,recall_event,f1_event,normal_fpr,tn,fp,fn,tp,dataset,feature_set,feature_count,model,fold,metric_scope,train_rows,train_extra_rows_used,test_rows,train_groups,test_groups,group_overlap_count,dummy_balanced_accuracy,balanced_accuracy_lift_vs_dummy,passes_event_recall,passes_normal_fpr,passes_dummy_lift,passes_group_overlap,passes_gate_criteria,decision_candidate,overall_decision_at_t0_5
0.4,170,0.7764705882352941,0.6899470899470899,0.7849735449735449,0.875968992248062,0.837037037037037,0.8560606060606061,0.45714285714285713,19,16,22,113,low_overlap_only,expanded154,154,logistic_balanced,all,aggregate,,0,170,,,0,0.5,0.18994708994708986,True,False,True,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.5,170,0.7764705882352941,0.7322751322751323,0.7849735449735449,0.9008264462809917,0.8074074074074075,0.8515625,0.34285714285714286,23,12,26,109,low_overlap_only,expanded154,154,logistic_balanced,all,aggregate,,0,170,,,0,0.5,0.2322751322751323,True,False,True,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.6,170,0.7588235294117647,0.7423280423280423,0.7849735449735449,0.9122807017543859,0.7703703703703704,0.8353413654618473,0.2857142857142857,25,10,31,104,low_overlap_only,expanded154,154,logistic_balanced,all,aggregate,,0,170,,,0,0.5,0.24232804232804228,False,False,True,True,False,normal_vs_event_gate_unstable_keep_pre_event_binary,gate_policy_iteration_needed
0.4,170,0.7823529411764706,0.5772486772486772,0.7331216931216931,0.8223684210526315,0.9259259259259259,0.8710801393728222,0.7714285714285715,8,27,10,125,low_overlap_only,expanded154,154,random_forest_balanced_depth3,all,aggregate,,0,170,,,0,0.5,0.07724867724867723,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.5,170,0.7,0.6417989417989418,0.7331216931216931,0.8620689655172413,0.7407407407407407,0.796812749003984,0.45714285714285713,19,16,35,100,low_overlap_only,expanded154,154,random_forest_balanced_depth3,all,aggregate,,0,170,,,0,0.5,0.1417989417989418,False,False,False,True,False,normal_vs_event_gate_unstable_keep_pre_event_binary,gate_policy_iteration_needed
0.6,170,0.5705882352941176,0.6873015873015873,0.7331216931216931,0.9428571428571428,0.4888888888888889,0.6439024390243903,0.11428571428571428,31,4,69,66,low_overlap_only,expanded154,154,random_forest_balanced_depth3,all,aggregate,,0,170,,,0,0.5,0.1873015873015873,False,True,True,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.4,185,0.8108108108108109,0.5,0.5,0.8108108108108109,1.0,0.8955223880597015,1.0,0,35,0,150,reference_low_overlap_hybrid,compact13,13,dummy_most_frequent,all,aggregate,,0,185,,,0,0.5,0.0,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.5,185,0.8108108108108109,0.5,0.5,0.8108108108108109,1.0,0.8955223880597015,1.0,0,35,0,150,reference_low_overlap_hybrid,compact13,13,dummy_most_frequent,all,aggregate,,0,185,,,0,0.5,0.0,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.6,185,0.8108108108108109,0.5,0.5,0.8108108108108109,1.0,0.8955223880597015,1.0,0,35,0,150,reference_low_overlap_hybrid,compact13,13,dummy_most_frequent,all,aggregate,,0,185,,,0,0.5,0.0,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.4,185,0.7945945945945946,0.49,0.7158095238095238,0.8076923076923077,0.98,0.8855421686746988,1.0,0,35,3,147,reference_low_overlap_hybrid,compact13,13,extra_trees_balanced_depth3,all,aggregate,,0,185,,,0,0.5,-0.010000000000000009,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.5,185,0.6648648648648648,0.6619047619047619,0.7158095238095238,0.8928571428571429,0.6666666666666666,0.7633587786259542,0.34285714285714286,23,12,50,100,reference_low_overlap_hybrid,compact13,13,extra_trees_balanced_depth3,all,aggregate,,0,185,,,0,0.5,0.16190476190476188,False,False,True,True,False,normal_vs_event_gate_unstable_keep_pre_event_binary,gate_policy_iteration_needed
0.6,185,0.372972972972973,0.5914285714285714,0.7158095238095238,0.9473684210526315,0.24,0.3829787234042553,0.05714285714285714,33,2,114,36,reference_low_overlap_hybrid,compact13,13,extra_trees_balanced_depth3,all,aggregate,,0,185,,,0,0.5,0.09142857142857141,False,True,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.4,185,0.7297297297297297,0.6361904761904762,0.7238095238095238,0.8676470588235294,0.7866666666666666,0.8251748251748252,0.5142857142857142,17,18,32,118,reference_low_overlap_hybrid,compact13,13,logistic_balanced,all,aggregate,,0,185,,,0,0.5,0.1361904761904762,False,False,False,True,False,normal_vs_event_gate_unstable_keep_pre_event_binary,gate_policy_iteration_needed
0.5,185,0.6864864864864865,0.6752380952380952,0.7238095238095238,0.896551724137931,0.6933333333333334,0.7819548872180451,0.34285714285714286,23,12,46,104,reference_low_overlap_hybrid,compact13,13,logistic_balanced,all,aggregate,,0,185,,,0,0.5,0.1752380952380952,False,False,True,True,False,normal_vs_event_gate_unstable_keep_pre_event_binary,gate_policy_iteration_needed
0.6,185,0.5945945945945946,0.6514285714285715,0.7238095238095238,0.9032258064516129,0.56,0.691358024691358,0.2571428571428571,26,9,66,84,reference_low_overlap_hybrid,compact13,13,logistic_balanced,all,aggregate,,0,185,,,0,0.5,0.15142857142857147,False,False,True,True,False,normal_vs_event_gate_unstable_keep_pre_event_binary,gate_policy_iteration_needed
0.4,185,0.7891891891891892,0.5852380952380952,0.6940952380952381,0.8404907975460123,0.9133333333333333,0.8753993610223643,0.7428571428571429,9,26,13,137,reference_low_overlap_hybrid,compact13,13,random_forest_balanced_depth3,all,aggregate,,0,185,,,0,0.5,0.08523809523809522,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.5,185,0.7189189189189189,0.6076190476190476,0.6940952380952381,0.855072463768116,0.7866666666666666,0.8194444444444444,0.5714285714285714,15,20,32,118,reference_low_overlap_hybrid,compact13,13,random_forest_balanced_depth3,all,aggregate,,0,185,,,0,0.5,0.10761904761904761,False,False,False,True,False,normal_vs_event_gate_unstable_keep_pre_event_binary,gate_policy_iteration_needed
0.6,185,0.5675675675675675,0.6238095238095238,0.6940952380952381,0.8888888888888888,0.5333333333333333,0.6666666666666666,0.2857142857142857,25,10,70,80,reference_low_overlap_hybrid,compact13,13,random_forest_balanced_depth3,all,aggregate,,0,185,,,0,0.5,0.12380952380952381,False,False,False,True,False,normal_vs_event_gate_unstable_keep_pre_event_binary,gate_policy_iteration_needed
0.4,185,0.8108108108108109,0.5,0.5,0.8108108108108109,1.0,0.8955223880597015,1.0,0,35,0,150,reference_low_overlap_hybrid,expanded154,154,dummy_most_frequent,all,aggregate,,0,185,,,0,0.5,0.0,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.5,185,0.8108108108108109,0.5,0.5,0.8108108108108109,1.0,0.8955223880597015,1.0,0,35,0,150,reference_low_overlap_hybrid,expanded154,154,dummy_most_frequent,all,aggregate,,0,185,,,0,0.5,0.0,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.6,185,0.8108108108108109,0.5,0.5,0.8108108108108109,1.0,0.8955223880597015,1.0,0,35,0,150,reference_low_overlap_hybrid,expanded154,154,dummy_most_frequent,all,aggregate,,0,185,,,0,0.5,0.0,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.4,185,0.7837837837837838,0.5161904761904762,0.7560000000000001,0.8160919540229885,0.9466666666666667,0.8765432098765432,0.9142857142857143,3,32,8,142,reference_low_overlap_hybrid,expanded154,154,extra_trees_balanced_depth3,all,aggregate,,0,185,,,0,0.5,0.0161904761904762,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
