scenario,w_risk,w_leadtime,w_group,policy_intent,weight_sum,formula,top5_overlap_count,top5_overlap_rate,top10_overlap_count,top10_overlap_rate,mean_abs_rank_change,max_abs_rank_change,high_count,medium_count,low_count,monitor_count,high_tier_ratio,review_events_in_top10,review_top10_count,long_leadtime_high_or_medium_count,low_risk_high_count,passes_top10_overlap,passes_review_guardrail,passes_high_tier_ratio,passes_long_leadtime_guardrail,passes_low_risk_guardrail,passes_all_guardrails,guardrail_pass_count,decision_rationale,scenario_decision,recommended_scenario,final_decision
baseline_28,0.55,0.3,0.15,28번 기준선: risk를 가장 크게 보고 leadtime과 group을 보조로 사용,1.0,100*(0.55*risk_probability+0.30*leadtime_urgency+0.15*group_weight),5,1.0,10,1.0,0.0,0,21,4,0,8,0.6363636363636364,,0,6,0,True,True,True,True,True,True,5,all_guardrails_pass,recommended,baseline_28,baseline_28_keep_as_policy_v1
risk_heavy,0.7,0.2,0.1,현재 모델 위험확률을 더 강하게 반영,0.9999999999999999,100*(0.70*risk_probability+0.20*leadtime_urgency+0.10*group_weight),3,0.6,7,0.7,2.242424242424242,5,23,2,0,8,0.696969696969697,67,1,6,0,True,False,True,True,True,False,4,review_event_enters_top10,reject_or_review,baseline_28,baseline_28_keep_as_policy_v1
leadtime_heavy,0.45,0.4,0.15,며칠 전부터 잡히는 신호와 출동 여유를 더 강하게 반영,1.0,100*(0.45*risk_probability+0.40*leadtime_urgency+0.15*group_weight),4,0.8,10,1.0,0.6666666666666666,3,22,2,1,8,0.6666666666666666,,0,5,0,True,True,True,True,True,True,5,all_guardrails_pass,candidate,baseline_28,baseline_28_keep_as_policy_v1
group_heavy,0.45,0.25,0.3,빈도와 monitoring potential이 높은 고장군을 더 강하게 반영,1.0,100*(0.45*risk_probability+0.25*leadtime_urgency+0.30*group_weight),4,0.8,7,0.7,2.1818181818181817,8,18,6,1,8,0.5454545454545454,,0,5,0,True,True,True,True,True,True,5,all_guardrails_pass,candidate,baseline_28,baseline_28_keep_as_policy_v1
balanced_policy,0.5,0.3,0.2,risk 중심은 유지하되 group 정보를 baseline보다 조금 더 반영,1.0,100*(0.50*risk_probability+0.30*leadtime_urgency+0.20*group_weight),4,0.8,10,1.0,1.0303030303030303,4,21,4,0,8,0.6363636363636364,,0,6,0,True,True,True,True,True,True,5,all_guardrails_pass,candidate,baseline_28,baseline_28_keep_as_policy_v1
