threshold,rows,accuracy,balanced_accuracy,macro_f1,roc_auc,precision_target,recall_target,f1_target,normal_fpr,tn,fp,fn,tp,dataset,target_class,policy_variant,feature_set,feature_count,model,fold,metric_scope,train_rows,test_rows,train_groups,test_groups,group_overlap_count
0.5,17,0.7058823529411765,0.6590909090909092,0.6640316205533596,0.7121212121212122,0.75,0.8181818181818182,0.782608695652174,0.5,3,3,2,9,fault_no_overlap,fault,no_overlap,compact13,13,xgboost_balanced,1,fold,73.0,17,2|4|5|6|8|9|11|12|13|14|15|16|17|18|19|20|21|22|24|26|27|28|29|30|31|32,1|3|7|23|25,0
0.6,17,0.6470588235294118,0.6515151515151515,0.6357142857142857,0.7121212121212122,0.7777777777777778,0.6363636363636364,0.7,0.3333333333333333,4,2,4,7,fault_no_overlap,fault,no_overlap,compact13,13,xgboost_balanced,1,fold,73.0,17,2|4|5|6|8|9|11|12|13|14|15|16|17|18|19|20|21|22|24|26|27|28|29|30|31|32,1|3|7|23|25,0
0.4,19,0.5789473684210527,0.5,0.36666666666666664,0.5,0.5789473684210527,1.0,0.7333333333333333,1.0,0,8,0,11,fault_no_overlap,fault,no_overlap,compact13,13,dummy_most_frequent,2,fold,71.0,19,1|2|3|4|5|6|7|8|9|11|12|13|14|17|21|22|23|24|25|26|27|29|30|31|32,15|16|18|19|20|28,0
0.5,19,0.5789473684210527,0.5,0.36666666666666664,0.5,0.5789473684210527,1.0,0.7333333333333333,1.0,0,8,0,11,fault_no_overlap,fault,no_overlap,compact13,13,dummy_most_frequent,2,fold,71.0,19,1|2|3|4|5|6|7|8|9|11|12|13|14|17|21|22|23|24|25|26|27|29|30|31|32,15|16|18|19|20|28,0
0.6,19,0.5789473684210527,0.5,0.36666666666666664,0.5,0.5789473684210527,1.0,0.7333333333333333,1.0,0,8,0,11,fault_no_overlap,fault,no_overlap,compact13,13,dummy_most_frequent,2,fold,71.0,19,1|2|3|4|5|6|7|8|9|11|12|13|14|17|21|22|23|24|25|26|27|29|30|31|32,15|16|18|19|20|28,0
0.4,19,0.7894736842105263,0.8011363636363636,0.788888888888889,0.9204545454545454,0.8888888888888888,0.7272727272727273,0.8,0.125,7,1,3,8,fault_no_overlap,fault,no_overlap,compact13,13,logistic_balanced,2,fold,71.0,19,1|2|3|4|5|6|7|8|9|11|12|13|14|17|21|22|23|24|25|26|27|29|30|31|32,15|16|18|19|20|28,0
0.5,19,0.7368421052631579,0.7556818181818181,0.7368421052631579,0.9204545454545454,0.875,0.6363636363636364,0.7368421052631579,0.125,7,1,4,7,fault_no_overlap,fault,no_overlap,compact13,13,logistic_balanced,2,fold,71.0,19,1|2|3|4|5|6|7|8|9|11|12|13|14|17|21|22|23|24|25|26|27|29|30|31|32,15|16|18|19|20|28,0
0.6,19,0.6842105263157895,0.7272727272727273,0.6761363636363636,0.9204545454545454,1.0,0.45454545454545453,0.625,0.0,8,0,6,5,fault_no_overlap,fault,no_overlap,compact13,13,logistic_balanced,2,fold,71.0,19,1|2|3|4|5|6|7|8|9|11|12|13|14|17|21|22|23|24|25|26|27|29|30|31|32,15|16|18|19|20|28,0
0.4,19,0.8947368421052632,0.8920454545454546,0.8920454545454546,0.9886363636363636,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.125,7,1,1,10,fault_no_overlap,fault,no_overlap,compact13,13,lightgbm_balanced,2,fold,71.0,19,1|2|3|4|5|6|7|8|9|11|12|13|14|17|21|22|23|24|25|26|27|29|30|31|32,15|16|18|19|20|28,0
0.5,19,0.9473684210526315,0.9545454545454546,0.9467787114845938,0.9886363636363636,1.0,0.9090909090909091,0.9523809523809523,0.0,8,0,1,10,fault_no_overlap,fault,no_overlap,compact13,13,lightgbm_balanced,2,fold,71.0,19,1|2|3|4|5|6|7|8|9|11|12|13|14|17|21|22|23|24|25|26|27|29|30|31|32,15|16|18|19|20|28,0
