check_name,dataset,feature_set,model,threshold,reported_balanced_accuracy,recomputed_balanced_accuracy,reported_macro_f1,recomputed_macro_f1,pass,note
metric_recompute,activity_no_overlap,compact13,dummy_most_frequent,0.4,0.5,0.5,0.36220472440944884,0.36220472440944884,True,independent recompute from saved predictions
metric_recompute,activity_no_overlap,compact13,dummy_most_frequent,0.5,0.5,0.5,0.36220472440944884,0.36220472440944884,True,independent recompute from saved predictions
metric_recompute,activity_no_overlap,compact13,dummy_most_frequent,0.6,0.5,0.5,0.36220472440944884,0.36220472440944884,True,independent recompute from saved predictions
metric_recompute,activity_no_overlap,compact13,extra_trees_balanced_depth3,0.4,0.5639751552795031,0.5639751552795031,0.5092827828805941,0.5092827828805941,True,independent recompute from saved predictions
metric_recompute,activity_no_overlap,compact13,extra_trees_balanced_depth3,0.5,0.668944099378882,0.668944099378882,0.6648275862068966,0.6648275862068966,True,independent recompute from saved predictions
metric_recompute,activity_no_overlap,compact13,extra_trees_balanced_depth3,0.6,0.5652173913043478,0.5652173913043478,0.43356643356643354,0.43356643356643354,True,independent recompute from saved predictions
metric_recompute,activity_no_overlap,compact13,logistic_balanced,0.4,0.5043478260869565,0.5043478260869565,0.5036920659858601,0.5036920659858601,True,independent recompute from saved predictions
metric_recompute,activity_no_overlap,compact13,logistic_balanced,0.5,0.5357142857142857,0.5357142857142857,0.5302197802197802,0.5302197802197802,True,independent recompute from saved predictions
metric_recompute,activity_no_overlap,compact13,logistic_balanced,0.6,0.5419254658385093,0.5419254658385093,0.5137755887332616,0.5137755887332616,True,independent recompute from saved predictions
metric_recompute,activity_no_overlap,compact13,random_forest_balanced_depth3,0.4,0.6524844720496894,0.6524844720496894,0.6508620689655172,0.6508620689655172,True,independent recompute from saved predictions
metric_recompute,activity_no_overlap,compact13,random_forest_balanced_depth3,0.5,0.7369565217391305,0.7369565217391305,0.7280219780219781,0.7280219780219781,True,independent recompute from saved predictions
metric_recompute,activity_no_overlap,compact13,random_forest_balanced_depth3,0.6,0.739751552795031,0.739751552795031,0.7144827586206897,0.7144827586206897,True,independent recompute from saved predictions
metric_recompute,activity_no_overlap,expanded154,dummy_most_frequent,0.4,0.5,0.5,0.36220472440944884,0.36220472440944884,True,independent recompute from saved predictions
metric_recompute,activity_no_overlap,expanded154,dummy_most_frequent,0.5,0.5,0.5,0.36220472440944884,0.36220472440944884,True,independent recompute from saved predictions
metric_recompute,activity_no_overlap,expanded154,dummy_most_frequent,0.6,0.5,0.5,0.36220472440944884,0.36220472440944884,True,independent recompute from saved predictions
metric_recompute,activity_no_overlap,expanded154,extra_trees_balanced_depth3,0.4,0.7832298136645963,0.7832298136645963,0.7652890041177368,0.7652890041177368,True,independent recompute from saved predictions
