accuracy,balanced_accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,dataset_id,model,threshold,rows,normal_rows,positive_rows,false_positive_rate,false_negative_rate
0.5081967213114754,0.5318681318681319,0.45,0.6923076923076923,0.5454545454545454,0.5516483516483517,13,22,8,18,expanded_weak_positive,logistic_balanced,0.3,61,35,26,0.6285714285714286,0.3076923076923077
0.5245901639344263,0.5362637362637362,0.45714285714285713,0.6153846153846154,0.5245901639344263,0.5516483516483517,16,19,10,16,expanded_weak_positive,logistic_balanced,0.4,61,35,26,0.5428571428571428,0.38461538461538464
0.5573770491803278,0.554945054945055,0.4827586206896552,0.5384615384615384,0.509090909090909,0.5516483516483517,20,15,12,14,expanded_weak_positive,logistic_balanced,0.5,61,35,26,0.42857142857142855,0.46153846153846156
0.5737704918032787,0.5543956043956044,0.5,0.4230769230769231,0.4583333333333333,0.5516483516483517,24,11,15,11,expanded_weak_positive,logistic_balanced,0.6,61,35,26,0.3142857142857143,0.5769230769230769
0.5102040816326531,0.55,0.32142857142857145,0.6428571428571429,0.42857142857142855,0.6040816326530613,16,19,5,9,strict_no_event20,logistic_balanced,0.3,49,35,14,0.5428571428571428,0.35714285714285715
0.5510204081632653,0.5357142857142857,0.3181818181818182,0.5,0.3888888888888889,0.6040816326530613,20,15,7,7,strict_no_event20,logistic_balanced,0.4,49,35,14,0.42857142857142855,0.5
0.6122448979591837,0.5785714285714285,0.3684210526315789,0.5,0.42424242424242425,0.6040816326530613,23,12,7,7,strict_no_event20,logistic_balanced,0.5,49,35,14,0.34285714285714286,0.5
0.673469387755102,0.6214285714285714,0.4375,0.5,0.4666666666666667,0.6040816326530613,26,9,7,7,strict_no_event20,logistic_balanced,0.6,49,35,14,0.2571428571428571,0.5
0.5625,0.554945054945055,0.3181818181818182,0.5384615384615384,0.4,0.6483516483516484,20,15,6,7,strict_no_event20_no_event67,logistic_balanced,0.3,48,35,13,0.42857142857142855,0.46153846153846156
0.6041666666666666,0.5835164835164834,0.35,0.5384615384615384,0.42424242424242425,0.6483516483516484,22,13,6,7,strict_no_event20_no_event67,logistic_balanced,0.4,48,35,13,0.37142857142857144,0.46153846153846156
0.6041666666666666,0.5835164835164834,0.35,0.5384615384615384,0.42424242424242425,0.6483516483516484,22,13,6,7,strict_no_event20_no_event67,logistic_balanced,0.5,48,35,13,0.37142857142857144,0.46153846153846156
0.6458333333333334,0.6120879120879121,0.3888888888888889,0.5384615384615384,0.45161290322580644,0.6483516483516484,24,11,6,7,strict_no_event20_no_event67,logistic_balanced,0.6,48,35,13,0.3142857142857143,0.46153846153846156
