accuracy,balanced_accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,dataset_id,model,threshold,rows,normal_rows,positive_rows,false_positive_rate,false_negative_rate
0.5076923076923077,0.5214285714285714,0.4772727272727273,0.7,0.5675675675675675,0.5342857142857143,12,23,9,21,fault_event_known_only,logistic_balanced,0.3,65,35,30,0.6571428571428571,0.3
0.5230769230769231,0.5261904761904762,0.4857142857142857,0.5666666666666667,0.5230769230769231,0.5342857142857143,17,18,13,17,fault_event_known_only,logistic_balanced,0.4,65,35,30,0.5142857142857142,0.43333333333333335
0.5230769230769231,0.5214285714285714,0.4838709677419355,0.5,0.4918032786885246,0.5342857142857143,19,16,15,15,fault_event_known_only,logistic_balanced,0.5,65,35,30,0.45714285714285713,0.5
0.5230769230769231,0.5166666666666666,0.48148148148148145,0.43333333333333335,0.45614035087719296,0.5342857142857143,21,14,17,13,fault_event_known_only,logistic_balanced,0.6,65,35,30,0.4,0.5666666666666667
0.3939393939393939,0.3972350230414746,0.3783783783783784,0.45161290322580644,0.4117647058823529,0.3889400921658986,12,23,17,14,fault_event_with_unknown34,logistic_balanced,0.3,66,35,31,0.6571428571428571,0.5483870967741935
0.3787878787878788,0.3774193548387097,0.34375,0.3548387096774194,0.3492063492063492,0.3889400921658986,14,21,20,11,fault_event_with_unknown34,logistic_balanced,0.4,66,35,31,0.6,0.6451612903225806
0.42424242424242425,0.41843317972350225,0.37037037037037035,0.3225806451612903,0.3448275862068966,0.3889400921658986,18,17,21,10,fault_event_with_unknown34,logistic_balanced,0.5,66,35,31,0.4857142857142857,0.6774193548387096
0.4393939393939394,0.4327188940092166,0.38461538461538464,0.3225806451612903,0.3508771929824561,0.3889400921658986,19,16,21,10,fault_event_with_unknown34,logistic_balanced,0.6,66,35,31,0.45714285714285713,0.6774193548387096
0.4,0.4095238095238095,0.3902439024390244,0.5333333333333333,0.4507042253521127,0.3828571428571429,10,25,14,16,fault_event_no_event67,logistic_balanced,0.3,65,35,30,0.7142857142857143,0.4666666666666667
0.4,0.40476190476190477,0.3783783783783784,0.4666666666666667,0.417910447761194,0.3828571428571429,12,23,16,14,fault_event_no_event67,logistic_balanced,0.4,65,35,30,0.6571428571428571,0.5333333333333333
0.4307692307692308,0.4285714285714286,0.3870967741935484,0.4,0.39344262295081966,0.3828571428571429,16,19,18,12,fault_event_no_event67,logistic_balanced,0.5,65,35,30,0.5428571428571428,0.6
0.38461538461538464,0.3761904761904762,0.3076923076923077,0.26666666666666666,0.2857142857142857,0.3828571428571429,17,18,22,8,fault_event_no_event67,logistic_balanced,0.6,65,35,30,0.5142857142857142,0.7333333333333333
