dataset,feature_variant,model,rank,feature,importance_metric,importance_value,feature_missing_rate,interpretation_scope
activity_pre_1d,missingness_only,random_forest_balanced_depth3,2,p_net_meter_flow__last_1d_std_minus_prev_6d_std__is_missing,feature_importance,0.15743793870912515,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,missingness_only,random_forest_balanced_depth3,3,p_return_gap__last_1d_mean_minus_prev_6d_mean__is_missing,feature_importance,0.1422248062015504,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,missingness_only,random_forest_balanced_depth3,4,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std__is_missing,feature_importance,0.1382716049382716,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,missingness_only,random_forest_balanced_depth3,5,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean__is_missing,feature_importance,0.12492473351538579,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,missingness_only,random_forest_balanced_depth3,6,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean__is_missing,feature_importance,0.12,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,missingness_only,random_forest_balanced_depth3,7,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean__is_missing,feature_importance,0.10666666666666667,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,missingness_only,random_forest_balanced_depth3,8,p_return_gap__last_minus_first__is_missing,feature_importance,0.016272595874577574,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,missingness_only,random_forest_balanced_depth3,9,s_hc1_supply_temperature_error__last_minus_first__is_missing,feature_importance,0.0,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,missingness_only,random_forest_balanced_depth3,10,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean__is_missing,feature_importance,0.0,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,missingness_only,random_forest_balanced_depth3,11,outdoor_temperature__last_minus_first__is_missing,feature_importance,0.0,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,missingness_only,random_forest_balanced_depth3,12,outdoor_temperature__last_6h_mean_minus_prev_6h_mean__is_missing,feature_importance,0.0,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,missingness_only,random_forest_balanced_depth3,13,outdoor_temperature__last_12h_mean_minus_prev_12h_mean__is_missing,feature_importance,0.0,0.0,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,compact13,random_forest_balanced_depth3,1,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,feature_importance,0.14018549731035515,0.5625,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,compact13,random_forest_balanced_depth3,2,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,feature_importance,0.13846982179200518,0.5625,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,compact13,random_forest_balanced_depth3,3,p_return_gap__last_1d_mean_minus_prev_6d_mean,feature_importance,0.1384560260827382,0.5625,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,compact13,random_forest_balanced_depth3,4,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,feature_importance,0.1367186433629573,0.5625,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,compact13,random_forest_balanced_depth3,5,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,feature_importance,0.13025128029322913,0.5625,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,compact13,random_forest_balanced_depth3,6,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,feature_importance,0.12960009915340462,0.5625,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,compact13,random_forest_balanced_depth3,7,p_net_meter_flow__last_1d_std_minus_prev_6d_std,feature_importance,0.12425136857344185,0.5625,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,compact13,random_forest_balanced_depth3,8,outdoor_temperature__last_minus_first,feature_importance,0.030406277175520694,0.0,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,compact13,random_forest_balanced_depth3,9,p_return_gap__last_minus_first,feature_importance,0.021706292056345933,0.325,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,compact13,random_forest_balanced_depth3,10,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,feature_importance,0.003011918565390266,0.0,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,compact13,random_forest_balanced_depth3,11,s_hc1_supply_temperature_error__last_minus_first,feature_importance,0.002474007693054664,0.0,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,compact13,random_forest_balanced_depth3,12,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,feature_importance,0.0022394813866307406,0.0,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,compact13,random_forest_balanced_depth3,13,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,feature_importance,0.002229286554926171,0.0,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,compact13,logistic_balanced,1,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,abs_coefficient,0.6972693479416109,0.5625,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,compact13,logistic_balanced,2,p_return_gap__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.6308644417852665,0.5625,full_dataset_fit_for_audit_only
activity_pre_1d_strict_no_overlap,compact13,logistic_balanced,3,outdoor_temperature__last_minus_first,abs_coefficient,0.5619523267072465,0.0,full_dataset_fit_for_audit_only
