dataset_id,feature_set,feature_count,train_mode,feature,coefficient,abs_coefficient,scaler_mean,scaler_scale,rank
fault_known_only_main,expanded154,154,candidate_normal_train,p_net_supply_temperature__last_1d_std_minus_prev_6d_std,0.6658280804821581,0.6658280804821581,-0.6196700195036372,2.9619953846913907,5
fault_known_only_main,expanded154,154,candidate_normal_train,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,-0.6291960327572212,0.6291960327572212,-0.5687354891651529,3.252775964361455,6
fault_known_only_main,expanded154,154,candidate_normal_train,outdoor_temperature__missing_rate,-0.5719603024785628,0.5719603024785628,0.03341416813639036,0.17448980422396762,7
fault_known_only_main,expanded154,154,candidate_normal_train,p_net_power_flow_ratio__last_1d_std_minus_prev_6d_std,0.5521775251869975,0.5521775251869975,-0.0003820173578813558,0.002432990213636195,8
fault_known_only_main,expanded154,154,candidate_normal_train,p_net_return_temperature__max,0.5480372704081597,0.5480372704081597,58.620592592592594,6.855316159655515,9
fault_known_only_main,expanded154,154,candidate_normal_train,p_net_supply_temperature__last_6h_mean_minus_prev_6h_mean,0.47022591313010376,0.47022591313010376,-0.15207824110255777,1.9080219158491352,10
fault_known_only_main,expanded154,154,candidate_normal_train,p_net_power_flow_ratio__last_minus_first,-0.4321430133814542,0.4321430133814542,0.0013850238234040437,0.014999020831198985,11
fault_known_only_main,expanded154,154,candidate_normal_train,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,-0.42847528450716593,0.42847528450716593,-0.5954485489677696,3.1597077504990363,12
fault_known_only_main,expanded154,154,candidate_normal_train,p_return_gap__last_1d_mean_minus_prev_6d_mean,0.4172057116955902,0.4172057116955902,0.38727874269667695,2.0650616786796214,13
fault_known_only_main,expanded154,154,candidate_normal_train,outdoor_temperature__last_minus_first,-0.412927530170136,0.412927530170136,0.21935989470909664,9.081741206484224,14
fault_known_only_main,expanded154,154,candidate_normal_train,p_net_meter_heat_power__max,0.41242021103888155,0.41242021103888155,112.81777777777776,110.56195103779578,15
fault_known_only_main,expanded154,154,candidate_normal_train,p_net_meter_volume__last_6h_mean_minus_prev_6h_mean,-0.3960784113945306,0.3960784113945306,4.730053009116995,6.252645873952288,16
fault_known_only_main,expanded154,154,candidate_normal_train,p_return_gap__last_6h_mean_minus_prev_6h_mean,-0.3883290390914343,0.3883290390914343,0.4174920364597942,2.0885432960410437,17
fault_known_only_main,expanded154,154,candidate_normal_train,p_net_delta_temperature__last_1d_mean_minus_prev_6d_mean,0.3857942482351917,0.3857942482351917,0.20775655078894265,3.698777348886287,18
fault_known_only_main,expanded154,154,candidate_normal_train,p_net_meter_volume__last_12h_mean_minus_prev_12h_mean,-0.3745617407293705,0.3745617407293705,9.552367023631826,11.947865840413332,19
fault_known_only_main,expanded154,154,candidate_normal_train,p_net_meter_energy__last_6h_mean_minus_prev_6h_mean,-0.36651204995317943,0.36651204995317943,227.10516390619148,303.555847106934,20
fault_known_only_main,expanded154,154,candidate_normal_train,p_net_meter_energy__last_12h_mean_minus_prev_12h_mean,-0.3619900823956175,0.3619900823956175,451.7272861321697,580.8902846715906,21
fault_known_only_main,expanded154,154,candidate_normal_train,s_hc1_supply_temperature_error__last_12h_mean_minus_prev_12h_mean,0.3551130729814403,0.3551130729814403,0.19479812285399042,3.044851352637246,22
fault_known_only_main,expanded154,154,candidate_normal_train,p_net_meter_flow__mean,0.3432852904985627,0.3432852904985627,860.2861690072165,1105.2951018400308,23
fault_known_only_main,expanded154,154,candidate_normal_train,p_net_meter_heat_power__last_1d_mean_minus_prev_6d_mean,0.336804494480463,0.336804494480463,-1.5218800213426125,14.238595012345764,24
fault_known_only_main,expanded154,154,candidate_normal_train,p_net_supply_temperature__last_minus_first,-0.3362291828500385,0.3362291828500385,-0.5991739094650196,8.880187615683885,25
fault_known_only_main,expanded154,154,candidate_normal_train,p_net_meter_flow__max,0.3315007606881679,0.3315007606881679,2049.711111111111,2036.873369640493,26
fault_known_only_main,expanded154,154,candidate_normal_train,s_hc1_supply_temperature_setpoint__last_12h_mean_minus_prev_12h_mean,-0.31944411799339867,0.31944411799339867,-0.29470217316753133,4.329607739219849,27
fault_known_only_main,expanded154,154,candidate_normal_train,p_net_power_flow_ratio__last_1d_mean_minus_prev_6d_mean,0.30843002135463676,0.30843002135463676,0.00022305797784208321,0.004527151459910715,28
fault_known_only_main,expanded154,154,candidate_normal_train,p_hc1_return_temperature__min,-0.30671988191918903,0.30671988191918903,32.15687037037037,8.859131106119742,29
fault_known_only_main,expanded154,154,candidate_normal_train,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,-0.30247699201610995,0.30247699201610995,-0.6036802674826973,5.243995343989237,30
fault_known_only_main,expanded154,154,candidate_normal_train,outdoor_temperature__last_1d_mean_minus_prev_6d_mean,-0.29964253601906676,0.29964253601906676,-0.1755032761569047,2.6240936003309745,31
fault_known_only_main,expanded154,154,candidate_normal_train,p_return_gap__min,0.2983711821657389,0.2983711821657389,-18.564024691358025,9.746901650545087,32
fault_known_only_main,expanded154,154,candidate_normal_train,p_net_power_flow_ratio__max,-0.29426639159449125,0.29426639159449125,0.06866568715560074,0.014753934608940361,33
fault_known_only_main,expanded154,154,candidate_normal_train,s_hc1_supply_temperature_error__std,0.2895433910225343,0.2895433910225343,3.6641267672984212,4.117115919459039,34
fault_known_only_main,expanded154,154,candidate_normal_train,p_net_meter_flow__min,0.2877424281675889,0.2877424281675889,243.59259259259258,525.4660759574945,35
fault_known_only_main,expanded154,154,candidate_normal_train,p_net_meter_flow__median,0.28746863755406377,0.28746863755406377,807.6065108759553,1086.0063407700745,36
fault_known_only_main,expanded154,154,candidate_normal_train,s_hc1_supply_temperature_setpoint__last_1d_std_minus_prev_6d_std,-0.28564015140387367,0.28564015140387367,-1.931876608641715,4.1913458256154525,37
fault_known_only_main,expanded154,154,candidate_normal_train,p_net_delta_temperature__last_6h_mean_minus_prev_6h_mean,0.2721176391067658,0.2721176391067658,-0.3663411956480874,2.9536473361810964,38
fault_known_only_main,expanded154,154,candidate_normal_train,p_net_meter_flow__last_1d_std_minus_prev_6d_std,-0.2695331868428242,0.2695331868428242,-24.87096301245241,117.67598434347141,39
fault_known_only_main,expanded154,154,candidate_normal_train,s_hc1_supply_temperature_setpoint__last_minus_first,0.24619592021740802,0.24619592021740802,0.4402160493827157,10.145972783518532,40
fault_known_only_main,expanded154,154,candidate_normal_train,p_net_supply_temperature__median,0.24490491693145655,0.24490491693145655,87.97141358024692,9.631961409781889,41
fault_known_only_main,expanded154,154,candidate_normal_train,s_hc1_supply_temperature_error__median,0.24392945018464005,0.24392945018464005,2.488525925925926,8.113584023660483,42
fault_known_only_main,expanded154,154,candidate_normal_train,s_hc1_supply_temperature_error__max,0.24028565337502683,0.24028565337502683,18.79335802469136,17.158909672576918,43
fault_known_only_main,expanded154,154,candidate_normal_train,p_net_delta_temperature__last_minus_first,-0.23784295162429836,0.23784295162429836,0.61062255144033,9.330498568579308,44
fault_known_only_main,expanded154,154,candidate_normal_train,p_net_meter_flow__last_12h_mean_minus_prev_12h_mean,-0.23213594888917358,0.23213594888917358,-1.63285135416287,180.7447112856194,45
fault_known_only_main,expanded154,154,candidate_normal_train,p_net_meter_heat_power__min,0.23158212441543294,0.23158212441543294,10.339506172839506,21.72818623637026,46
fault_known_only_main,expanded154,154,candidate_normal_train,s_hc1_supply_temperature_error__last_1d_mean_minus_prev_6d_mean,0.23105275345736784,0.23105275345736784,0.19741729531475238,2.622010763809981,47
fault_known_only_main,expanded154,154,candidate_normal_train,p_net_supply_temperature__min,-0.22671995124960279,0.22671995124960279,78.45733333333332,16.682791009056366,48
fault_known_only_main,expanded154,154,candidate_normal_train,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,-0.2208064263744836,0.2208064263744836,-1.0857869537666465,2.897024588281197,49
