dataset_id,feature,sensor,stat,coefficient_mean,coefficient_std,abs_coefficient_mean,abs_coefficient_std,rank_abs_coefficient
expanded_weak_positive,p_net_meter_energy__median,p_net_meter_energy,median,-0.14530090481849162,0.050439165643762045,0.14530090481849162,0.050439165643762045,41
expanded_weak_positive,p_net_meter_energy__min,p_net_meter_energy,min,-0.1451655783908904,0.05037536175290819,0.1451655783908904,0.05037536175290819,42
expanded_weak_positive,p_net_meter_energy__mean,p_net_meter_energy,mean,-0.14508397908611773,0.05034193314022851,0.14508397908611773,0.05034193314022851,43
expanded_weak_positive,p_net_meter_energy__max,p_net_meter_energy,max,-0.14481118419007125,0.050251903844289215,0.14481118419007125,0.050251903844289215,44
expanded_weak_positive,p_net_meter_flow__max,p_net_meter_flow,max,0.0029909842434185678,0.1783301748048252,0.1385137416998928,0.0884887729020987,45
expanded_weak_positive,p_net_meter_heat_power__last_minus_first,p_net_meter_heat_power,last_minus_first,-0.10163996596223916,0.15420328435626737,0.1322495940776286,0.12177669046309463,46
expanded_weak_positive,s_hc1_supply_temperature_setpoint__mean,s_hc1_supply_temperature_setpoint,mean,0.12741390067504776,0.08936675702642344,0.12741390067504776,0.08936675702642344,47
expanded_weak_positive,p_net_supply_temperature__std,p_net_supply_temperature,std,-0.09614647406851208,0.1720095098317856,0.1190704809750673,0.1530366876529535,48
expanded_weak_positive,p_net_meter_energy__missing_rate,p_net_meter_energy,missing_rate,0.11035335154371795,0.04151076160355345,0.11035335154371795,0.04151076160355345,49
expanded_weak_positive,p_net_meter_flow__missing_rate,p_net_meter_flow,missing_rate,0.11035335154371795,0.04151076160355345,0.11035335154371795,0.04151076160355345,50
expanded_weak_positive,p_net_meter_heat_power__missing_rate,p_net_meter_heat_power,missing_rate,0.11035335154371795,0.04151076160355345,0.11035335154371795,0.04151076160355345,51
expanded_weak_positive,p_net_meter_volume__missing_rate,p_net_meter_volume,missing_rate,0.11035335154371795,0.04151076160355345,0.11035335154371795,0.04151076160355345,52
expanded_weak_positive,p_net_return_temperature__missing_rate,p_net_return_temperature,missing_rate,0.11035335154371795,0.04151076160355345,0.11035335154371795,0.04151076160355345,53
expanded_weak_positive,p_net_supply_temperature__missing_rate,p_net_supply_temperature,missing_rate,0.11035335154371795,0.04151076160355345,0.11035335154371795,0.04151076160355345,54
expanded_weak_positive,p_net_meter_energy__last_minus_first,p_net_meter_energy,last_minus_first,-0.038914097034163785,0.1293428021013991,0.11007019774994538,0.0589757034678857,55
expanded_weak_positive,p_net_return_temperature__std,p_net_return_temperature,std,0.013416498073494204,0.16154350674294576,0.10981902704858545,0.1060473206598395,56
expanded_weak_positive,p_net_supply_temperature__mean,p_net_supply_temperature,mean,-0.10201213855641016,0.0861590873087526,0.1078290669900803,0.07679582822005046,57
expanded_weak_positive,p_net_meter_energy__std,p_net_meter_energy,std,-0.01449603685032722,0.11943254050267162,0.10407163174221187,0.03143517010486266,58
expanded_weak_positive,p_net_supply_temperature__last_minus_first,p_net_supply_temperature,last_minus_first,0.03789523504680897,0.12177442901814745,0.0996106792124622,0.0649708653574962,59
expanded_weak_positive,s_hc1_supply_temperature__mean,s_hc1_supply_temperature,mean,0.0614456544351216,0.11375606241484182,0.09264732457822614,0.08324958773441991,60
expanded_weak_positive,p_net_meter_heat_power__mean,p_net_meter_heat_power,mean,0.02907980248355487,0.1138166943948334,0.09256903522227744,0.05744563265463313,61
expanded_weak_positive,p_net_meter_volume__min,p_net_meter_volume,min,0.026152603825552633,0.12759117395026387,0.08796020581062218,0.0863898649771379,62
expanded_weak_positive,p_net_meter_volume__mean,p_net_meter_volume,mean,0.026347247479152014,0.12721326731495333,0.08765163104620154,0.08629847427261433,63
expanded_weak_positive,p_net_meter_volume__median,p_net_meter_volume,median,0.026079580186906665,0.126980991749318,0.08756727767040998,0.08596114090557798,64
expanded_weak_positive,p_net_meter_volume__max,p_net_meter_volume,max,0.026709376607642554,0.127142537037991,0.08748226469782686,0.08654784761675022,65
expanded_weak_positive,p_net_meter_heat_power__median,p_net_meter_heat_power,median,0.07146868943555239,0.08690060031946423,0.07721868608721563,0.08051723074369004,66
expanded_weak_positive,outdoor_temperature__missing_rate,outdoor_temperature,missing_rate,0.0,0.0,0.0,0.0,67
expanded_weak_positive,p_hc1_return_temperature__missing_rate,p_hc1_return_temperature,missing_rate,0.0,0.0,0.0,0.0,68
expanded_weak_positive,s_hc1_supply_temperature__missing_rate,s_hc1_supply_temperature,missing_rate,0.0,0.0,0.0,0.0,69
expanded_weak_positive,s_hc1_supply_temperature_setpoint__missing_rate,s_hc1_supply_temperature_setpoint,missing_rate,0.0,0.0,0.0,0.0,70
strict_no_event20,p_net_return_temperature__last_minus_first,p_net_return_temperature,last_minus_first,-0.5136689890807216,0.3440769914938863,0.5136689890807216,0.3440769914938863,1
strict_no_event20,outdoor_temperature__last_minus_first,outdoor_temperature,last_minus_first,0.49851121492170825,0.2791680597746533,0.49851121492170825,0.2791680597746533,2
strict_no_event20,p_hc1_return_temperature__last_minus_first,p_hc1_return_temperature,last_minus_first,-0.3518230716606299,0.4106078837552259,0.4759605406939902,0.20037497603418875,3
