accuracy,balanced_accuracy,precision,recall,f1,roc_auc,true_negative_count,false_positive_count,false_negative_count,true_positive_count,false_positive_rate,false_negative_rate,dataset_id,feature_set,feature_count,train_mode,model,threshold,rows,normal_rows,fault_rows,fp_event_ids,fn_event_ids,hard_normal_fp_event_ids,hard_normal_fp_share
0.546875,0.5,0.0,0.0,0.0,0.5,35,0,29,0,0.0,1.0,fault_no_event67,compact13,13,candidate_normal_train,dummy_most_frequent,0.5,64,35,29,,"1,3,5,6,7,10,11,13,15,23,24,29,32,36,37,38,40,44,45,47,49,52,53,57,60,62,63,64,65",,1.0
0.546875,0.5,0.0,0.0,0.0,0.5,35,0,29,0,0.0,1.0,fault_no_event67,compact13,13,candidate_normal_train,dummy_most_frequent,0.6,64,35,29,,"1,3,5,6,7,10,11,13,15,23,24,29,32,36,37,38,40,44,45,47,49,52,53,57,60,62,63,64,65",,1.0
0.828125,0.822167487684729,0.8461538461538461,0.7586206896551724,0.8,0.8650246305418718,31,4,7,22,0.11428571428571428,0.2413793103448276,fault_no_event67,compact13,13,candidate_normal_train,logistic_balanced,0.5,64,35,29,"27,28,33,59","11,15,29,44,45,52,63","27,28",0.5
0.796875,0.7876847290640394,0.8333333333333334,0.6896551724137931,0.7547169811320755,0.8650246305418718,31,4,9,20,0.11428571428571428,0.3103448275862069,fault_no_event67,compact13,13,candidate_normal_train,logistic_balanced,0.6,64,35,29,"27,28,33,59","11,13,15,29,36,44,45,52,63","27,28",0.5
0.546875,0.5,0.0,0.0,0.0,0.5,35,0,29,0,0.0,1.0,fault_no_event67,compact13,13,fixed_only,dummy_most_frequent,0.5,64,35,29,,"1,3,5,6,7,10,11,13,15,23,24,29,32,36,37,38,40,44,45,47,49,52,53,57,60,62,63,64,65",,1.0
0.546875,0.5,0.0,0.0,0.0,0.5,35,0,29,0,0.0,1.0,fault_no_event67,compact13,13,fixed_only,dummy_most_frequent,0.6,64,35,29,,"1,3,5,6,7,10,11,13,15,23,24,29,32,36,37,38,40,44,45,47,49,52,53,57,60,62,63,64,65",,1.0
0.8125,0.8078817733990147,0.8148148148148148,0.7586206896551724,0.7857142857142857,0.8610837438423644,30,5,7,22,0.14285714285714285,0.2413793103448276,fault_no_event67,compact13,13,fixed_only,logistic_balanced,0.5,64,35,29,"18,27,28,33,59","11,13,15,29,36,52,63","27,28",0.4
0.78125,0.7704433497536946,0.8260869565217391,0.6551724137931034,0.7307692307692307,0.8610837438423644,31,4,10,19,0.11428571428571428,0.3448275862068966,fault_no_event67,compact13,13,fixed_only,logistic_balanced,0.6,64,35,29,"27,28,33,59","11,13,15,29,36,37,44,45,52,63","27,28",0.5
0.546875,0.5,0.0,0.0,0.0,0.5,35,0,29,0,0.0,1.0,fault_no_event67,expanded154,154,candidate_normal_train,dummy_most_frequent,0.5,64,35,29,,"1,3,5,6,7,10,11,13,15,23,24,29,32,36,37,38,40,44,45,47,49,52,53,57,60,62,63,64,65",,1.0
0.546875,0.5,0.0,0.0,0.0,0.5,35,0,29,0,0.0,1.0,fault_no_event67,expanded154,154,candidate_normal_train,dummy_most_frequent,0.6,64,35,29,,"1,3,5,6,7,10,11,13,15,23,24,29,32,36,37,38,40,44,45,47,49,52,53,57,60,62,63,64,65",,1.0
0.6875,0.6817733990147783,0.6666666666666666,0.6206896551724138,0.6428571428571429,0.799014778325123,26,9,11,18,0.2571428571428571,0.3793103448275862,fault_no_event67,expanded154,154,candidate_normal_train,logistic_balanced,0.5,64,35,29,"12,18,19,27,28,48,59,66,68","5,11,13,15,29,32,36,44,45,52,64","27,28,68",0.3333333333333333
0.71875,0.7073891625615764,0.7391304347826086,0.5862068965517241,0.6538461538461539,0.799014778325123,29,6,12,17,0.17142857142857143,0.41379310344827586,fault_no_event67,expanded154,154,candidate_normal_train,logistic_balanced,0.6,64,35,29,"18,19,27,28,59,68","5,6,11,13,15,29,32,36,44,45,52,64","27,28,68",0.5
0.546875,0.5,0.0,0.0,0.0,0.5,35,0,29,0,0.0,1.0,fault_no_event67,expanded154,154,fixed_only,dummy_most_frequent,0.5,64,35,29,,"1,3,5,6,7,10,11,13,15,23,24,29,32,36,37,38,40,44,45,47,49,52,53,57,60,62,63,64,65",,1.0
0.546875,0.5,0.0,0.0,0.0,0.5,35,0,29,0,0.0,1.0,fault_no_event67,expanded154,154,fixed_only,dummy_most_frequent,0.6,64,35,29,,"1,3,5,6,7,10,11,13,15,23,24,29,32,36,37,38,40,44,45,47,49,52,53,57,60,62,63,64,65",,1.0
0.65625,0.6443349753694582,0.6521739130434783,0.5172413793103449,0.5769230769230769,0.7182266009852216,27,8,14,15,0.22857142857142856,0.4827586206896552,fault_no_event67,expanded154,154,fixed_only,logistic_balanced,0.5,64,35,29,"2,4,18,19,28,50,59,68","5,11,13,15,24,29,32,36,44,45,52,63,64,65","28,68",0.25
0.671875,0.6586206896551725,0.6818181818181818,0.5172413793103449,0.5882352941176471,0.7182266009852216,28,7,14,15,0.2,0.4827586206896552,fault_no_event67,expanded154,154,fixed_only,logistic_balanced,0.6,64,35,29,"4,18,19,28,50,59,68","5,11,13,15,24,29,32,36,44,45,52,63,64,65","28,68",0.2857142857142857
0.5303030303030303,0.5,0.0,0.0,0.0,0.5,35,0,31,0,0.0,1.0,fault_with_unknown34,compact13,13,candidate_normal_train,dummy_most_frequent,0.5,66,35,31,,"1,3,5,6,7,10,11,13,15,23,24,29,32,34,36,37,38,40,44,45,47,49,52,53,57,60,62,63,64,65,67",,1.0
0.5303030303030303,0.5,0.0,0.0,0.0,0.5,35,0,31,0,0.0,1.0,fault_with_unknown34,compact13,13,candidate_normal_train,dummy_most_frequent,0.6,66,35,31,,"1,3,5,6,7,10,11,13,15,23,24,29,32,34,36,37,38,40,44,45,47,49,52,53,57,60,62,63,64,65,67",,1.0
0.8181818181818182,0.8156682027649769,0.8275862068965517,0.7741935483870968,0.8,0.871889400921659,30,5,7,24,0.14285714285714285,0.22580645161290322,fault_with_unknown34,compact13,13,candidate_normal_train,logistic_balanced,0.5,66,35,31,"2,19,27,28,59","11,29,34,36,45,47,63","27,28",0.4
0.8181818181818182,0.8119815668202766,0.88,0.7096774193548387,0.7857142857142857,0.871889400921659,32,3,9,22,0.08571428571428572,0.2903225806451613,fault_with_unknown34,compact13,13,candidate_normal_train,logistic_balanced,0.6,66,35,31,"19,27,28","11,15,29,34,36,44,45,47,63","27,28",0.6666666666666666
