dataset_id,feature_set,feature,signal,stat,mean_coefficient,mean_abs_coefficient,std_coefficient
strict_no_event20,base70,s_hc1_supply_temperature__mean,s_hc1_supply_temperature,mean,-0.140473186271957,0.140473186271957,0.06417181239094391
strict_no_event20,base70,outdoor_temperature__median,outdoor_temperature,median,-0.11958909123357757,0.1390353964660927,0.1390091406004038
strict_no_event20,base70,s_hc1_supply_temperature__std,s_hc1_supply_temperature,std,-0.09857810644441153,0.11874872933488731,0.13663626486886654
strict_no_event20,base70,s_hc1_supply_temperature__median,s_hc1_supply_temperature,median,-0.10077388700628245,0.1161673979911307,0.08954689042588156
strict_no_event20,base70,p_net_meter_flow__mean,p_net_meter_flow,mean,0.11594349234657005,0.11594349234657005,0.12193213357415268
strict_no_event20,base70,p_net_meter_flow__median,p_net_meter_flow,median,0.055896496940494,0.1086736764699707,0.1376842441115629
strict_no_event20,base70,p_hc1_return_temperature__max,p_hc1_return_temperature,max,0.040217053260811084,0.10609468352184004,0.13310029650699137
strict_no_event20,base70,p_net_meter_volume__last_minus_first,p_net_meter_volume,last_minus_first,0.08059162822415127,0.08776959254298539,0.11475614506662091
strict_no_event20,base70,outdoor_temperature__mean,outdoor_temperature,mean,-0.06685660661502138,0.08421983747640928,0.09636218932373856
strict_no_event20,base70,p_net_supply_temperature__median,p_net_supply_temperature,median,-0.008450779777088236,0.07881310370883304,0.0969559274154441
strict_no_event20,base70,p_net_meter_volume__median,p_net_meter_volume,median,-0.06999504928649307,0.07051806652998069,0.05820970030535884
strict_no_event20,base70,p_net_meter_volume__min,p_net_meter_volume,min,-0.0699178667053522,0.07050737358750671,0.05833210504270891
strict_no_event20,base70,p_net_meter_volume__mean,p_net_meter_volume,mean,-0.06982470250304079,0.07039156896353087,0.05823128693371996
strict_no_event20,base70,p_net_meter_volume__max,p_net_meter_volume,max,-0.06953217966521544,0.07013719691805032,0.058228877116866196
strict_no_event20,base70,p_net_meter_energy__missing_rate,p_net_meter_energy,missing_rate,-0.04538330094251817,0.04538330094251817,0.03911207358113631
strict_no_event20,base70,p_net_meter_flow__missing_rate,p_net_meter_flow,missing_rate,-0.04538330094251817,0.04538330094251817,0.03911207358113631
strict_no_event20,base70,p_net_meter_heat_power__missing_rate,p_net_meter_heat_power,missing_rate,-0.04538330094251817,0.04538330094251817,0.03911207358113631
