dataset,target_class,feature_set,feature_count,model,fold,metric_scope,train_rows,test_rows,train_groups,test_groups,group_overlap_count,threshold,rows,accuracy,balanced_accuracy,macro_f1,roc_auc,normal_precision,normal_recall,normal_f1,target_precision,target_recall,target_f1,normal_support,target_support,normal_fpr,tn,fp,fn,tp,fold_balanced_accuracy_std,fold_target_recall_std,fold_normal_fpr_std,max_group_overlap,passes_balanced_accuracy,passes_recall,passes_normal_fpr,passes_group_overlap,passes_lock_criteria,old19_reference_balanced_accuracy,old19_reference_recall,old19_reference_normal_fpr,old20_lightgbm_reference_balanced_accuracy,old20_lightgbm_reference_recall,old20_lightgbm_reference_normal_fpr,reproduced_19_threshold_0_5,stable_pass_threshold_count,fault_final_decision
fault_no_overlap,fault,compact13,13,random_forest_balanced_depth3,all,aggregate,,90,,,0,0.45,90,0.8555555555555555,0.8350649350649351,0.8434782608695652,0.881038961038961,0.8666666666666667,0.7428571428571429,0.8,0.85,0.9272727272727272,0.8869565217391304,35,55,0.2571428571428571,26,9,4,51,0.06036048635179581,0.040655781409087106,0.11901785342168869,0,True,True,False,True,False,0.8454545454545455,0.8909090909090909,0.2,0.8324675324675325,0.8363636363636363,0.1714285714285714,True,1,fault_gate_lock_pending_threshold_review
fault_no_overlap,fault,compact13,13,random_forest_balanced_depth3,all,aggregate,,90,,,0,0.5,90,0.8555555555555555,0.8454545454545455,0.8472385428907168,0.881038961038961,0.8235294117647058,0.8,0.8115942028985508,0.875,0.8909090909090909,0.8828828828828829,35,55,0.2,28,7,6,49,0.09553892864914884,0.07606000241218867,0.1611326125303679,0,True,True,True,True,True,0.8454545454545455,0.8909090909090909,0.2,0.8324675324675325,0.8363636363636363,0.1714285714285714,True,1,fault_gate_lock_pending_threshold_review
fault_no_overlap,fault,compact13,13,random_forest_balanced_depth3,all,aggregate,,90,,,0,0.55,90,0.7888888888888889,0.790909090909091,0.7828571428571429,0.881038961038961,0.7,0.8,0.7466666666666667,0.86,0.7818181818181819,0.819047619047619,35,55,0.2,28,7,12,43,0.09499674258785501,0.13787046261911912,0.1611326125303679,0,False,False,True,True,False,0.8454545454545455,0.8909090909090909,0.2,0.8324675324675325,0.8363636363636363,0.1714285714285714,True,1,fault_gate_lock_pending_threshold_review
fault_no_overlap,fault,compact13,13,random_forest_balanced_depth3,all,aggregate,,90,,,0,0.6,90,0.7444444444444445,0.7649350649350649,0.7428890821016023,0.881038961038961,0.625,0.8571428571428571,0.7228915662650602,0.8809523809523809,0.6727272727272727,0.7628865979381443,35,55,0.14285714285714285,30,5,18,37,0.10534478823944128,0.19917183909278763,0.1432534186332507,0,False,False,True,True,False,0.8454545454545455,0.8909090909090909,0.2,0.8324675324675325,0.8363636363636363,0.1714285714285714,True,1,fault_gate_lock_pending_threshold_review
fault_no_overlap,fault,expanded154,154,lightgbm_balanced,all,aggregate,,90,,,0,0.45,90,0.8333333333333334,0.8064935064935065,0.8168498168498168,0.8950649350649351,0.8571428571428571,0.6857142857142857,0.7619047619047619,0.8225806451612904,0.9272727272727272,0.8717948717948718,35,55,0.3142857142857143,24,11,4,51,0.0960512316213018,0.040655781409087106,0.19948914348241345,0,True,True,False,True,False,0.8454545454545455,0.8909090909090909,0.2,0.8324675324675325,0.8363636363636363,0.1714285714285714,True,1,fault_gate_lock_pending_threshold_review
fault_no_overlap,fault,expanded154,154,lightgbm_balanced,all,aggregate,,90,,,0,0.5,90,0.8222222222222222,0.8077922077922077,0.8109243697478992,0.8950649350649351,0.7878787878787878,0.7428571428571429,0.7647058823529411,0.8421052631578947,0.8727272727272727,0.8571428571428571,35,55,0.2571428571428571,26,9,7,48,0.09273445714101088,0.10365231137264888,0.2045403009039479,0,True,True,False,True,False,0.8454545454545455,0.8909090909090909,0.2,0.8324675324675325,0.8363636363636363,0.1714285714285714,True,1,fault_gate_lock_pending_threshold_review
fault_no_overlap,fault,expanded154,154,lightgbm_balanced,all,aggregate,,90,,,0,0.55,90,0.8111111111111111,0.8038961038961039,0.8023000387646984,0.8950649350649351,0.75,0.7714285714285715,0.7605633802816901,0.8518518518518519,0.8363636363636363,0.8440366972477065,35,55,0.22857142857142856,27,8,9,46,0.09569939442566516,0.09958591954639383,0.21189138534559038,0,True,False,True,True,False,0.8454545454545455,0.8909090909090909,0.2,0.8324675324675325,0.8363636363636363,0.1714285714285714,True,1,fault_gate_lock_pending_threshold_review
fault_no_overlap,fault,expanded154,154,lightgbm_balanced,all,aggregate,,90,,,0,0.6,90,0.8333333333333334,0.8324675324675325,0.8271668160286775,0.8950649350649351,0.7631578947368421,0.8285714285714286,0.7945205479452054,0.8846153846153846,0.8363636363636363,0.8598130841121495,35,55,0.17142857142857143,29,6,9,46,0.08347517023658071,0.09958591954639383,0.19459825468288142,0,True,False,True,True,False,0.8454545454545455,0.8909090909090909,0.2,0.8324675324675325,0.8363636363636363,0.1714285714285714,True,1,fault_gate_lock_pending_threshold_review
