accuracy,balanced_accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,dataset_id,feature_set,model,fold,feature_count,train_rows,test_rows,train_groups,test_groups,test_normal,test_efd_possible
0.7,0.5,0.0,0.0,0.0,0.5,7,0,3,0,strict_no_event20_no_event67,expanded154,dummy_most_frequent,1,154,38,10,1|10|11|12|13|14|15|17|19|20|21|22|24|25|29|3|30|4|5|6|7|8|9,16|18|2|23|26|28,7,3
0.8,0.8571428571428572,0.6,1.0,0.75,1.0,5,2,0,3,strict_no_event20_no_event67,expanded154,logistic_balanced,1,154,38,10,1|10|11|12|13|14|15|17|19|20|21|22|24|25|29|3|30|4|5|6|7|8|9,16|18|2|23|26|28,7,3
0.7272727272727273,0.5,0.0,0.0,0.0,0.5,8,0,3,0,strict_no_event20_no_event67,expanded154,dummy_most_frequent,2,154,37,11,1|10|11|12|13|14|15|16|17|18|2|20|23|24|26|28|29|3|30|4|5|6|7,19|21|22|25|8|9,8,3
0.9090909090909091,0.8333333333333333,1.0,0.6666666666666666,0.8,0.75,8,0,1,2,strict_no_event20_no_event67,expanded154,logistic_balanced,2,154,37,11,1|10|11|12|13|14|15|16|17|18|2|20|23|24|26|28|29|3|30|4|5|6|7,19|21|22|25|8|9,8,3
0.7777777777777778,0.5,0.0,0.0,0.0,0.5,7,0,2,0,strict_no_event20_no_event67,expanded154,dummy_most_frequent,3,154,39,9,1|12|14|16|17|18|19|2|21|22|23|24|25|26|28|29|3|30|4|5|6|7|8|9,10|11|13|15|20,7,2
0.5555555555555556,0.5357142857142857,0.25,0.5,0.3333333333333333,0.6428571428571428,4,3,1,1,strict_no_event20_no_event67,expanded154,logistic_balanced,3,154,39,9,1|12|14|16|17|18|19|2|21|22|23|24|25|26|28|29|3|30|4|5|6|7|8|9,10|11|13|15|20,7,2
0.7777777777777778,0.5,0.0,0.0,0.0,0.5,7,0,2,0,strict_no_event20_no_event67,expanded154,dummy_most_frequent,4,154,39,9,10|11|13|15|16|18|19|2|20|21|22|23|25|26|28|29|3|30|4|6|7|8|9,1|12|14|17|24|5,7,2
0.6666666666666666,0.42857142857142855,0.0,0.0,0.0,0.2857142857142857,6,1,2,0,strict_no_event20_no_event67,expanded154,logistic_balanced,4,154,39,9,10|11|13|15|16|18|19|2|20|21|22|23|25|26|28|29|3|30|4|6|7|8|9,1|12|14|17|24|5,7,2
0.6666666666666666,0.5,0.0,0.0,0.0,0.5,6,0,3,0,strict_no_event20_no_event67,expanded154,dummy_most_frequent,5,154,39,9,1|10|11|12|13|14|15|16|17|18|19|2|20|21|22|23|24|25|26|28|5|8|9,29|3|30|4|6|7,6,3
0.7777777777777778,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.888888888888889,5,1,1,2,strict_no_event20_no_event67,expanded154,logistic_balanced,5,154,39,9,1|10|11|12|13|14|15|16|17|18|19|2|20|21|22|23|24|25|26|28|5|8|9,29|3|30|4|6|7,6,3
