owner,model_file,artifact_path,task_family,evaluation_basis,threshold,feature_count,rows,normal_rows,pre_event_rows,balanced_accuracy,precision,recall,f1,normal_fpr,tn,fp,fn,tp
hsj,09_lightgbm_model.joblib,01_압축해제\hsj\share_mvp\models\09_lightgbm_model.joblib,pre_event_candidate,eligible_regenerated_raw_7d_features,0.5,354,112,65,47,0.6024549918166939,0.4878048780487805,0.851063829787234,0.6201550387596899,0.6461538461538462,23,42,7,40
hsj,07_random_forest_baseline.joblib,01_압축해제\hsj\share_mvp\models\07_random_forest_baseline.joblib,pre_event_candidate,eligible_regenerated_raw_7d_features,0.5,354,112,65,47,0.5739770867430442,0.46,0.9787234042553191,0.6258503401360545,0.8307692307692308,11,54,1,46
nyj,baseline_model.joblib,01_압축해제\nyj\model_handoff\m1_fault_early_detection_2026-07-01\model\baseline_model.joblib,early_detection,eligible_regenerated_raw_7d_features,0.75,55,112,65,47,0.5353518821603928,0.5,0.2553191489361702,0.3380281690140845,0.18461538461538463,53,12,35,12
