dataset_id,model,threshold,scope,fault_scope,window_policy,balanced_accuracy,recall,normal_fpr,candidate_pass,decision
all_systems__fault_leakage_water_loss__report_pre_1d,hist_gradient_boosting,0.5,all_systems,fault_leakage_water_loss,report_pre_1d,0.9444444444444444,0.8888888888888888,0.0,True,window_model_candidate
all_systems__fault_leakage_water_loss__report_pre_1d,hist_gradient_boosting,0.6,all_systems,fault_leakage_water_loss,report_pre_1d,0.9444444444444444,0.8888888888888888,0.0,True,window_model_candidate
all_systems__fault_leakage_water_loss__report_pre_1d,random_forest_depth3,0.6,all_systems,fault_leakage_water_loss,report_pre_1d,0.9444444444444444,0.8888888888888888,0.0,True,window_model_candidate
all_systems__fault_leakage_water_loss__report_pre_1d,xgboost_depth3,0.4,all_systems,fault_leakage_water_loss,report_pre_1d,0.9444444444444444,0.8888888888888888,0.0,True,window_model_candidate
all_systems__fault_leakage_water_loss__report_pre_1d,xgboost_depth3,0.5,all_systems,fault_leakage_water_loss,report_pre_1d,0.9444444444444444,0.8888888888888888,0.0,True,window_model_candidate
all_systems__fault_leakage_water_loss__report_pre_1d,xgboost_depth3,0.6,all_systems,fault_leakage_water_loss,report_pre_1d,0.9444444444444444,0.8888888888888888,0.0,True,window_model_candidate
all_systems__fault_control_controller__report_pre_1d,lightgbm_depth3,0.6,all_systems,fault_control_controller,report_pre_1d,0.9423076923076923,0.9,0.015384615384615385,True,window_model_candidate
system_dhw_storage__all_faults__report_pre_1d,xgboost_depth3,0.4,system_dhw_storage,all_faults,report_pre_1d,0.9373638344226579,0.9629629629629629,0.08823529411764706,True,window_model_candidate
all_systems__fault_leakage_water_loss__report_pre_1d,hist_gradient_boosting,0.4,all_systems,fault_leakage_water_loss,report_pre_1d,0.9367521367521368,0.8888888888888888,0.015384615384615385,True,window_model_candidate
all_systems__fault_control_controller__report_pre_1d,lightgbm_depth3,0.4,all_systems,fault_control_controller,report_pre_1d,0.9346153846153846,0.9,0.03076923076923077,True,window_model_candidate
all_systems__fault_control_controller__report_pre_1d,lightgbm_depth3,0.5,all_systems,fault_control_controller,report_pre_1d,0.9346153846153846,0.9,0.03076923076923077,True,window_model_candidate
