dataset_id,model,threshold,rows,normal_rows,pre_event_rows,balanced_accuracy,precision,recall,f1,normal_fpr,tn,fp,fn,tp
all_systems__all_faults__report_pre_5d,hist_gradient_boosting,0.6,113,65,48,0.8546474358974359,0.9024390243902439,0.7708333333333334,0.8314606741573034,0.06153846153846154,61,4,11,37
all_systems__all_faults__report_pre_5d,lightgbm_depth3,0.4,113,65,48,0.8166666666666667,0.7547169811320755,0.8333333333333334,0.7920792079207921,0.2,52,13,8,40
all_systems__all_faults__report_pre_5d,lightgbm_depth3,0.5,113,65,48,0.8370192307692308,0.8125,0.8125,0.8125,0.13846153846153847,56,9,9,39
all_systems__all_faults__report_pre_5d,lightgbm_depth3,0.6,113,65,48,0.8447115384615385,0.8297872340425532,0.8125,0.8210526315789474,0.12307692307692308,57,8,9,39
all_systems__all_faults__report_pre_5d,logistic_balanced,0.4,113,65,48,0.8040064102564102,0.7192982456140351,0.8541666666666666,0.780952380952381,0.24615384615384617,49,16,7,41
all_systems__all_faults__report_pre_5d,logistic_balanced,0.5,113,65,48,0.8474358974358975,0.8163265306122449,0.8333333333333334,0.8247422680412371,0.13846153846153847,56,9,8,40
all_systems__all_faults__report_pre_5d,logistic_balanced,0.6,113,65,48,0.8365384615384616,0.8780487804878049,0.75,0.8089887640449438,0.07692307692307693,60,5,12,36
all_systems__all_faults__report_pre_5d,random_forest_depth3,0.4,113,65,48,0.8330128205128206,0.7076923076923077,0.9583333333333334,0.8141592920353983,0.2923076923076923,46,19,2,46
all_systems__all_faults__report_pre_5d,random_forest_depth3,0.5,113,65,48,0.8551282051282052,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.12307692307692308,57,8,8,40
all_systems__all_faults__report_pre_5d,random_forest_depth3,0.6,113,65,48,0.8102564102564103,0.9142857142857143,0.6666666666666666,0.7710843373493976,0.046153846153846156,62,3,16,32
all_systems__all_faults__report_pre_5d,xgboost_depth3,0.4,113,65,48,0.8144230769230769,0.7241379310344828,0.875,0.7924528301886793,0.24615384615384617,49,16,6,42
all_systems__all_faults__report_pre_5d,xgboost_depth3,0.5,113,65,48,0.8501602564102564,0.803921568627451,0.8541666666666666,0.8282828282828283,0.15384615384615385,55,10,7,41
all_systems__all_faults__report_pre_5d,xgboost_depth3,0.6,113,65,48,0.8342948717948717,0.8260869565217391,0.7916666666666666,0.8085106382978723,0.12307692307692308,57,8,10,38
all_systems__all_faults__report_pre_7d,dummy_most_frequent,0.4,112,65,47,0.5,0.0,0.0,0.0,0.0,65,0,47,0
all_systems__all_faults__report_pre_7d,dummy_most_frequent,0.5,112,65,47,0.5,0.0,0.0,0.0,0.0,65,0,47,0
all_systems__all_faults__report_pre_7d,dummy_most_frequent,0.6,112,65,47,0.5,0.0,0.0,0.0,0.0,65,0,47,0
all_systems__all_faults__report_pre_7d,hist_gradient_boosting,0.4,112,65,47,0.8515548281505729,0.7884615384615384,0.8723404255319149,0.8282828282828283,0.16923076923076924,54,11,6,41
all_systems__all_faults__report_pre_7d,hist_gradient_boosting,0.5,112,65,47,0.8746317512274959,0.8367346938775511,0.8723404255319149,0.8541666666666666,0.12307692307692308,57,8,6,41
all_systems__all_faults__report_pre_7d,hist_gradient_boosting,0.6,112,65,47,0.804909983633388,0.8461538461538461,0.7021276595744681,0.7674418604651163,0.09230769230769231,59,6,14,33
all_systems__all_faults__report_pre_7d,lightgbm_depth3,0.4,112,65,47,0.8746317512274959,0.8367346938775511,0.8723404255319149,0.8541666666666666,0.12307692307692308,57,8,6,41
all_systems__all_faults__report_pre_7d,lightgbm_depth3,0.5,112,65,47,0.8610474631751228,0.8478260869565217,0.8297872340425532,0.8387096774193549,0.1076923076923077,58,7,8,39
all_systems__all_faults__report_pre_7d,lightgbm_depth3,0.6,112,65,47,0.8155482815057283,0.85,0.723404255319149,0.7816091954022989,0.09230769230769231,59,6,13,34
all_systems__all_faults__report_pre_7d,logistic_balanced,0.4,112,65,47,0.7918166939443535,0.7090909090909091,0.8297872340425532,0.7647058823529411,0.24615384615384617,49,16,8,39
all_systems__all_faults__report_pre_7d,logistic_balanced,0.5,112,65,47,0.853355155482815,0.8297872340425532,0.8297872340425532,0.8297872340425532,0.12307692307692308,57,8,8,39
all_systems__all_faults__report_pre_7d,logistic_balanced,0.6,112,65,47,0.7759410801963993,0.8157894736842105,0.6595744680851063,0.7294117647058823,0.1076923076923077,58,7,16,31
all_systems__all_faults__report_pre_7d,random_forest_depth3,0.4,112,65,47,0.8142389525368249,0.6875,0.9361702127659575,0.7927927927927928,0.3076923076923077,45,20,3,44
all_systems__all_faults__report_pre_7d,random_forest_depth3,0.5,112,65,47,0.8504091653027823,0.8444444444444444,0.8085106382978723,0.8260869565217391,0.1076923076923077,58,7,9,38
all_systems__all_faults__report_pre_7d,random_forest_depth3,0.6,112,65,47,0.7671031096563011,0.875,0.5957446808510638,0.7088607594936709,0.06153846153846154,61,4,19,28
all_systems__all_faults__report_pre_7d,xgboost_depth3,0.4,112,65,47,0.8397708674304419,0.8409090909090909,0.7872340425531915,0.8131868131868132,0.1076923076923077,58,7,10,37
all_systems__all_faults__report_pre_7d,xgboost_depth3,0.5,112,65,47,0.8368248772504092,0.8571428571428571,0.7659574468085106,0.8089887640449438,0.09230769230769231,59,6,11,36
all_systems__all_faults__report_pre_7d,xgboost_depth3,0.6,112,65,47,0.8155482815057283,0.85,0.723404255319149,0.7816091954022989,0.09230769230769231,59,6,13,34
all_systems__fault_control_controller__report_pre_1d,dummy_most_frequent,0.4,75,65,10,0.5,0.0,0.0,0.0,0.0,65,0,10,0
all_systems__fault_control_controller__report_pre_1d,dummy_most_frequent,0.5,75,65,10,0.5,0.0,0.0,0.0,0.0,65,0,10,0
all_systems__fault_control_controller__report_pre_1d,dummy_most_frequent,0.6,75,65,10,0.5,0.0,0.0,0.0,0.0,65,0,10,0
all_systems__fault_control_controller__report_pre_1d,hist_gradient_boosting,0.4,75,65,10,0.95,1.0,0.9,0.9473684210526315,0.0,65,0,1,9
all_systems__fault_control_controller__report_pre_1d,hist_gradient_boosting,0.5,75,65,10,0.95,1.0,0.9,0.9473684210526315,0.0,65,0,1,9
