strategy,evaluation_scope,feature_set,model,fallback_threshold,rows,normal_rows,pre_event_rows,balanced_accuracy,precision,recall,f1,normal_fpr,tn,fp,fn,tp
system_specific_threshold,M2_to_M1,common13,extra_trees_depth5,0.5,61,35,26,0.654945054945055,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.22857142857142856,27,8,12,14
system_specific_threshold,Pooled_M1_M2_group_CV,common13,extra_trees_depth5,0.5,112,65,47,0.7942716857610475,0.8421052631578947,0.6808510638297872,0.7529411764705882,0.09230769230769231,59,6,15,32
system_specific_threshold,M1_CV,common13,extra_trees_depth5,0.6,61,35,26,0.7505494505494505,0.8,0.6153846153846154,0.6956521739130435,0.11428571428571428,31,4,10,16
system_specific_threshold,M1_to_M2,common13,extra_trees_depth5,0.6,51,30,21,0.6547619047619048,0.6666666666666666,0.47619047619047616,0.5555555555555556,0.16666666666666666,25,5,11,10
system_specific_threshold,M2_CV,common13,extra_trees_depth5,0.6,51,30,21,0.9119047619047619,0.9473684210526315,0.8571428571428571,0.9,0.03333333333333333,29,1,3,18
system_specific_threshold,M2_to_M1,common13,extra_trees_depth5,0.6,61,35,26,0.654945054945055,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.22857142857142856,27,8,12,14
system_specific_threshold,Pooled_M1_M2_group_CV,common13,extra_trees_depth5,0.6,112,65,47,0.7942716857610475,0.8421052631578947,0.6808510638297872,0.7529411764705882,0.09230769230769231,59,6,15,32
system_specific_threshold,M1_CV,common13,hist_gradient_boosting,0.4,61,35,26,0.7318681318681319,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.22857142857142856,27,8,8,18
system_specific_threshold,M1_to_M2,common13,hist_gradient_boosting,0.4,51,30,21,0.7380952380952381,1.0,0.47619047619047616,0.6451612903225806,0.0,30,0,11,10
system_specific_threshold,M2_CV,common13,hist_gradient_boosting,0.4,51,30,21,0.7976190476190477,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.16666666666666666,25,5,5,16
system_specific_threshold,M2_to_M1,common13,hist_gradient_boosting,0.4,61,35,26,0.6697802197802198,0.6071428571428571,0.6538461538461539,0.6296296296296297,0.3142857142857143,24,11,9,17
system_specific_threshold,Pooled_M1_M2_group_CV,common13,hist_gradient_boosting,0.4,112,65,47,0.8746317512274959,0.8367346938775511,0.8723404255319149,0.8541666666666666,0.12307692307692308,57,8,6,41
system_specific_threshold,M1_CV,common13,hist_gradient_boosting,0.5,61,35,26,0.7318681318681319,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.22857142857142856,27,8,8,18
system_specific_threshold,M1_to_M2,common13,hist_gradient_boosting,0.5,51,30,21,0.7380952380952381,1.0,0.47619047619047616,0.6451612903225806,0.0,30,0,11,10
system_specific_threshold,M2_CV,common13,hist_gradient_boosting,0.5,51,30,21,0.7976190476190477,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.16666666666666666,25,5,5,16
