feature_set,model,threshold,m1_to_m2_balanced_accuracy,m2_to_m1_balanced_accuracy,pooled_balanced_accuracy,min_leave_manufacturer_ba,leave_manufacturer_ba_gap,min_recall,max_normal_fpr,m2_normal_fpr_vs_old_0_60,m2_fpr_improved_vs_old_failure,candidate_pass,decision
common13,lightgbm_depth3,0.5,0.8071428571428572,0.7604395604395604,0.8610474631751228,0.7604395604395604,0.04670329670329676,0.6923076923076923,0.17142857142857143,0.1,True,False,label_window_recheck_required
common13,xgboost_depth3,0.4,0.7738095238095238,0.7461538461538462,0.8746317512274959,0.7461538461538462,0.02765567765567767,0.6923076923076923,0.2,0.16666666666666666,True,False,label_window_recheck_required
common13,lightgbm_depth3,0.4,0.7904761904761906,0.7318681318681319,0.8746317512274959,0.7318681318681319,0.05860805860805862,0.6923076923076923,0.22857142857142856,0.13333333333333333,True,False,label_window_recheck_required
common13,lightgbm_depth3,0.6,0.7928571428571429,0.7412087912087912,0.8155482815057283,0.7412087912087912,0.05164835164835169,0.6190476190476191,0.17142857142857143,0.03333333333333333,True,False,label_window_recheck_required
common13,xgboost_depth3,0.5,0.7595238095238095,0.7412087912087912,0.8368248772504092,0.7412087912087912,0.01831501831501825,0.6190476190476191,0.17142857142857143,0.1,True,False,label_window_recheck_required
common13,xgboost_depth3,0.6,0.7523809523809524,0.7170329670329669,0.8232405891980361,0.7170329670329669,0.035347985347985444,0.5714285714285714,0.14285714285714285,0.06666666666666667,True,False,label_window_recheck_required
common13,hist_gradient_boosting,0.4,0.7976190476190477,0.6939560439560439,0.8515548281505729,0.6939560439560439,0.10366300366300374,0.7307692307692307,0.34285714285714286,0.16666666666666666,True,False,label_window_recheck_required
common13,random_forest_depth3,0.5,0.6857142857142857,0.7604395604395604,0.8427168576104747,0.6857142857142857,0.07472527472527468,0.5714285714285714,0.2,0.2,True,False,label_window_recheck_required
common13,random_forest_depth5,0.5,0.6857142857142857,0.7461538461538462,0.8243862520458265,0.6857142857142857,0.06043956043956045,0.5714285714285714,0.2,0.2,True,False,label_window_recheck_required
common13,random_forest_depth3,0.6,0.6976190476190476,0.712087912087912,0.7777414075286415,0.6976190476190476,0.014468864468864417,0.42857142857142855,0.11428571428571428,0.03333333333333333,True,False,label_window_recheck_required
common13,random_forest_depth5,0.6,0.6976190476190476,0.712087912087912,0.7700490998363339,0.6976190476190476,0.014468864468864417,0.42857142857142855,0.11428571428571428,0.03333333333333333,True,False,label_window_recheck_required
common13,random_forest_depth5,0.4,0.7047619047619047,0.6653846153846154,0.8296235679214403,0.6653846153846154,0.03937728937728935,0.7307692307692307,0.4,0.4,True,False,label_window_recheck_required
