evaluation_scope,feature_set,model,threshold,class,precision,recall,f1,support
M1_CV,standard_common,extra_trees_depth3,0.4,normal,0.2222222222222222,0.05714285714285714,0.09090909090909091,35
M1_CV,standard_common,extra_trees_depth3,0.4,pre_event,0.36538461538461536,0.7307692307692307,0.48717948717948717,26
M1_CV,standard_common,extra_trees_depth3,0.5,normal,0.5882352941176471,0.5714285714285714,0.5797101449275363,35
M1_CV,standard_common,extra_trees_depth3,0.5,pre_event,0.4444444444444444,0.46153846153846156,0.4528301886792453,26
M1_CV,standard_common,extra_trees_depth3,0.6,normal,0.5789473684210527,0.9428571428571428,0.717391304347826,35
M1_CV,standard_common,extra_trees_depth3,0.6,pre_event,0.5,0.07692307692307693,0.13333333333333333,26
M1_CV,standard_common,extra_trees_depth5,0.4,normal,0.47058823529411764,0.22857142857142856,0.3076923076923077,35
M1_CV,standard_common,extra_trees_depth5,0.4,pre_event,0.38636363636363635,0.6538461538461539,0.4857142857142857,26
M1_CV,standard_common,extra_trees_depth5,0.5,normal,0.625,0.7142857142857143,0.6666666666666666,35
M1_CV,standard_common,extra_trees_depth5,0.5,pre_event,0.5238095238095238,0.4230769230769231,0.46808510638297873,26
M1_CV,standard_common,extra_trees_depth5,0.6,normal,0.6346153846153846,0.9428571428571428,0.7586206896551724,35
M1_CV,standard_common,extra_trees_depth5,0.6,pre_event,0.7777777777777778,0.2692307692307692,0.4,26
M1_CV,standard_common,hist_gradient_boosting,0.4,normal,0.6756756756756757,0.7142857142857143,0.6944444444444444,35
M1_CV,standard_common,hist_gradient_boosting,0.4,pre_event,0.5833333333333334,0.5384615384615384,0.56,26
M1_CV,standard_common,hist_gradient_boosting,0.5,normal,0.6666666666666666,0.8,0.7272727272727273,35
M1_CV,standard_common,hist_gradient_boosting,0.5,pre_event,0.631578947368421,0.46153846153846156,0.5333333333333333,26
M1_CV,standard_common,hist_gradient_boosting,0.6,normal,0.6666666666666666,0.9142857142857143,0.7710843373493976,35
M1_CV,standard_common,hist_gradient_boosting,0.6,pre_event,0.7692307692307693,0.38461538461538464,0.5128205128205128,26
M1_CV,standard_common,lightgbm_depth3,0.4,normal,0.6129032258064516,0.5428571428571428,0.5757575757575758,35
M1_CV,standard_common,lightgbm_depth3,0.4,pre_event,0.4666666666666667,0.5384615384615384,0.5,26
M1_CV,standard_common,lightgbm_depth3,0.5,normal,0.6363636363636364,0.6,0.6176470588235294,35
M1_CV,standard_common,lightgbm_depth3,0.5,pre_event,0.5,0.5384615384615384,0.5185185185185185,26
M1_CV,standard_common,lightgbm_depth3,0.6,normal,0.631578947368421,0.6857142857142857,0.6575342465753424,35
M1_CV,standard_common,lightgbm_depth3,0.6,pre_event,0.5217391304347826,0.46153846153846156,0.4897959183673469,26
M1_CV,standard_common,logistic_balanced,0.4,normal,0.6153846153846154,0.45714285714285713,0.5245901639344263,35
M1_CV,standard_common,logistic_balanced,0.4,pre_event,0.45714285714285713,0.6153846153846154,0.5245901639344263,26
M1_CV,standard_common,logistic_balanced,0.5,normal,0.625,0.5714285714285714,0.5970149253731343,35
M1_CV,standard_common,logistic_balanced,0.5,pre_event,0.4827586206896552,0.5384615384615384,0.509090909090909,26
M1_CV,standard_common,logistic_balanced,0.6,normal,0.6153846153846154,0.6857142857142857,0.6486486486486487,35
M1_CV,standard_common,logistic_balanced,0.6,pre_event,0.5,0.4230769230769231,0.4583333333333333,26
M1_CV,standard_common,random_forest_depth3,0.4,normal,0.5909090909090909,0.37142857142857144,0.45614035087719296,35
M1_CV,standard_common,random_forest_depth3,0.4,pre_event,0.4358974358974359,0.6538461538461539,0.5230769230769231,26
M1_CV,standard_common,random_forest_depth3,0.5,normal,0.6363636363636364,0.6,0.6176470588235294,35
M1_CV,standard_common,random_forest_depth3,0.5,pre_event,0.5,0.5384615384615384,0.5185185185185185,26
M1_CV,standard_common,random_forest_depth3,0.6,normal,0.6326530612244898,0.8857142857142857,0.7380952380952381,35
M1_CV,standard_common,random_forest_depth3,0.6,pre_event,0.6666666666666666,0.3076923076923077,0.42105263157894735,26
M1_CV,standard_common,random_forest_depth5,0.4,normal,0.625,0.42857142857142855,0.5084745762711864,35
