evaluation_scope,feature_set,model,threshold,rows,normal_rows,pre_event_rows,balanced_accuracy,precision,recall,f1,normal_fpr,tn,fp,fn,tp
M1_CV,common13,dummy_most_frequent,0.6,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
M1_CV,common13,extra_trees_depth3,0.6,61,35,26,0.6395604395604395,0.8888888888888888,0.3076923076923077,0.45714285714285713,0.02857142857142857,34,1,18,8
M1_CV,common13,extra_trees_depth5,0.6,61,35,26,0.682967032967033,0.8461538461538461,0.4230769230769231,0.5641025641025641,0.05714285714285714,33,2,15,11
M1_CV,common13,hist_gradient_boosting,0.6,61,35,26,0.6736263736263737,0.75,0.46153846153846156,0.5714285714285714,0.11428571428571428,31,4,14,12
M1_CV,common13,lightgbm_depth3,0.6,61,35,26,0.6741758241758242,0.6521739130434783,0.5769230769230769,0.6122448979591837,0.22857142857142856,27,8,11,15
M1_CV,common13,logistic_balanced,0.6,61,35,26,0.7648351648351648,0.8421052631578947,0.6153846153846154,0.7111111111111111,0.08571428571428572,32,3,10,16
M1_CV,common13,random_forest_depth3,0.6,61,35,26,0.7164835164835165,0.9230769230769231,0.46153846153846156,0.6153846153846154,0.02857142857142857,34,1,14,12
M1_CV,common13,random_forest_depth5,0.6,61,35,26,0.7164835164835165,0.9230769230769231,0.46153846153846156,0.6153846153846154,0.02857142857142857,34,1,14,12
M1_CV,common13,xgboost_depth3,0.6,61,35,26,0.7027472527472527,0.7142857142857143,0.5769230769230769,0.6382978723404256,0.17142857142857143,29,6,11,15
M1_CV,standard_common,dummy_most_frequent,0.6,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
M1_CV,standard_common,extra_trees_depth3,0.6,61,35,26,0.5098901098901099,0.5,0.07692307692307693,0.13333333333333333,0.05714285714285714,33,2,24,2
M1_CV,standard_common,extra_trees_depth5,0.6,61,35,26,0.606043956043956,0.7777777777777778,0.2692307692307692,0.4,0.05714285714285714,33,2,19,7
M1_CV,standard_common,hist_gradient_boosting,0.6,61,35,26,0.6494505494505495,0.7692307692307693,0.38461538461538464,0.5128205128205128,0.08571428571428572,32,3,16,10
M1_CV,standard_common,lightgbm_depth3,0.6,61,35,26,0.5736263736263736,0.5217391304347826,0.46153846153846156,0.4897959183673469,0.3142857142857143,24,11,14,12
M1_CV,standard_common,logistic_balanced,0.6,61,35,26,0.5543956043956044,0.5,0.4230769230769231,0.4583333333333333,0.3142857142857143,24,11,15,11
M1_CV,standard_common,random_forest_depth3,0.6,61,35,26,0.5967032967032967,0.6666666666666666,0.3076923076923077,0.42105263157894735,0.11428571428571428,31,4,18,8
M1_CV,standard_common,random_forest_depth5,0.6,61,35,26,0.5824175824175823,0.6153846153846154,0.3076923076923077,0.41025641025641024,0.14285714285714285,30,5,18,8
M1_CV,standard_common,xgboost_depth3,0.6,61,35,26,0.6450549450549451,0.6666666666666666,0.46153846153846156,0.5454545454545454,0.17142857142857143,29,6,14,12
M1_CV,standard_common_plus_system,dummy_most_frequent,0.6,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
M1_CV,standard_common_plus_system,extra_trees_depth3,0.6,61,35,26,0.5483516483516484,0.6666666666666666,0.15384615384615385,0.25,0.05714285714285714,33,2,22,4
M1_CV,standard_common_plus_system,extra_trees_depth5,0.6,61,35,26,0.5197802197802197,0.5,0.15384615384615385,0.23529411764705882,0.11428571428571428,31,4,22,4
M1_CV,standard_common_plus_system,hist_gradient_boosting,0.6,61,35,26,0.6494505494505495,0.7692307692307693,0.38461538461538464,0.5128205128205128,0.08571428571428572,32,3,16,10
