evaluation_scope,feature_set,model,threshold,actual,predicted,count
M1_CV,standard_common,dummy_most_frequent,0.4,1,0,26
M1_CV,standard_common,dummy_most_frequent,0.4,1,1,0
M1_CV,standard_common,dummy_most_frequent,0.5,0,0,35
M1_CV,standard_common,dummy_most_frequent,0.5,0,1,0
M1_CV,standard_common,dummy_most_frequent,0.5,1,0,26
M1_CV,standard_common,dummy_most_frequent,0.5,1,1,0
M1_CV,standard_common,dummy_most_frequent,0.6,0,0,35
M1_CV,standard_common,dummy_most_frequent,0.6,0,1,0
M1_CV,standard_common,dummy_most_frequent,0.6,1,0,26
M1_CV,standard_common,dummy_most_frequent,0.6,1,1,0
M1_CV,standard_common,extra_trees_depth3,0.4,0,0,2
M1_CV,standard_common,extra_trees_depth3,0.4,0,1,33
M1_CV,standard_common,extra_trees_depth3,0.4,1,0,7
M1_CV,standard_common,extra_trees_depth3,0.4,1,1,19
M1_CV,standard_common,extra_trees_depth3,0.5,0,0,20
M1_CV,standard_common,extra_trees_depth3,0.5,0,1,15
M1_CV,standard_common,extra_trees_depth3,0.5,1,0,14
M1_CV,standard_common,extra_trees_depth3,0.5,1,1,12
M1_CV,standard_common,extra_trees_depth3,0.6,0,0,33
M1_CV,standard_common,extra_trees_depth3,0.6,0,1,2
M1_CV,standard_common,extra_trees_depth3,0.6,1,0,24
M1_CV,standard_common,extra_trees_depth3,0.6,1,1,2
M1_CV,standard_common,extra_trees_depth5,0.4,0,0,8
M1_CV,standard_common,extra_trees_depth5,0.4,0,1,27
M1_CV,standard_common,extra_trees_depth5,0.4,1,0,9
M1_CV,standard_common,extra_trees_depth5,0.4,1,1,17
M1_CV,standard_common,extra_trees_depth5,0.5,0,0,25
M1_CV,standard_common,extra_trees_depth5,0.5,0,1,10
M1_CV,standard_common,extra_trees_depth5,0.5,1,0,15
M1_CV,standard_common,extra_trees_depth5,0.5,1,1,11
M1_CV,standard_common,extra_trees_depth5,0.6,0,0,33
M1_CV,standard_common,extra_trees_depth5,0.6,0,1,2
M1_CV,standard_common,extra_trees_depth5,0.6,1,0,19
M1_CV,standard_common,extra_trees_depth5,0.6,1,1,7
M1_CV,standard_common,hist_gradient_boosting,0.4,0,0,25
M1_CV,standard_common,hist_gradient_boosting,0.4,0,1,10
M1_CV,standard_common,hist_gradient_boosting,0.4,1,0,12
M1_CV,standard_common,hist_gradient_boosting,0.4,1,1,14
M1_CV,standard_common,hist_gradient_boosting,0.5,0,0,28
M1_CV,standard_common,hist_gradient_boosting,0.5,0,1,7
M1_CV,standard_common,hist_gradient_boosting,0.5,1,0,14
M1_CV,standard_common,hist_gradient_boosting,0.5,1,1,12
M1_CV,standard_common,hist_gradient_boosting,0.6,0,0,32
M1_CV,standard_common,hist_gradient_boosting,0.6,0,1,3
M1_CV,standard_common,hist_gradient_boosting,0.6,1,0,16
M1_CV,standard_common,hist_gradient_boosting,0.6,1,1,10
M1_CV,standard_common,lightgbm_depth3,0.4,0,0,19
M1_CV,standard_common,lightgbm_depth3,0.4,0,1,16
M1_CV,standard_common,lightgbm_depth3,0.4,1,0,12
M1_CV,standard_common,lightgbm_depth3,0.4,1,1,14
M1_CV,standard_common,lightgbm_depth3,0.5,0,0,21
M1_CV,standard_common,lightgbm_depth3,0.5,0,1,14
M1_CV,standard_common,lightgbm_depth3,0.5,1,0,12
M1_CV,standard_common,lightgbm_depth3,0.5,1,1,14
M1_CV,standard_common,lightgbm_depth3,0.6,0,0,24
M1_CV,standard_common,lightgbm_depth3,0.6,0,1,11
M1_CV,standard_common,lightgbm_depth3,0.6,1,0,14
M1_CV,standard_common,lightgbm_depth3,0.6,1,1,12
M1_CV,standard_common,logistic_balanced,0.4,0,0,16
M1_CV,standard_common,logistic_balanced,0.4,0,1,19
M1_CV,standard_common,logistic_balanced,0.4,1,0,10
M1_CV,standard_common,logistic_balanced,0.4,1,1,16
M1_CV,standard_common,logistic_balanced,0.5,0,0,20
M1_CV,standard_common,logistic_balanced,0.5,0,1,15
M1_CV,standard_common,logistic_balanced,0.5,1,0,12
M1_CV,standard_common,logistic_balanced,0.5,1,1,14
M1_CV,standard_common,logistic_balanced,0.6,0,0,24
M1_CV,standard_common,logistic_balanced,0.6,0,1,11
M1_CV,standard_common,logistic_balanced,0.6,1,0,15
M1_CV,standard_common,logistic_balanced,0.6,1,1,11
M1_CV,standard_common,random_forest_depth3,0.4,0,0,13
M1_CV,standard_common,random_forest_depth3,0.4,0,1,22
M1_CV,standard_common,random_forest_depth3,0.4,1,0,9
M1_CV,standard_common,random_forest_depth3,0.4,1,1,17
M1_CV,standard_common,random_forest_depth3,0.5,0,0,21
M1_CV,standard_common,random_forest_depth3,0.5,0,1,14
M1_CV,standard_common,random_forest_depth3,0.5,1,0,12
M1_CV,standard_common,random_forest_depth3,0.5,1,1,14
M1_CV,standard_common,random_forest_depth3,0.6,0,0,31
M1_CV,standard_common,random_forest_depth3,0.6,0,1,4
M1_CV,standard_common,random_forest_depth3,0.6,1,0,18
M1_CV,standard_common,random_forest_depth3,0.6,1,1,8
M1_CV,standard_common,random_forest_depth5,0.4,0,0,15
M1_CV,standard_common,random_forest_depth5,0.4,0,1,20
M1_CV,standard_common,random_forest_depth5,0.4,1,0,9
M1_CV,standard_common,random_forest_depth5,0.4,1,1,17
M1_CV,standard_common,random_forest_depth5,0.5,0,0,21
M1_CV,standard_common,random_forest_depth5,0.5,0,1,14
M1_CV,standard_common,random_forest_depth5,0.5,1,0,13
M1_CV,standard_common,random_forest_depth5,0.5,1,1,13
M1_CV,standard_common,random_forest_depth5,0.6,0,0,30
M1_CV,standard_common,random_forest_depth5,0.6,0,1,5
M1_CV,standard_common,random_forest_depth5,0.6,1,0,18
M1_CV,standard_common,random_forest_depth5,0.6,1,1,8
M1_CV,standard_common,xgboost_depth3,0.4,0,0,20
M1_CV,standard_common,xgboost_depth3,0.4,0,1,15
M1_CV,standard_common,xgboost_depth3,0.4,1,0,11
M1_CV,standard_common,xgboost_depth3,0.4,1,1,15
M1_CV,standard_common,xgboost_depth3,0.5,0,0,24
M1_CV,standard_common,xgboost_depth3,0.5,0,1,11
M1_CV,standard_common,xgboost_depth3,0.5,1,0,11
M1_CV,standard_common,xgboost_depth3,0.5,1,1,15
M1_CV,standard_common,xgboost_depth3,0.6,0,0,29
M1_CV,standard_common,xgboost_depth3,0.6,0,1,6
M1_CV,standard_common,xgboost_depth3,0.6,1,0,14
M1_CV,standard_common,xgboost_depth3,0.6,1,1,12
M1_CV,standard_common_plus_system,dummy_most_frequent,0.4,0,0,35
M1_CV,standard_common_plus_system,dummy_most_frequent,0.4,0,1,0
M1_CV,standard_common_plus_system,dummy_most_frequent,0.4,1,0,26
M1_CV,standard_common_plus_system,dummy_most_frequent,0.4,1,1,0
M1_CV,standard_common_plus_system,dummy_most_frequent,0.5,0,0,35
M1_CV,standard_common_plus_system,dummy_most_frequent,0.5,0,1,0
M1_CV,standard_common_plus_system,dummy_most_frequent,0.5,1,0,26
M1_CV,standard_common_plus_system,dummy_most_frequent,0.5,1,1,0
M1_CV,standard_common_plus_system,dummy_most_frequent,0.6,0,0,35
